"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"$75,000 to $99,999","4.6%","±1.5","6.0%","±2.3","2.6%","±2.0","7.0%","±1.3","7.9%","±1.7","5.8%","±1.9","5.0%","±0.8","5.9%","±1.2","3.9%","±1.0","2.6%","±1.3","2.7%","±2.0","2.4%","±1.9","5.6%","±1.9","6.1%","±2.9","4.7%","±2.2","5.5%","±1.5","7.4%","±2.2","2.8%","±1.1","6.6%","±2.6","7.4%","±3.0","5.6%","±4.5","7.0%","±1.4","8.6%","±2.1","4.9%","±1.8","5.5%","±1.6","8.4%","±3.0","2.0%","±1.6","10.1%","±1.6","11.0%","±2.1","8.9%","±2.5","3.6%","±1.9","4.3%","±2.9","2.6%","±2.0","4.6%","±2.2","7.5%","±3.5","0.8%","±1.2","6.1%","±2.4","9.6%","±4.0","2.0%","±1.5","2.3%","±1.6","2.2%","±2.1","2.4%","±2.8","7.0%","±2.7","7.9%","±3.9","5.8%","±2.9"
"$100,000 or more","4.9%","±2.0","7.2%","±3.0","1.7%","±1.3","3.3%","±0.8","4.5%","±1.3","1.6%","±0.8","7.8%","±0.9","10.6%","±1.5","4.4%","±1.0","2.8%","±2.2","5.0%","±3.9","0.0%","±1.6","3.5%","±1.7","4.2%","±2.1","2.6%","±2.7","4.4%","±1.3","7.0%","±2.0","0.8%","±1.1","5.9%","±2.0","8.0%","±2.6","3.3%","±2.7","6.0%","±1.2","9.1%","±1.9","1.8%","±0.8","3.4%","±1.3","4.3%","±1.6","2.3%","±2.5","18.8%","±2.5","26.9%","±3.4","7.1%","±2.8","3.2%","±2.1","5.3%","±3.5","0.3%","±0.7","5.1%","±2.3","7.8%","±4.0","1.5%","±1.7","2.6%","±1.6","4.8%","±2.9","0.0%","±1.1","5.0%","±2.9","6.8%","±4.5","1.9%","±2.5","4.0%","±1.8","6.1%","±2.8","1.0%","±1.2"
"Median earnings (dollars)","(X)","(X)","41,326","±2,435","30,479","±1,932","(X)","(X)","43,835","±1,539","35,660","±1,412","(X)","(X)","37,742","±1,991","32,015","±1,170","(X)","(X)","33,893","±2,810","29,315","±3,763","(X)","(X)","34,583","±4,926","31,974","±3,887","(X)","(X)","37,098","±1,622","29,616","±1,977","(X)","(X)","36,452","±1,854","26,986","±2,022","(X)","(X)","44,178","±2,917","32,615","±1,682","(X)","(X)","38,845","±2,734","31,225","±897","(X)","(X)","61,058","±5,126","39,827","±2,929","(X)","(X)","36,927","±2,075","31,402","±6,145","(X)","(X)","35,558","±3,883","23,280","±2,889","(X)","(X)","35,873","±2,094","27,516","±4,112","(X)","(X)","30,935","±1,930","27,105","±2,650","(X)","(X)","43,140","±3,193","27,477","±2,973"
"Mean earnings (dollars)","43,775","±2,908","50,559","±4,363","33,997","±2,004","45,493","±1,412","49,925","±2,030","39,719","±1,699","48,006","±1,750","54,275","±3,007","40,319","±1,676","38,069","±3,810","44,178","±6,408","30,415","±1,844","39,693","±2,339","41,555","±3,381","36,896","±3,028","42,338","±1,978","48,034","±3,074","34,344","±1,571","42,245","±3,092","47,825","±4,532","35,139","±3,950","47,024","±1,869","53,656","±2,840","38,091","±1,882","42,725","±3,191","49,625","±5,368","34,658","±2,650","70,526","±4,872","85,838","±7,148","48,609","±3,010","41,297","±3,331","46,357","±4,720","34,601","±3,005","41,937","±4,774","49,873","±8,223","31,810","±3,357","39,873","±3,587","47,443","±5,631","31,122","±2,417","37,678","±4,704","40,466","±6,963","32,861","±4,235","42,937","±2,798","49,067","±4,322","34,041","±2,979"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,943","±1,673","37,970","±2,567","26,250","±2,197","34,583","±1,602","39,779","±2,035","30,037","±1,727","29,184","±1,323","31,021","±1,168","27,119","±930","26,573","±1,446","30,439","±2,923","22,110","±2,208","30,006","±2,857","32,774","±4,165","25,632","±2,961","28,548","±1,581","32,214","±2,272","23,463","±2,588","26,932","±1,830","31,034","±2,443","22,409","±2,974","33,917","±1,768","40,737","±1,224","27,825","±1,789","30,214","±1,207","32,720","±3,179","27,103","±2,964","42,205","±2,158","52,744","±3,162","32,037","±2,478","32,220","±2,492","36,143","±1,822","25,008","±2,719","21,393","±1,254","24,841","±2,301","18,881","±938","27,150","±2,064","32,420","±2,128","22,383","±2,230","21,696","±1,957","26,322","±5,610","18,295","±3,195","30,897","±1,476","40,425","±2,473","25,392","±1,467"
"    Less than high school graduate","25,044","±4,147","28,096","±3,421","17,467","±6,295","19,028","±2,330","21,545","±4,350","15,216","±2,985","20,286","±1,443","21,442","±2,458","19,096","±2,131","16,368","±1,135","17,485","±5,497","14,337","±1,620","22,796","±2,932","24,901","±8,158","18,596","±3,701","16,636","±3,233","16,344","±3,156","17,917","±5,728","13,299","±4,863","16,012","±9,523","10,588","±5,197","20,630","±2,166","26,081","±4,797","17,480","±4,998","20,724","±2,253","21,538","±1,981","17,119","±3,660","20,545","±3,228","22,554","±5,174","16,080","±6,569","21,966","±1,827","21,154","±4,413","22,873","±2,086","13,795","±2,817","13,333","±2,729","16,346","±9,804","17,182","±6,984","24,286","±9,988","15,737","±5,115","20,306","±4,631","26,708","±6,825","15,978","±2,605","27,341","±8,905","33,832","±8,155","20,330","±11,551"
"    High school graduate (includes equivalency)","31,602","±3,155","37,964","±3,581","25,409","±3,307","32,081","±1,362","37,751","±3,635","26,820","±1,795","23,985","±1,198","24,868","±1,414","21,434","±2,217","26,737","±1,233","31,036","±4,026","21,230","±1,369","25,536","±3,789","30,889","±7,565","17,720","±4,295","26,770","±1,482","31,323","±1,365","21,040","±1,687","25,619","±2,430","28,782","±3,976","21,834","±3,438","30,128","±1,726","36,511","±4,879","25,397","±1,700","30,180","±2,212","35,612","±5,569","24,863","±3,486","27,629","±2,663","29,316","±4,820","26,699","±2,734","30,054","±5,629","35,770","±3,645","22,484","±4,192","16,828","±2,494","22,091","±8,161","15,938","±1,804","24,803","±2,211","30,657","±2,813","21,439","±1,602","19,274","±2,883","21,537","±7,268","14,763","±4,612","24,996","±2,138","33,794","±11,448","20,625","±5,046"
"    Some college or associate's degree","31,621","±2,538","45,099","±8,339","26,159","±4,469","35,905","±1,668","43,525","±2,265","30,223","±2,417","27,936","±1,945","30,058","±2,169","26,562","±1,314","30,568","±5,393","35,089","±4,140","25,848","±7,872","31,461","±1,866","35,808","±5,238","27,465","±4,137","27,547","±2,854","35,671","±4,672","22,170","±1,895","22,424","±6,075","30,615","±4,911","20,643","±3,123","36,888","±2,702","45,950","±3,725","28,680","±2,270","30,730","±1,803","35,967","±2,923","26,632","±6,050","35,166","±4,524","45,125","±7,168","25,119","±2,649","31,888","±2,003","36,370","±1,468","21,728","±4,678","20,734","±1,377","27,725","±5,214","18,408","±1,217","23,452","±5,380","34,542","±7,890","17,699","±3,175","21,210","±2,737","22,449","±12,530","19,605","±8,159","31,498","±3,855","39,593","±5,255","26,587","±2,899"
"    Bachelor's degree","44,590","±5,234","51,818","±11,411","41,813","±6,258","44,507","±3,901","50,017","±4,586","41,786","±2,227","32,410","±2,595","37,887","±3,114","29,716","±1,736","43,512","±4,741","44,576","±11,639","36,667","±19,959","43,574","±3,168","45,263","±5,355","41,518","±4,995","41,650","±2,685","46,031","±6,042","32,635","±6,198","48,558","±6,811","62,679","±25,923","44,494","±10,007","45,294","±6,628","53,507","±4,403","37,753","±3,598","41,645","±6,347","44,000","±15,054","40,286","±6,156","50,712","±3,562","58,403","±11,566","39,853","±12,240","38,705","±1,824","42,679","±12,975","38,387","±1,734","43,333","±9,266","47,019","±10,741","37,115","±11,936","41,925","±4,745","52,887","±18,257","34,634","±5,323","27,888","±9,159","31,471","±8,238","18,036","±16,317","37,986","±11,276","44,449","±16,919","26,667","±3,544"
"    Graduate or professional degree","51,433","±6,906","50,185","±30,535","53,086","±4,173","54,313","±2,667","55,556","±11,175","54,213","±2,311","48,764","±2,538","54,200","±5,105","44,223","±1,735","53,264","±1,169","56,094","±42,423","53,201","±1,025","52,303","±6,777","47,708","±10,873","55,347","±8,008","51,149","±3,740","63,286","±9,215","47,913","±2,227","56,989","±4,041","55,257","±21,720","58,175","±3,778","50,388","±2,886","55,917","±8,223","49,122","±2,158","45,839","±2,808","44,755","±3,478","46,628","±6,245","67,928","±8,414","91,250","±16,081","55,592","±4,494","56,599","±1,798","86,589","±18,647","55,422","±2,847","49,531","±12,098","62,721","±52,229","48,621","±7,372","52,262","±7,879","57,167","±36,811","50,714","±6,562","37,042","±20,307","76,250","±85,957","35,750","±7,044","62,832","±7,926","63,750","±2,660","53,967","±10,234"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","14.5%","(X)","(X)","(X)","(X)","(X)","15.0%","(X)","(X)","(X)","(X)","(X)","14.5%","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","14.7%","(X)","(X)","(X)","(X)","(X)","14.9%","(X)","(X)","(X)","(X)","(X)","15.7%","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","13.0%","(X)","(X)","(X)","(X)","(X)","12.9%","(X)","(X)","(X)","(X)","(X)","13.2%","(X)","(X)","(X)","(X)","(X)","16.5%","(X)","(X)","(X)","(X)","(X)","16.8%","(X)","(X)","(X)","(X)","(X)","17.9%","(X)","(X)","(X)","(X)","(X)","13.3%","(X)","(X)","(X)","(X)","(X)"
