"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,673","±334","4,921","±234","3,752","±208","34,766","±779","18,572","±418","16,194","±585","62,840","±1,193","31,272","±810","31,568","±891","9,025","±425","4,551","±248","4,474","±312","9,630","±480","5,269","±318","4,361","±316","19,480","±669","10,574","±326","8,906","±557","10,921","±464","5,819","±326","5,102","±330","28,748","±743","15,702","±376","13,046","±612","12,591","±510","6,664","±381","5,927","±320","17,225","±406","9,325","±227","7,900","±313","6,661","±343","3,679","±280","2,982","±247","7,317","±396","4,076","±232","3,241","±253","11,870","±587","5,976","±474","5,894","±327","4,689","±268","2,387","±172","2,302","±200","12,869","±561","7,134","±476","5,735","±501"
"Median earnings (dollars)","27,841","±2,295","33,194","±3,181","22,226","±2,387","30,940","±1,076","35,450","±1,769","26,090","±1,482","18,069","±1,145","21,383","±964","15,718","±931","22,841","±2,036","26,851","±1,809","20,062","±2,953","25,643","±1,722","28,438","±4,484","22,181","±3,153","25,419","±1,188","30,100","±1,111","21,442","±932","24,518","±3,549","28,479","±2,590","20,828","±2,070","31,147","±946","37,590","±2,021","25,456","±1,590","27,490","±1,813","29,858","±2,279","24,221","±3,297","35,735","±2,415","45,156","±4,722","27,351","±2,239","30,146","±3,934","32,244","±2,253","23,677","±2,279","20,377","±1,525","23,392","±2,338","18,162","±1,157","23,382","±2,398","28,539","±2,849","20,045","±2,436","17,458","±2,113","21,592","±1,594","12,349","±2,091","26,877","±1,401","33,254","±4,442","23,911","±2,816"
"Full-time, year-round workers with earnings","5,708","±427","3,370","±314","2,338","±216","22,734","±837","12,863","±560","9,871","±524","29,807","±911","16,417","±660","13,390","±622","5,551","±427","3,087","±274","2,464","±315","6,271","±418","3,765","±295","2,506","±286","11,638","±604","6,796","±379","4,842","±416","7,021","±498","3,933","±361","3,088","±381","19,799","±748","11,363","±479","8,436","±548","7,995","±616","4,309","±455","3,686","±293","11,466","±489","6,750","±300","4,716","±396","4,786","±385","2,726","±283","2,060","±274","3,999","±330","2,242","±233","1,757","±224","7,477","±524","4,009","±411","3,468","±367","2,286","±267","1,448","±174","838","±151","7,868","±596","4,658","±482","3,210","±455"
"$1 to $9,999 or loss","3.6%","±2.0","2.9%","±2.3","4.7%","±2.9","1.6%","±0.5","0.9%","±0.5","2.5%","±1.1","2.4%","±0.7","2.3%","±0.8","2.4%","±1.0","4.6%","±1.8","4.9%","±2.9","4.3%","±2.5","4.1%","±2.0","3.4%","±2.1","5.2%","±3.6","3.3%","±0.9","2.7%","±1.2","4.0%","±1.5","7.8%","±2.9","5.6%","±3.2","10.7%","±5.0","3.1%","±0.9","3.0%","±1.0","3.2%","±1.6","3.5%","±2.4","2.6%","±2.3","4.6%","±3.1","2.2%","±1.2","2.1%","±1.3","2.2%","±1.5","3.0%","±2.0","3.1%","±2.7","2.8%","±2.7","2.0%","±1.7","1.5%","±1.5","2.5%","±3.1","3.1%","±1.6","1.4%","±1.3","5.1%","±3.2","3.3%","±2.6","3.5%","±3.6","3.1%","±3.5","4.1%","±2.0","3.8%","±2.3","4.5%","±2.8"
"$10,000 to $14,999","6.0%","±1.9","2.7%","±1.7","10.7%","±3.5","4.3%","±1.1","3.1%","±1.4","5.9%","±1.8","4.5%","±0.9","4.5%","±1.4","4.5%","±1.0","6.8%","±2.3","4.1%","±2.2","10.2%","±4.4","6.7%","±2.3","6.7%","±3.4","6.6%","±3.5","5.1%","±1.5","5.5%","±2.2","4.5%","±1.8","4.7%","±2.0","2.5%","±2.1","7.4%","±3.8","4.8%","±1.2","2.6%","±1.0","7.8%","±2.5","5.2%","±1.8","4.0%","±2.0","6.6%","±3.1","3.2%","±1.1","2.7%","±1.3","3.9%","±1.8","5.3%","±3.3","2.9%","±2.1","8.5%","±6.5","10.3%","±3.2","12.7%","±5.5","7.2%","±4.8","4.4%","±1.8","2.0%","±1.7","7.1%","±3.5","6.5%","±3.6","6.1%","±5.5","7.2%","±5.0","4.7%","±2.0","2.7%","±1.9","7.6%","±4.0"
"$15,000 to $24,999","16.9%","±3.0","14.6%","±3.8","20.4%","±5.0","12.8%","±1.8","9.6%","±1.9","17.0%","±2.9","20.7%","±1.7","19.0%","±2.2","22.8%","±2.4","23.4%","±3.4","21.1%","±6.1","26.3%","±6.1","20.0%","±3.6","19.1%","±4.6","21.4%","±5.7","19.8%","±2.1","15.2%","±2.8","26.2%","±3.8","20.5%","±3.6","17.9%","±4.5","23.9%","±5.5","15.0%","±1.7","10.6%","±2.0","20.9%","±3.2","17.4%","±2.7","13.7%","±3.6","21.7%","±4.9","9.1%","±1.9","4.7%","±1.5","15.5%","±3.7","19.2%","±5.3","13.8%","±5.9","26.4%","±7.9","29.1%","±5.0","16.7%","±4.4","44.8%","±9.0","26.9%","±4.5","21.0%","±5.3","33.7%","±6.5","27.6%","±7.6","26.0%","±9.2","30.2%","±9.8","19.8%","±4.0","16.5%","±5.2","24.6%","±7.2"
"$25,000 to $34,999","20.0%","±3.9","16.4%","±4.8","25.2%","±5.2","20.2%","±2.2","18.3%","±2.7","22.7%","±3.1","22.4%","±1.9","20.4%","±2.5","24.9%","±3.0","25.5%","±3.9","22.3%","±5.5","29.5%","±6.8","21.1%","±3.7","21.3%","±4.9","20.8%","±5.6","23.5%","±2.4","20.9%","±3.5","27.2%","±4.4","21.5%","±3.3","19.8%","±3.9","23.8%","±5.5","19.3%","±2.1","16.7%","±2.7","22.8%","±3.5","25.2%","±4.0","20.8%","±4.6","30.3%","±5.0","16.4%","±2.6","12.9%","±2.9","21.3%","±4.2","20.1%","±4.5","22.0%","±5.6","17.6%","±6.2","16.1%","±3.8","18.0%","±4.8","13.5%","±5.1","20.4%","±3.2","23.3%","±5.3","17.0%","±5.1","28.8%","±6.4","28.7%","±9.4","29.0%","±8.9","20.9%","±4.0","14.8%","±4.3","29.7%","±7.0"
"$35,000 to $49,999","24.0%","±3.4","25.6%","±4.8","21.6%","±5.1","28.2%","±2.3","29.4%","±2.9","26.7%","±3.6","20.4%","±1.6","19.7%","±2.4","21.2%","±2.3","20.2%","±4.0","23.5%","±5.4","16.0%","±5.3","21.6%","±4.2","21.0%","±5.2","22.6%","±6.3","23.6%","±2.5","25.8%","±4.0","20.5%","±3.7","19.8%","±3.3","24.6%","±4.0","13.7%","±4.4","24.4%","±2.2","25.9%","±2.7","22.4%","±3.3","22.0%","±3.4","25.2%","±5.2","18.1%","±4.2","16.3%","±2.8","15.5%","±3.4","17.6%","±3.6","22.8%","±4.2","25.1%","±6.7","19.7%","±5.9","15.3%","±3.8","16.9%","±5.1","13.4%","±5.8","24.1%","±4.1","24.6%","±5.0","23.6%","±5.9","12.1%","±4.7","11.9%","±6.4","12.4%","±5.6","17.6%","±3.5","20.9%","±4.6","12.9%","±4.2"
"$50,000 to $64,999","14.1%","±2.6","15.5%","±3.2","12.1%","±3.6","17.2%","±1.9","20.0%","±2.6","13.4%","±2.8","12.9%","±1.4","14.3%","±2.1","11.2%","±1.8","11.2%","±3.0","11.0%","±3.9","11.3%","±4.2","14.0%","±3.3","14.1%","±4.3","13.7%","±5.3","11.5%","±2.0","12.2%","±2.8","10.6%","±2.5","10.1%","±2.6","10.8%","±3.1","9.2%","±3.9","14.9%","±2.2","17.0%","±3.0","12.1%","±2.8","12.1%","±2.6","13.7%","±3.8","10.1%","±3.3","16.9%","±2.3","16.4%","±2.6","17.6%","±3.8","16.9%","±4.1","14.9%","±4.8","19.6%","±8.5","13.9%","±4.0","14.5%","±5.2","13.0%","±5.4","9.8%","±3.1","9.5%","±4.0","10.1%","±3.7","10.2%","±3.4","9.6%","±4.9","11.2%","±5.9","15.2%","±3.0","17.6%","±4.9","11.6%","±4.7"
"$65,000 to $74,999","5.8%","±2.3","9.1%","±3.9","1.1%","±0.8","5.4%","±1.1","6.2%","±1.6","4.3%","±1.6","3.9%","±0.8","3.2%","±0.9","4.8%","±1.5","3.0%","±1.5","5.4%","±2.8","0.0%","±1.6","3.3%","±1.7","4.0%","±2.6","2.3%","±1.7","3.3%","±1.0","3.3%","±1.4","3.3%","±1.4","3.0%","±1.5","3.5%","±2.2","2.4%","±1.6","5.5%","±1.2","6.5%","±1.9","4.2%","±1.4","5.9%","±2.2","7.3%","±2.9","4.3%","±2.4","7.0%","±1.6","7.8%","±2.3","5.8%","±2.1","6.0%","±2.4","8.7%","±4.2","2.4%","±2.2","3.9%","±1.9","4.4%","±2.8","3.1%","±2.8","2.7%","±1.3","3.9%","±2.2","1.3%","±1.3","4.2%","±2.8","5.1%","±3.6","2.6%","±2.6","6.7%","±2.6","9.7%","±4.3","2.4%","±1.5"
