"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,480","±410","4,681","±254","3,799","±259","35,120","±765","19,246","±491","15,874","±500","65,723","±1,198","32,621","±858","33,102","±785","8,190","±416","4,116","±248","4,074","±278","8,961","±460","4,858","±302","4,103","±303","18,947","±584","10,356","±332","8,591","±459","10,920","±461","5,863","±347","5,057","±317","28,910","±746","15,531","±443","13,379","±561","12,419","±518","6,405","±337","6,014","±353","17,832","±404","9,458","±236","8,374","±315","6,895","±335","3,549","±236","3,346","±233","6,897","±298","3,856","±205","3,041","±205","11,411","±522","5,806","±405","5,605","±339","4,288","±312","2,032","±213","2,256","±197","12,470","±550","6,679","±334","5,791","±395"
"Median earnings (dollars)","26,327","±1,588","31,380","±3,294","22,138","±2,938","28,895","±1,838","33,592","±2,006","24,374","±1,267","16,696","±609","20,481","±894","13,282","±1,018","23,310","±2,310","26,473","±1,281","19,668","±2,462","24,773","±1,861","27,370","±2,287","20,159","±1,752","25,178","±1,083","29,369","±1,979","20,924","±1,086","25,539","±1,351","28,650","±3,816","21,735","±3,443","31,674","±910","37,833","±2,427","26,193","±1,544","29,356","±1,986","31,635","±1,499","26,160","±1,938","36,395","±2,228","46,626","±4,590","28,008","±4,404","28,463","±2,593","32,055","±2,530","24,494","±1,764","23,077","±2,086","26,211","±1,341","18,653","±2,868","25,877","±1,295","27,516","±3,123","23,142","±3,595","15,474","±1,550","20,111","±4,885","12,284","±1,893","23,931","±3,032","30,016","±2,428","19,393","±2,637"
"Full-time, year-round workers with earnings","5,747","±396","3,369","±277","2,378","±238","23,045","±666","13,314","±502","9,731","±480","30,245","±1,018","16,827","±693","13,418","±750","5,239","±420","2,808","±264","2,431","±300","5,803","±428","3,425","±311","2,378","±262","11,817","±556","6,820","±387","4,997","±386","7,163","±525","4,084","±347","3,079","±372","20,714","±770","11,914","±511","8,800","±456","8,421","±430","4,475","±307","3,946","±314","11,613","±416","7,065","±271","4,548","±323","4,951","±360","2,718","±262","2,233","±222","3,914","±357","2,384","±252","1,530","±211","7,389","±470","3,987","±371","3,402","±348","1,881","±194","1,012","±149","869","±147","7,216","±581","4,221","±384","2,995","±389"
"    $1 to $9,999 or loss","4.7%","±1.9","4.2%","±2.7","5.4%","±2.2","1.1%","±0.5","0.8%","±0.4","1.6%","±0.9","3.1%","±0.9","3.0%","±1.2","3.2%","±1.0","2.4%","±1.0","1.4%","±1.1","3.6%","±2.1","3.8%","±1.6","4.5%","±2.7","2.6%","±2.2","3.7%","±1.2","2.2%","±1.2","5.8%","±2.1","3.8%","±2.3","4.0%","±2.7","3.5%","±3.0","2.1%","±0.7","1.7%","±0.7","2.8%","±1.3","1.9%","±0.8","1.8%","±1.2","1.9%","±1.4","1.3%","±0.5","1.3%","±0.8","1.4%","±0.9","2.4%","±1.3","2.3%","±1.9","2.6%","±1.8","2.0%","±1.2","2.3%","±1.5","1.4%","±1.5","3.4%","±1.5","0.9%","±0.8","6.3%","±3.2","3.9%","±2.0","1.9%","±1.8","6.2%","±3.8","1.4%","±1.0","1.0%","±0.9","2.1%","±1.9"
"    $10,000 to $14,999","4.5%","±1.5","2.7%","±1.8","7.0%","±3.2","4.9%","±1.2","3.7%","±1.5","6.6%","±1.7","6.5%","±1.2","5.0%","±1.4","8.3%","±1.9","7.2%","±2.8","4.2%","±2.4","10.7%","±4.9","7.0%","±2.3","6.4%","±2.8","7.9%","±4.7","4.4%","±1.2","2.9%","±1.3","6.3%","±2.1","6.9%","±2.6","2.5%","±1.8","12.8%","±4.9","5.7%","±1.3","3.1%","±1.4","9.4%","±2.5","4.2%","±1.7","2.2%","±1.2","6.5%","±3.3","3.0%","±1.0","3.0%","±1.3","3.0%","±1.3","3.6%","±1.4","1.3%","±0.8","6.4%","±3.0","8.0%","±3.7","9.8%","±5.4","5.3%","±2.5","5.1%","±2.2","5.1%","±3.3","5.1%","±3.1","5.7%","±3.4","5.9%","±4.8","5.5%","±4.7","6.9%","±2.9","5.3%","±3.8","9.2%","±4.9"
"    $15,000 to $24,999","19.6%","±3.3","18.2%","±4.5","21.7%","±5.0","15.6%","±1.6","11.3%","±1.9","21.4%","±2.9","20.7%","±2.0","20.7%","±2.8","20.9%","±2.5","23.6%","±3.9","21.8%","±5.2","25.6%","±6.0","20.8%","±4.3","15.9%","±3.9","28.0%","±7.4","20.4%","±2.5","15.7%","±3.1","26.8%","±4.1","19.6%","±3.6","18.7%","±4.7","20.8%","±5.9","15.3%","±2.3","13.4%","±2.5","18.0%","±3.6","18.5%","±2.7","16.9%","±3.7","20.4%","±4.5","9.8%","±2.0","9.0%","±2.1","11.1%","±3.2","23.0%","±3.3","20.5%","±5.1","26.2%","±5.8","23.6%","±4.1","19.2%","±4.6","30.4%","±7.6","20.7%","±3.7","19.2%","±4.8","22.5%","±5.7","27.5%","±6.1","23.4%","±7.7","32.3%","±7.9","21.3%","±4.5","19.4%","±5.6","24.0%","±8.0"
"    $25,000 to $34,999","18.9%","±3.2","16.0%","±3.7","22.9%","±4.7","20.8%","±1.8","19.8%","±2.6","22.2%","±2.4","22.5%","±1.8","21.6%","±2.4","23.6%","±2.3","21.9%","±5.1","23.1%","±6.5","20.4%","±6.2","23.0%","±4.0","24.1%","±5.4","21.4%","±5.2","23.5%","±3.0","23.8%","±3.7","23.2%","±4.0","22.9%","±3.4","22.9%","±5.2","22.9%","±5.1","19.5%","±1.9","16.2%","±2.6","24.0%","±3.5","22.8%","±2.7","18.4%","±3.4","27.7%","±5.6","15.1%","±2.3","11.3%","±2.5","21.0%","±4.7","19.6%","±4.1","17.1%","±5.0","22.7%","±5.9","23.9%","±4.3","22.5%","±5.4","26.1%","±6.8","26.9%","±4.3","24.4%","±5.4","29.9%","±6.9","20.0%","±5.0","16.5%","±6.6","24.1%","±7.3","20.9%","±3.9","18.3%","±5.6","24.5%","±5.6"
"    $35,000 to $49,999","24.6%","±3.7","28.6%","±5.3","18.9%","±5.3","26.4%","±2.1","27.4%","±2.5","25.0%","±3.5","19.1%","±1.8","18.7%","±2.3","19.7%","±2.4","20.3%","±3.1","20.4%","±4.3","20.2%","±4.4","19.6%","±3.5","20.3%","±4.4","18.7%","±5.5","23.8%","±2.5","25.8%","±3.4","21.0%","±4.3","21.4%","±3.9","24.4%","±5.3","17.5%","±5.5","23.2%","±2.4","23.3%","±3.2","23.1%","±3.4","24.0%","±3.0","27.0%","±4.1","20.6%","±4.3","16.6%","±2.4","15.1%","±2.6","18.9%","±3.6","21.3%","±3.2","22.7%","±5.1","19.5%","±4.9","18.9%","±4.1","20.1%","±4.6","17.1%","±6.2","23.0%","±3.8","25.5%","±5.8","20.2%","±5.9","20.1%","±5.4","24.9%","±8.3","14.5%","±6.3","18.9%","±3.8","17.1%","±4.9","21.3%","±6.1"
"    $50,000 to $64,999","15.9%","±2.7","15.5%","±3.3","16.4%","±5.1","15.1%","±1.6","19.0%","±2.3","9.8%","±2.0","12.1%","±1.5","13.2%","±2.1","10.7%","±1.7","12.9%","±3.3","10.8%","±3.7","15.3%","±5.4","14.5%","±2.8","14.5%","±3.6","14.6%","±4.9","11.3%","±1.9","12.4%","±2.7","9.7%","±2.5","8.2%","±2.8","9.5%","±3.4","6.5%","±3.2","14.2%","±1.9","16.5%","±2.7","11.0%","±2.3","14.8%","±2.4","17.1%","±3.8","12.1%","±3.4","19.9%","±2.3","17.6%","±2.9","23.5%","±4.5","15.4%","±3.4","13.2%","±4.2","18.1%","±5.2","9.8%","±2.3","9.1%","±2.7","11.0%","±3.9","10.6%","±2.6","10.1%","±3.6","11.2%","±4.2","9.8%","±4.3","10.7%","±6.1","8.9%","±4.8","14.7%","±3.6","18.5%","±5.5","9.5%","±4.4"
"    $65,000 to $74,999","5.4%","±1.7","7.1%","±2.8","2.9%","±1.5","5.2%","±1.0","5.6%","±1.5","4.7%","±1.2","3.7%","±0.7","3.1%","±0.7","4.5%","±1.3","3.2%","±1.6","3.8%","±2.2","2.6%","±2.0","4.7%","±2.1","6.6%","±3.4","1.9%","±1.2","3.4%","±1.0","4.6%","±1.4","1.8%","±1.1","4.0%","±1.7","4.5%","±2.5","3.3%","±2.0","5.6%","±1.1","6.9%","±1.6","3.8%","±1.5","4.7%","±1.5","6.3%","±2.3","2.9%","±1.8","5.8%","±1.5","5.5%","±1.9","6.2%","±2.3","4.9%","±2.0","8.1%","±3.7","1.0%","±0.6","5.7%","±2.4","7.3%","±3.2","3.3%","±4.0","2.5%","±1.3","3.8%","±2.1","1.0%","±1.2","5.8%","±3.2","6.1%","±4.0","5.4%","±3.9","3.9%","±2.1","6.3%","±3.6","0.7%","±0.9"
