"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    $75,000 to $99,999","4.1%","±1.6","4.5%","±2.1","3.6%","±2.6","6.6%","±0.9","7.5%","±1.3","5.4%","±1.6","5.2%","±0.7","5.5%","±1.0","4.9%","±1.2","4.6%","±2.2","8.3%","±4.1","0.3%","±0.4","3.8%","±1.7","3.6%","±2.4","3.9%","±2.2","4.9%","±1.3","6.6%","±2.0","2.7%","±1.1","6.8%","±2.4","5.7%","±2.7","8.2%","±4.6","7.5%","±1.4","9.5%","±2.3","4.9%","±1.5","4.4%","±1.5","4.7%","±2.0","4.1%","±2.1","9.2%","±1.9","12.0%","±2.6","4.8%","±1.9","6.0%","±2.3","8.6%","±4.0","2.9%","±2.0","3.4%","±1.7","3.9%","±2.2","2.6%","±2.1","4.6%","±2.0","6.5%","±3.3","2.4%","±2.3","3.5%","±2.5","4.8%","±4.6","1.8%","±2.0","7.9%","±2.5","8.0%","±3.3","7.9%","±3.8"
"    $100,000 or more","2.3%","±1.3","3.1%","±1.9","1.2%","±1.0","4.3%","±1.0","5.0%","±1.3","3.2%","±1.2","7.1%","±0.9","9.2%","±1.4","4.4%","±1.1","4.0%","±1.7","6.3%","±2.8","1.3%","±1.5","2.9%","±1.1","4.1%","±1.9","1.1%","±0.9","4.6%","±1.2","5.9%","±1.9","2.8%","±1.5","6.4%","±2.4","7.8%","±2.9","4.5%","±3.6","6.9%","±1.1","9.6%","±1.7","3.2%","±1.3","4.7%","±1.6","5.6%","±1.9","3.7%","±2.3","19.2%","±2.3","25.1%","±3.1","10.0%","±3.0","3.7%","±1.6","6.2%","±2.6","0.6%","±0.9","4.6%","±2.2","5.8%","±3.2","2.7%","±2.1","3.0%","±1.5","4.5%","±2.4","1.4%","±1.2","3.7%","±2.0","5.7%","±3.0","1.3%","±1.9","3.9%","±1.7","6.2%","±2.6","0.7%","±1.1"
"Median earnings (dollars)","(X)","(X)","38,603","±2,354","30,694","±3,456","(X)","(X)","41,819","±864","33,803","±2,284","(X)","(X)","34,828","±1,844","31,948","±1,040","(X)","(X)","34,400","±6,089","29,063","±4,042","(X)","(X)","34,219","±4,808","30,729","±3,228","(X)","(X)","37,109","±1,988","30,124","±2,422","(X)","(X)","35,732","±2,409","29,344","±2,702","(X)","(X)","43,992","±1,757","33,219","±1,476","(X)","(X)","40,370","±2,501","32,103","±1,386","(X)","(X)","60,060","±4,290","45,266","±4,660","(X)","(X)","39,079","±3,974","30,534","±3,172","(X)","(X)","31,358","±4,024","27,170","±2,021","(X)","(X)","35,219","±3,060","30,792","±2,844","(X)","(X)","36,369","±8,126","29,063","±6,103","(X)","(X)","40,121","±4,086","30,006","±4,495"
"Mean earnings (dollars)","40,293","±2,441","43,590","±3,683","35,621","±2,447","46,025","±1,715","49,243","±2,211","41,621","±2,463","44,999","±1,604","48,980","±2,370","40,006","±1,623","43,330","±4,865","51,904","±8,789","33,427","±3,181","39,904","±2,986","43,393","±4,869","34,879","±2,505","41,283","±1,945","45,661","±2,399","35,306","±2,853","44,254","±4,438","48,008","±5,761","39,274","±5,543","48,810","±2,000","54,610","±2,609","40,958","±2,563","43,455","±2,188","47,963","±3,512","38,343","±2,913","69,774","±4,874","81,293","±7,206","51,880","±3,230","42,228","±3,128","47,918","±4,660","35,302","±2,375","40,607","±4,733","44,200","±7,218","35,010","±3,483","39,600","±3,043","44,321","±5,167","34,067","±2,646","39,348","±3,862","44,964","±5,608","32,808","±3,628","41,814","±2,433","45,991","±3,203","35,927","±3,682"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","30,721","±2,361","35,583","±3,051","25,658","±2,891","32,618","±1,313","37,535","±2,129","27,295","±1,643","26,926","±693","28,997","±1,696","25,298","±1,039","26,261","±1,369","29,669","±3,793","22,427","±2,772","26,521","±1,558","30,245","±2,181","22,016","±1,955","27,741","±2,200","33,517","±2,864","22,724","±1,354","27,994","±2,072","31,543","±1,433","24,215","±2,956","34,601","±1,761","41,607","±1,821","29,028","±2,141","31,560","±818","35,566","±2,308","29,300","±2,719","42,381","±3,182","52,242","±3,537","32,473","±2,821","30,690","±1,595","35,216","±3,415","26,651","±3,040","(X)","(X)","(X)","(X)","(X)","(X)","29,226","±3,147","32,531","±3,388","26,188","±1,538","(X)","(X)","(X)","(X)","(X)","(X)","28,989","±2,766","35,102","±5,321","22,144","±4,148"
"        Less than high school graduate","22,337","±5,122","25,706","±3,333","17,083","±6,832","25,773","±2,221","27,054","±1,929","18,797","±2,378","15,102","±2,572","16,382","±2,772","11,174","±5,191","21,561","±1,241","22,804","±3,523","15,357","±5,031","19,167","±2,994","25,492","±3,416","16,893","±2,365","18,898","±2,390","21,430","±3,708","16,004","±1,143","19,203","±4,516","22,183","±6,502","13,537","±2,228","21,393","±1,590","24,135","±3,587","14,699","±7,810","23,684","±2,096","25,219","±2,893","21,337","±5,915","17,003","±3,980","17,692","±6,458","15,958","±4,167","22,719","±1,314","22,813","±4,808","22,695","±1,461","(X)","(X)","(X)","(X)","(X)","(X)","19,770","±6,169","24,917","±9,112","18,926","±1,726","(X)","(X)","(X)","(X)","(X)","(X)","25,724","±6,646","27,885","±5,077","20,027","±8,414"
"        High school graduate (includes equivalency)","29,313","±4,616","36,466","±4,816","24,464","±5,802","28,734","±2,750","32,224","±2,748","25,263","±1,770","23,579","±1,785","25,398","±1,592","20,872","±1,960","25,092","±2,082","28,077","±2,881","19,574","±3,300","22,687","±2,378","28,312","±4,532","17,372","±4,101","26,836","±1,899","32,583","±4,511","20,723","±1,793","26,683","±1,431","31,028","±2,179","20,744","±2,988","30,299","±2,196","34,943","±2,589","24,644","±2,787","30,675","±1,092","35,061","±6,045","27,367","±2,709","28,529","±3,236","30,885","±2,377","25,742","±3,351","28,266","±2,882","30,945","±2,804","25,734","±6,567","(X)","(X)","(X)","(X)","(X)","(X)","25,766","±1,307","27,039","±3,296","22,402","±3,013","(X)","(X)","(X)","(X)","(X)","(X)","24,533","±3,192","30,601","±6,199","18,275","±5,065"
"        Some college or associate's degree","31,561","±2,406","38,621","±11,683","27,531","±5,395","33,999","±2,502","41,415","±2,915","26,285","±1,768","23,413","±2,368","27,538","±2,438","19,897","±2,172","31,731","±10,323","45,163","±11,584","26,922","±4,291","29,976","±2,864","31,378","±2,140","27,068","±2,752","28,906","±4,275","37,407","±4,777","23,410","±1,786","27,226","±3,368","32,703","±3,721","22,801","±5,035","37,439","±3,335","48,484","±4,902","30,703","±1,256","30,680","±1,931","36,375","±1,785","25,258","±2,902","37,208","±3,820","47,045","±7,488","29,028","±5,767","35,313","±7,608","45,587","±6,827","27,721","±4,055","(X)","(X)","(X)","(X)","(X)","(X)","29,756","±3,239","38,125","±3,970","26,196","±2,393","(X)","(X)","(X)","(X)","(X)","(X)","30,009","±6,103","37,844","±6,999","18,934","±7,269"
"        Bachelor's degree","38,182","±8,960","41,442","±11,090","36,838","±12,609","44,024","±4,578","51,042","±3,563","38,910","±5,864","31,009","±1,234","33,561","±4,131","28,757","±2,872","46,742","±9,458","50,813","±10,268","41,211","±9,579","41,825","±6,661","45,944","±6,803","40,321","±10,957","41,450","±4,361","52,596","±6,172","31,429","±10,191","53,527","±21,589","47,019","±26,134","63,047","±33,717","46,722","±5,492","58,770","±7,818","39,668","±3,303","46,238","±5,314","43,839","±17,333","46,396","±3,878","49,846","±5,269","62,766","±12,726","35,802","±6,637","35,217","±6,404","37,625","±20,367","31,435","±10,164","(X)","(X)","(X)","(X)","(X)","(X)","40,381","±8,612","36,487","±10,693","41,982","±8,436","(X)","(X)","(X)","(X)","(X)","(X)","34,048","±6,430","48,009","±18,071","27,019","±4,998"
"        Graduate or professional degree","52,336","±4,347","50,517","±38,160","53,340","±2,251","51,178","±4,080","49,765","±7,196","52,154","±3,915","46,300","±3,835","46,064","±6,891","46,373","±3,448","53,435","±2,118","59,271","±32,823","53,236","±1,792","55,888","±8,320","51,000","±36,455","56,422","±5,405","46,674","±5,827","65,028","±22,693","42,161","±6,975","54,263","±14,180","69,554","±42,695","53,462","±4,508","51,397","±1,316","55,392","±6,051","50,506","±4,647","52,111","±4,827","50,119","±9,340","52,969","±3,936","63,258","±4,026","95,337","±8,053","52,981","±2,513","56,861","±4,575","87,772","±23,399","55,412","±2,478","(X)","(X)","(X)","(X)","(X)","(X)","59,008","±5,217","93,267","±24,662","49,464","±3,956","(X)","(X)","(X)","(X)","(X)","(X)","45,698","±6,862","56,744","±11,160","36,711","±7,886"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","18.1%","(X)","(X)","(X)","(X)","(X)","18.2%","(X)","(X)","(X)","(X)","(X)","17.3%","(X)","(X)","(X)","(X)","(X)","17.4%","(X)","(X)","(X)","(X)","(X)","17.6%","(X)","(X)","(X)","(X)","(X)","13.7%","(X)","(X)","(X)","(X)","(X)","14.5%","(X)","(X)","(X)","(X)","(X)","15.6%","(X)","(X)","(X)","(X)","(X)","18.1%","(X)","(X)","(X)","(X)","(X)","16.1%","(X)","(X)","(X)","(X)","(X)","13.3%","(X)","(X)","(X)","(X)","(X)","15.1%","(X)","(X)","(X)","(X)","(X)","13.8%","(X)","(X)","(X)","(X)","(X)","19.4%","(X)","(X)","(X)","(X)","(X)","17.0%","(X)","(X)","(X)","(X)","(X)"
