"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    $75,000 to $99,999","5.4%","±1.9","6.8%","±2.8","3.3%","±2.4","6.7%","±1.0","8.0%","±1.4","4.9%","±1.5","5.4%","±0.7","6.0%","±1.1","4.7%","±1.2","4.3%","±1.9","7.6%","±3.4","0.3%","±0.5","4.2%","±1.8","4.7%","±2.5","3.6%","±2.1","5.1%","±1.1","6.7%","±1.5","2.8%","±1.2","5.6%","±2.2","5.1%","±2.4","6.3%","±4.1","8.3%","±1.2","11.2%","±2.1","4.4%","±1.1","3.8%","±1.2","3.0%","±1.3","4.7%","±2.0","9.1%","±1.4","11.9%","±2.2","4.8%","±1.5","6.1%","±2.4","8.2%","±3.8","3.7%","±2.1","2.8%","±1.4","2.6%","±1.5","3.2%","±2.6","4.8%","±1.9","6.6%","±3.2","2.4%","±1.9","3.8%","±2.6","5.0%","±4.3","2.3%","±2.0","7.3%","±1.9","5.6%","±2.7","9.7%","±3.4"
"    $100,000 or more","2.1%","±1.2","2.9%","±1.8","0.9%","±1.0","4.7%","±1.0","5.6%","±1.4","3.6%","±1.1","7.7%","±0.9","10.2%","±1.5","4.6%","±1.0","3.9%","±1.9","6.5%","±3.0","0.9%","±1.3","3.5%","±1.3","4.3%","±1.7","2.4%","±1.8","5.1%","±1.3","6.3%","±2.0","3.4%","±1.6","6.2%","±2.6","7.4%","±3.0","4.5%","±3.7","7.8%","±1.3","10.5%","±1.8","4.1%","±1.5","5.3%","±1.7","5.9%","±2.2","4.6%","±2.3","21.9%","±2.4","27.9%","±3.2","12.8%","±3.4","2.8%","±1.1","4.7%","±1.8","0.5%","±0.6","5.1%","±1.8","7.2%","±2.8","2.2%","±1.5","3.5%","±1.6","5.0%","±2.7","1.6%","±1.0","3.6%","±1.9","5.7%","±3.3","1.0%","±1.5","5.0%","±1.9","7.9%","±2.9","0.7%","±0.9"
"Median earnings (dollars)","(X)","(X)","38,610","±2,603","28,882","±3,191","(X)","(X)","42,091","±845","33,167","±2,168","(X)","(X)","36,695","±1,780","32,287","±1,245","(X)","(X)","35,362","±4,360","31,549","±3,825","(X)","(X)","35,255","±3,974","31,659","±2,310","(X)","(X)","36,291","±1,504","31,787","±1,656","(X)","(X)","35,404","±4,140","29,140","±2,335","(X)","(X)","45,068","±2,106","34,692","±1,982","(X)","(X)","39,000","±4,433","31,638","±1,657","(X)","(X)","61,564","±2,779","46,153","±4,279","(X)","(X)","37,718","±3,089","29,788","±2,134","(X)","(X)","32,415","±5,733","28,003","±4,081","(X)","(X)","34,196","±3,238","30,768","±1,448","(X)","(X)","35,906","±6,017","27,292","±6,677","(X)","(X)","40,429","±4,887","32,083","±2,989"
"Mean earnings (dollars)","39,925","±2,402","44,107","±3,535","33,758","±3,168","46,977","±2,021","50,579","±2,641","41,935","±2,591","46,450","±1,629","51,617","±2,542","40,225","±1,569","43,852","±4,904","52,092","±8,080","34,137","±2,500","41,509","±3,280","43,700","±4,796","38,180","±4,599","41,997","±2,098","45,183","±2,596","37,616","±2,996","43,589","±5,219","47,062","±7,097","38,526","±5,602","50,811","±2,199","56,722","±2,708","42,927","±3,160","44,815","±2,668","49,210","±4,609","39,887","±2,865","76,989","±5,142","91,364","±8,015","55,113","±3,784","39,491","±1,925","44,221","±2,632","33,711","±2,184","43,786","±5,642","49,584","±9,437","35,778","±3,744","39,513","±2,760","43,022","±4,409","35,039","±2,907","39,454","±3,563","44,493","±5,602","33,638","±3,166","43,542","±2,258","46,875","±3,155","38,776","±3,060"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","28,709","±3,015","34,599","±3,851","22,172","±2,202","32,615","±1,476","38,868","±2,140","26,732","±1,017","27,041","±648","29,321","±2,129","25,776","±835","27,669","±2,421","31,488","±3,682","24,907","±3,698","26,337","±1,630","30,067","±2,743","21,163","±2,872","29,734","±1,611","32,440","±2,282","24,881","±1,790","27,399","±1,855","31,347","±1,829","23,062","±2,824","35,868","±1,084","41,594","±1,295","29,624","±1,939","32,243","±1,309","36,085","±1,225","29,310","±2,239","43,036","±3,985","53,521","±4,059","33,619","±3,685","30,038","±1,760","34,162","±4,048","25,889","±2,616","26,148","±1,312","28,774","±3,128","22,096","±2,771","27,331","±2,452","31,893","±3,127","25,353","±3,292","21,800","±1,811","24,763","±4,483","19,619","±2,409","30,175","±1,768","34,491","±5,496","24,699","±3,448"
"        Less than high school graduate","23,538","±3,987","25,512","±2,301","17,740","±6,193","26,602","±1,838","29,830","±3,091","19,588","±2,787","14,987","±2,559","17,453","±3,608","10,548","±2,061","21,643","±1,224","23,194","±3,806","15,625","±6,504","18,608","±1,876","25,357","±3,223","14,375","±4,748","21,434","±2,711","24,667","±4,494","17,213","±1,619","18,472","±4,191","22,500","±6,024","13,782","±1,958","22,156","±1,873","25,581","±4,642","14,641","±7,029","24,889","±2,584","25,985","±2,280","22,668","±13,712","20,563","±6,479","26,563","±7,592","14,738","±6,057","22,885","±1,992","23,412","±3,878","22,316","±2,312","21,810","±7,492","25,700","±3,331","12,212","±3,560","19,057","±2,915","22,614","±12,244","18,696","±549","18,932","±3,292","21,583","±7,830","17,973","±5,739","26,042","±9,687","29,549","±8,914","14,844","±9,489"
"        High school graduate (includes equivalency)","25,915","±3,735","35,152","±7,993","19,343","±1,693","29,317","±1,535","34,379","±2,854","24,314","±1,987","23,297","±2,234","26,035","±1,315","19,608","±2,158","26,086","±1,891","29,425","±4,410","20,012","±3,423","23,372","±2,763","28,699","±3,809","16,294","±3,188","27,044","±2,155","30,862","±3,595","21,201","±1,494","27,088","±2,590","30,901","±2,081","20,294","±4,117","29,782","±2,242","35,593","±1,490","22,642","±3,180","31,155","±1,420","35,158","±3,465","27,395","±2,593","26,774","±2,211","27,535","±3,781","24,890","±5,681","27,096","±2,131","30,557","±1,808","22,847","±5,858","22,022","±1,918","25,436","±2,810","17,885","±5,380","25,175","±3,477","26,525","±1,316","21,402","±2,906","18,056","±3,527","21,711","±5,234","13,667","±3,519","26,353","±3,935","30,831","±2,966","17,992","±5,254"
"        Some college or associate's degree","32,813","±4,934","39,826","±8,728","24,929","±4,867","33,750","±2,437","42,147","±3,510","26,315","±1,562","23,742","±1,898","26,499","±2,228","21,253","±1,696","32,356","±7,954","45,585","±7,196","26,529","±3,454","28,675","±3,146","31,591","±4,982","26,190","±2,780","30,056","±2,820","34,132","±3,812","24,005","±2,155","28,327","±3,755","35,354","±4,211","22,036","±4,224","37,185","±1,914","46,921","±4,278","30,892","±1,450","31,133","±1,725","36,812","±1,610","26,367","±1,213","38,767","±3,231","49,760","±5,893","30,619","±3,128","30,838","±1,661","45,587","±7,153","26,797","±4,101","25,304","±3,173","29,861","±4,721","21,766","±5,043","28,542","±4,673","35,093","±6,463","26,015","±2,965","23,460","±2,567","30,331","±9,541","22,200","±6,958","27,875","±5,531","32,664","±8,922","23,750","±10,191"
"        Bachelor's degree","31,818","±4,499","35,903","±13,067","30,675","±3,479","43,194","±4,483","49,230","±3,171","37,106","±5,606","31,740","±1,198","34,469","±4,622","30,179","±2,377","40,529","±14,689","51,641","±14,139","33,255","±8,432","36,607","±5,821","39,464","±7,344","31,094","±12,524","43,500","±4,439","55,114","±7,442","35,302","±5,558","45,802","±6,236","45,547","±9,176","46,036","±14,799","47,179","±4,904","57,798","±7,064","41,120","±2,379","45,375","±5,334","45,781","±15,423","45,298","±6,078","47,723","±5,278","61,594","±8,895","34,760","±3,074","37,188","±8,490","49,583","±16,783","30,625","±9,026","36,065","±5,276","45,375","±10,475","27,102","±8,729","34,949","±6,228","37,663","±8,716","31,842","±9,617","26,193","±12,181","32,750","±24,981","21,196","±8,471","38,194","±10,734","49,000","±9,304","31,789","±4,716"
"        Graduate or professional degree","51,042","±6,012","50,833","±22,416","51,250","±9,255","51,039","±2,399","51,188","±4,608","50,840","±3,918","46,647","±3,307","50,625","±4,732","44,876","±3,941","52,458","±6,495","-","**","50,784","±6,607","55,893","±4,484","56,736","±19,070","55,260","±6,055","50,191","±4,757","66,589","±5,708","45,000","±5,058","51,658","±3,755","38,456","±21,049","53,289","±2,996","53,440","±3,014","55,857","±3,980","52,403","±2,236","57,029","±5,356","57,702","±10,108","56,289","±9,423","66,591","±5,940","99,943","±7,956","55,041","±3,548","56,061","±10,567","70,417","±41,928","44,896","±16,528","52,117","±8,439","52,083","±16,236","52,150","±14,264","57,767","±11,054","93,650","±22,107","49,929","±3,454","51,346","±16,292","-","**","56,071","±9,746","47,340","±10,955","62,150","±14,753","36,750","±12,064"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","19.2%","(X)","(X)","(X)","(X)","(X)","17.9%","(X)","(X)","(X)","(X)","(X)","18.8%","(X)","(X)","(X)","(X)","(X)","17.4%","(X)","(X)","(X)","(X)","(X)","19.0%","(X)","(X)","(X)","(X)","(X)","14.8%","(X)","(X)","(X)","(X)","(X)","16.4%","(X)","(X)","(X)","(X)","(X)","15.7%","(X)","(X)","(X)","(X)","(X)","18.7%","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","14.6%","(X)","(X)","(X)","(X)","(X)","16.4%","(X)","(X)","(X)","(X)","(X)","14.5%","(X)","(X)","(X)","(X)","(X)","19.7%","(X)","(X)","(X)","(X)","(X)","18.5%","(X)","(X)","(X)","(X)","(X)"
