"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,341","±356","4,707","±235","3,634","±278","35,665","±746","19,504","±419","16,161","±522","68,309","±1,317","33,918","±906","34,391","±869","8,104","±371","4,060","±270","4,044","±261","9,087","±426","4,947","±268","4,140","±285","18,471","±614","10,114","±405","8,357","±448","11,021","±479","5,937","±432","5,084","±329","29,327","±763","15,690","±480","13,637","±499","12,447","±493","6,443","±332","6,004","±362","18,534","±462","9,872","±300","8,662","±328","6,869","±275","3,664","±212","3,205","±197","6,863","±351","3,665","±219","3,198","±235","11,348","±615","5,924","±382","5,424","±428","4,570","±278","2,172","±193","2,398","±174","12,530","±559","6,559","±337","5,971","±428"
"Median earnings (dollars)","25,333","±1,881","30,076","±4,448","20,401","±1,731","29,205","±1,614","34,783","±1,714","24,141","±1,269","16,849","±594","20,270","±955","13,974","±1,199","25,135","±2,343","27,374","±2,853","19,919","±2,788","24,382","±2,154","27,005","±1,916","19,487","±2,138","26,091","±1,139","29,381","±1,593","21,763","±1,209","25,329","±1,847","27,971","±3,239","21,315","±3,314","31,937","±972","37,311","±1,980","26,485","±1,382","30,078","±1,691","32,591","±2,170","26,574","±1,057","36,668","±1,843","47,811","±3,492","30,413","±1,711","27,124","±2,098","31,081","±1,934","23,963","±2,081","24,060","±2,063","26,622","±1,735","20,037","±2,275","24,758","±2,776","26,571","±1,651","21,324","±2,136","17,188","±2,240","21,040","±2,787","14,424","±2,622","25,477","±2,512","30,462","±2,096","18,875","±3,431"
"Full-time, year-round workers with earnings","5,573","±372","3,321","±248","2,252","±238","23,319","±686","13,601","±493","9,718","±471","31,839","±956","17,398","±788","14,441","±706","5,308","±364","2,872","±253","2,436","±272","5,782","±399","3,487","±231","2,295","±302","11,857","±515","6,864","±317","4,993","±361","7,078","±510","4,198","±400","2,880","±313","20,407","±712","11,663","±506","8,744","±478","8,798","±563","4,650","±359","4,148","±360","12,011","±471","7,248","±326","4,763","±305","4,918","±326","2,705","±272","2,213","±216","4,155","±311","2,410","±216","1,745","±194","7,155","±592","4,010","±386","3,145","±379","2,079","±217","1,114","±134","965","±165","7,500","±565","4,413","±331","3,087","±362"
"    $1 to $9,999 or loss","4.8%","±2.0","3.9%","±2.4","6.2%","±2.4","1.0%","±0.3","0.9%","±0.4","1.1%","±0.5","2.8%","±0.8","2.9%","±1.1","2.7%","±1.2","1.5%","±0.8","0.9%","±0.9","2.1%","±1.4","4.0%","±1.6","4.6%","±2.3","3.0%","±2.4","4.1%","±1.3","3.1%","±1.5","5.4%","±2.0","4.0%","±2.1","4.5%","±2.8","3.3%","±2.7","1.9%","±0.7","1.4%","±0.7","2.4%","±1.4","2.3%","±1.0","2.3%","±1.5","2.3%","±1.4","1.5%","±0.6","1.3%","±0.9","1.7%","±1.0","2.6%","±1.3","2.2%","±1.6","3.1%","±2.0","1.4%","±0.8","1.8%","±1.3","0.8%","±0.9","2.4%","±1.7","0.8%","±1.4","4.4%","±3.2","2.6%","±1.7","1.3%","±1.8","4.0%","±3.3","2.5%","±1.3","2.5%","±1.7","2.4%","±1.9"
"    $10,000 to $14,999","5.2%","±2.3","2.7%","±2.2","9.0%","±4.0","4.4%","±1.0","2.8%","±0.7","6.6%","±1.9","7.1%","±1.1","5.6%","±1.6","8.8%","±1.8","7.3%","±2.6","3.9%","±1.8","11.5%","±4.9","6.3%","±2.4","5.2%","±2.6","8.1%","±4.3","4.3%","±1.3","3.0%","±1.5","6.2%","±2.2","5.8%","±2.2","3.6%","±2.3","9.0%","±4.3","5.3%","±1.4","3.2%","±1.7","8.1%","±2.3","3.9%","±1.4","2.3%","±1.6","5.7%","±2.9","3.7%","±1.3","3.7%","±1.9","3.8%","±1.8","6.9%","±2.0","4.8%","±2.8","9.6%","±3.0","6.5%","±3.0","7.0%","±4.0","5.8%","±3.5","6.6%","±2.7","7.1%","±4.4","5.9%","±3.0","4.9%","±3.0","4.9%","±4.0","4.8%","±3.6","6.2%","±2.7","5.8%","±3.4","6.9%","±4.2"
"    $15,000 to $24,999","21.9%","±3.3","19.1%","±4.5","26.2%","±5.7","15.7%","±1.7","11.7%","±1.9","21.4%","±2.8","20.4%","±1.7","19.9%","±2.4","21.0%","±2.3","21.4%","±4.7","20.8%","±6.5","22.0%","±5.6","20.3%","±3.6","17.3%","±4.1","24.8%","±6.2","19.5%","±2.5","16.4%","±3.0","23.8%","±4.0","19.9%","±4.7","16.8%","±5.2","24.5%","±7.4","15.0%","±1.7","12.7%","±2.3","18.2%","±2.6","17.2%","±3.1","15.0%","±4.3","19.7%","±4.6","9.1%","±1.3","7.7%","±1.6","11.4%","±2.7","22.9%","±3.8","19.6%","±6.1","26.9%","±5.6","24.5%","±3.8","20.8%","±4.5","29.6%","±7.1","22.1%","±4.9","20.9%","±6.2","23.6%","±5.3","26.4%","±6.9","20.9%","±7.7","32.6%","±9.7","17.2%","±4.5","16.5%","±5.6","18.3%","±5.9"
"    $25,000 to $34,999","19.0%","±2.4","16.4%","±3.8","22.7%","±5.2","20.6%","±1.7","18.7%","±1.9","23.3%","±3.1","20.4%","±1.7","18.8%","±2.8","22.4%","±2.4","22.6%","±5.5","23.7%","±6.4","21.3%","±6.3","22.0%","±3.6","22.3%","±5.3","21.5%","±5.2","22.8%","±2.7","24.3%","±3.7","20.9%","±3.6","25.1%","±3.6","24.3%","±5.1","26.3%","±6.5","17.7%","±2.1","14.5%","±2.4","21.9%","±3.0","24.5%","±3.6","20.3%","±4.1","29.2%","±4.9","13.7%","±2.2","10.3%","±2.6","18.9%","±4.1","21.5%","±3.6","18.2%","±4.5","25.4%","±6.5","23.2%","±4.2","22.4%","±5.1","24.4%","±6.3","26.0%","±4.0","22.4%","±6.2","30.4%","±6.0","21.8%","±5.3","20.6%","±6.7","23.3%","±7.7","22.5%","±4.6","19.5%","±5.1","26.7%","±6.7"
"    $35,000 to $49,999","22.7%","±3.0","26.7%","±4.8","16.9%","±4.8","25.7%","±1.9","27.2%","±2.9","23.7%","±2.2","19.8%","±1.6","19.5%","±2.2","20.1%","±2.1","20.8%","±3.5","17.8%","±4.1","24.4%","±4.9","20.8%","±3.1","21.3%","±4.4","20.0%","±5.5","24.3%","±2.4","24.0%","±3.4","24.8%","±3.9","20.0%","±4.1","22.4%","±5.1","16.5%","±5.5","24.0%","±2.0","23.8%","±2.9","24.2%","±3.3","22.8%","±3.6","27.1%","±4.4","18.1%","±4.8","16.5%","±2.1","15.1%","±2.8","18.7%","±3.1","18.4%","±3.8","20.4%","±4.9","16.0%","±4.9","19.7%","±3.9","20.5%","±4.9","18.6%","±5.7","20.2%","±3.1","22.9%","±5.0","16.7%","±5.3","21.9%","±4.9","26.0%","±7.9","17.2%","±6.9","18.1%","±3.4","15.3%","±3.9","22.0%","±5.4"
"    $50,000 to $64,999","13.8%","±2.8","16.6%","±3.9","9.8%","±4.1","15.5%","±1.7","19.2%","±2.3","10.3%","±1.9","12.1%","±1.4","12.7%","±2.0","11.3%","±1.7","14.6%","±3.2","15.0%","±4.3","14.1%","±4.6","14.6%","±2.9","15.7%","±3.9","12.8%","±4.2","11.2%","±1.7","12.3%","±2.4","9.8%","±2.1","10.1%","±2.6","12.9%","±3.8","6.1%","±3.2","15.4%","±1.7","17.4%","±2.5","12.7%","±2.6","15.3%","±2.5","17.9%","±3.7","12.4%","±3.2","18.9%","±2.3","17.1%","±2.9","21.7%","±3.9","15.3%","±3.1","17.2%","±4.4","13.0%","±4.0","11.3%","±2.6","11.3%","±3.5","11.3%","±4.0","12.3%","±3.4","10.9%","±4.6","14.1%","±5.4","9.6%","±3.6","10.8%","±5.7","8.3%","±4.7","16.8%","±3.5","20.6%","±5.5","11.3%","±4.8"
"    $65,000 to $74,999","5.0%","±1.9","5.0%","±3.0","5.0%","±2.6","5.6%","±0.8","6.0%","±1.1","5.1%","±1.4","4.4%","±0.9","4.4%","±1.2","4.3%","±1.2","3.6%","±1.8","3.8%","±2.1","3.3%","±2.6","4.3%","±1.7","4.6%","±2.2","3.8%","±2.4","3.6%","±1.0","4.1%","±1.3","2.9%","±1.4","3.3%","±1.5","3.2%","±1.9","3.5%","±2.3","4.7%","±1.1","5.3%","±1.5","4.0%","±1.6","4.8%","±1.7","6.3%","±2.6","3.1%","±1.9","5.6%","±1.1","5.1%","±1.6","6.4%","±1.7","3.5%","±1.3","4.8%","±2.0","1.9%","±1.2","5.4%","±2.3","6.4%","±3.6","4.0%","±2.9","2.3%","±1.2","3.3%","±1.8","1.0%","±1.3","5.5%","±3.1","4.7%","±3.3","6.4%","±4.1","4.5%","±1.7","6.3%","±2.6","1.9%","±1.4"
