"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,681","±322","4,948","±215","3,733","±221","34,685","±787","18,389","±484","16,296","±486","62,961","±1,317","31,272","±827","31,689","±912","8,671","±427","4,333","±312","4,338","±253","9,610","±367","5,270","±241","4,340","±261","18,908","±580","10,192","±372","8,716","±417","10,776","±484","5,951","±366","4,825","±338","28,730","±729","15,590","±403","13,140","±561","12,757","±530","6,670","±367","6,087","±386","17,122","±370","9,218","±227","7,904","±312","6,705","±405","3,585","±294","3,120","±271","7,276","±379","3,990","±273","3,286","±269","11,619","±586","5,892","±443","5,727","±341","4,534","±236","2,213","±170","2,321","±165","12,763","±492","6,851","±388","5,912","±439"
"Median earnings (dollars)","27,432","±1,381","33,136","±2,868","21,924","±2,535","31,051","±890","35,226","±1,624","26,544","±1,319","17,270","±769","20,706","±1,124","15,596","±825","22,418","±1,810","25,959","±1,518","20,205","±1,890","25,068","±1,805","26,438","±1,791","22,527","±2,629","24,640","±1,522","29,367","±1,764","20,997","±1,055","25,334","±1,792","27,870","±3,561","21,448","±2,277","31,749","±952","37,182","±2,618","27,011","±1,488","27,357","±2,024","30,149","±1,812","23,760","±1,730","35,307","±2,630","46,603","±4,563","27,312","±1,816","29,397","±3,569","33,048","±2,359","23,802","±1,643","21,169","±1,502","25,524","±1,792","18,167","±1,610","24,793","±2,271","28,821","±3,949","21,176","±2,366","16,546","±1,801","21,340","±2,819","12,054","±2,183","25,615","±1,934","31,067","±2,241","21,549","±2,467"
"Full-time, year-round workers with earnings","5,808","±378","3,486","±270","2,322","±233","22,519","±796","12,623","±522","9,896","±557","29,259","±982","16,256","±676","13,003","±677","5,412","±304","3,029","±259","2,383","±220","6,228","±402","3,746","±267","2,482","±289","11,360","±590","6,482","±388","4,878","±405","7,142","±526","4,133","±388","3,009","±399","20,181","±712","11,481","±495","8,700","±503","8,364","±611","4,563","±435","3,801","±368","11,033","±445","6,694","±285","4,339","±304","4,779","±354","2,668","±259","2,111","±272","3,923","±407","2,198","±274","1,725","±254","7,552","±596","3,969","±410","3,583","±369","2,050","±220","1,212","±168","838","±138","7,530","±541","4,518","±356","3,012","±390"
"    $1 to $9,999 or loss","4.4%","±2.1","3.2%","±2.3","6.2%","±3.0","0.9%","±0.4","0.6%","±0.4","1.4%","±0.8","2.3%","±0.7","2.6%","±1.0","1.9%","±0.9","3.4%","±1.4","2.9%","±1.9","4.2%","±2.2","4.9%","±1.8","4.2%","±2.4","5.9%","±2.9","4.0%","±1.6","2.8%","±1.7","5.5%","±2.2","6.3%","±2.7","5.1%","±3.3","7.9%","±4.2","2.7%","±0.7","3.0%","±1.0","2.3%","±1.2","2.8%","±1.8","1.6%","±1.6","4.2%","±2.4","1.4%","±1.0","1.4%","±1.1","1.4%","±1.2","2.4%","±1.7","2.3%","±2.1","2.6%","±2.7","2.1%","±1.6","2.1%","±1.4","2.0%","±2.9","3.4%","±1.5","1.4%","±1.2","5.6%","±2.8","2.4%","±1.9","1.7%","±2.5","3.5%","±3.2","3.7%","±1.9","3.7%","±2.5","3.8%","±2.4"
"    $10,000 to $14,999","5.9%","±1.8","2.9%","±1.8","10.3%","±3.9","3.7%","±0.8","2.9%","±1.0","4.8%","±1.4","5.6%","±1.0","5.4%","±1.4","5.7%","±1.5","6.9%","±2.0","6.6%","±2.9","7.3%","±3.1","5.9%","±2.6","6.2%","±3.5","5.4%","±3.2","5.1%","±1.4","5.2%","±2.3","4.9%","±1.8","4.2%","±1.7","1.4%","±0.9","8.0%","±3.7","4.8%","±1.2","3.1%","±1.2","7.0%","±1.9","5.0%","±2.2","3.2%","±1.6","7.2%","±4.1","2.4%","±0.8","2.2%","±1.0","2.7%","±1.4","4.1%","±2.7","1.5%","±1.6","7.5%","±5.7","7.9%","±2.9","9.8%","±4.7","5.4%","±2.7","5.1%","±2.0","4.5%","±2.9","5.7%","±3.2","4.9%","±2.9","5.3%","±4.4","4.3%","±3.1","3.6%","±1.7","1.9%","±1.6","6.1%","±3.8"
"    $15,000 to $24,999","18.9%","±2.6","17.1%","±3.7","21.7%","±5.1","12.6%","±1.6","9.2%","±1.7","17.0%","±2.7","20.5%","±2.5","19.0%","±3.3","22.4%","±2.7","25.9%","±4.6","23.5%","±5.9","28.9%","±7.3","21.6%","±4.1","22.0%","±4.6","21.0%","±7.1","20.7%","±2.5","17.1%","±3.0","25.6%","±4.0","22.5%","±3.4","20.9%","±4.6","24.7%","±6.2","14.4%","±2.1","10.9%","±2.1","19.0%","±3.2","20.6%","±3.6","17.5%","±5.4","24.3%","±4.6","9.7%","±1.9","7.6%","±2.0","13.0%","±3.5","19.0%","±4.1","13.4%","±4.8","26.0%","±7.4","27.9%","±4.9","16.8%","±5.4","42.0%","±8.6","25.0%","±3.8","19.1%","±4.5","31.5%","±5.6","27.3%","±6.5","27.4%","±8.6","27.2%","±9.4","20.7%","±4.3","18.7%","±5.7","23.6%","±6.1"
"    $25,000 to $34,999","18.4%","±2.6","15.5%","±3.0","22.8%","±4.3","21.5%","±2.1","19.8%","±2.8","23.6%","±3.1","21.1%","±2.0","19.3%","±2.9","23.4%","±2.3","21.0%","±4.1","19.1%","±5.5","23.3%","±6.6","23.4%","±4.2","23.7%","±5.8","23.0%","±5.7","22.2%","±2.4","20.0%","±3.1","25.1%","±3.7","21.9%","±3.4","21.3%","±5.3","22.8%","±5.0","20.5%","±2.1","17.3%","±2.9","24.7%","±3.1","22.4%","±3.4","20.7%","±5.1","24.4%","±4.1","17.0%","±2.7","12.9%","±2.6","23.3%","±5.0","20.3%","±3.8","23.3%","±5.4","16.6%","±4.9","18.0%","±4.2","19.6%","±4.8","15.9%","±6.6","24.1%","±4.0","25.0%","±6.1","23.1%","±5.9","26.9%","±6.7","23.1%","±8.1","32.3%","±10.1","22.7%","±4.5","18.1%","±5.3","29.5%","±6.8"
"    $35,000 to $49,999","24.0%","±3.0","27.3%","±4.5","19.1%","±4.5","26.7%","±2.1","26.9%","±2.6","26.4%","±3.4","20.2%","±2.1","18.9%","±2.4","21.8%","±2.5","20.0%","±3.6","20.3%","±5.1","19.7%","±5.3","18.3%","±3.4","17.1%","±3.9","19.9%","±5.1","23.0%","±2.6","24.3%","±3.9","21.2%","±3.9","19.1%","±3.8","23.8%","±4.9","12.5%","±4.9","23.0%","±2.5","24.5%","±3.0","20.9%","±3.1","23.7%","±3.9","26.5%","±5.2","20.4%","±4.6","15.0%","±2.2","14.2%","±2.5","16.3%","±3.7","22.8%","±3.9","22.8%","±5.5","22.8%","±6.7","18.7%","±3.6","19.5%","±4.8","17.7%","±5.8","22.8%","±3.1","24.3%","±5.0","21.1%","±5.9","15.5%","±4.6","17.4%","±7.3","12.6%","±6.5","17.7%","±3.4","18.2%","±4.5","17.1%","±4.6"
"    $50,000 to $64,999","12.0%","±2.5","10.7%","±3.2","13.9%","±4.1","18.1%","±2.1","21.4%","±2.7","13.8%","±3.0","13.3%","±1.7","14.3%","±2.5","12.1%","±1.8","11.5%","±3.5","10.4%","±4.0","13.0%","±5.5","14.3%","±3.1","13.3%","±3.9","15.8%","±5.8","11.6%","±1.9","12.9%","±2.6","9.9%","±2.1","9.6%","±2.4","9.7%","±3.2","9.4%","±3.6","14.6%","±2.2","14.7%","±2.5","14.5%","±3.0","11.0%","±2.2","13.0%","±3.5","8.7%","±2.6","18.9%","±2.5","17.7%","±3.0","20.7%","±4.3","16.0%","±3.6","14.3%","±4.6","18.2%","±6.4","14.1%","±3.9","14.9%","±5.3","13.2%","±5.4","8.3%","±2.6","7.4%","±3.7","9.3%","±3.2","11.6%","±4.4","11.1%","±5.7","12.3%","±6.0","13.1%","±3.1","15.1%","±4.2","10.2%","±4.2"
"    $65,000 to $74,999","6.0%","±2.1","8.8%","±3.2","1.8%","±1.2","4.5%","±0.9","4.5%","±1.2","4.5%","±1.5","3.6%","±0.7","3.1%","±0.8","4.2%","±1.3","4.7%","±1.9","7.0%","±3.3","1.8%","±1.8","3.7%","±1.7","4.0%","±2.3","3.2%","±2.1","3.0%","±0.8","3.0%","±1.0","3.0%","±1.2","2.6%","±1.3","2.7%","±1.8","2.5%","±1.8","5.6%","±1.2","7.2%","±1.8","3.4%","±1.5","4.3%","±1.5","5.1%","±1.9","3.3%","±1.7","6.7%","±1.5","6.9%","±2.0","6.4%","±1.9","6.4%","±2.3","9.4%","±4.1","2.6%","±3.3","3.4%","±1.8","5.5%","±3.2","0.9%","±1.1","2.7%","±1.5","4.7%","±2.5","0.6%","±0.8","3.6%","±2.4","4.5%","±3.4","2.3%","±2.4","5.1%","±2.6","7.4%","±4.2","1.5%","±1.2"
