"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    $75,000 to $99,999","5.7%","±1.9","7.7%","±3.0","2.8%","±2.0","8.5%","±1.4","10.3%","±1.8","6.2%","±1.9","5.5%","±0.7","6.6%","±1.2","4.1%","±0.9","2.3%","±1.5","3.3%","±2.4","1.1%","±1.3","5.4%","±1.9","6.5%","±2.9","3.7%","±1.9","5.7%","±1.3","7.9%","±2.2","2.8%","±1.2","6.4%","±2.3","5.8%","±2.6","7.3%","±4.4","8.6%","±1.5","10.7%","±2.4","5.7%","±1.7","5.8%","±1.5","7.4%","±2.3","4.0%","±1.9","10.5%","±1.8","11.8%","±2.3","8.4%","±2.6","5.1%","±1.9","6.7%","±3.3","3.0%","±2.2","2.7%","±1.8","3.6%","±2.6","1.4%","±1.5","5.5%","±2.1","9.0%","±3.8","1.7%","±1.9","3.1%","±2.2","2.6%","±3.1","3.8%","±3.2","8.2%","±2.9","9.5%","±4.9","6.3%","±3.2"
"    $100,000 or more","4.6%","±1.9","6.8%","±3.0","1.4%","±1.3","3.6%","±1.0","4.6%","±1.3","2.3%","±1.2","7.8%","±1.0","10.7%","±1.4","4.2%","±1.0","4.2%","±2.3","7.0%","±3.9","0.8%","±1.2","2.6%","±1.5","2.9%","±1.7","2.2%","±2.4","4.7%","±1.4","6.8%","±2.0","2.0%","±1.5","7.4%","±2.4","9.3%","±3.2","4.9%","±3.7","5.9%","±1.1","8.6%","±1.8","2.4%","±1.0","4.4%","±1.4","5.0%","±1.6","3.6%","±2.5","18.5%","±2.3","25.3%","±3.3","7.9%","±2.8","3.9%","±2.1","6.3%","±3.3","0.8%","±1.3","5.3%","±2.3","8.2%","±3.8","1.4%","±1.3","3.1%","±1.6","4.5%","±2.4","1.5%","±1.5","4.7%","±2.9","6.8%","±4.5","1.7%","±2.5","5.2%","±2.3","7.4%","±2.9","1.9%","±2.4"
"Median earnings (dollars)","(X)","(X)","40,081","±1,933","28,860","±2,392","(X)","(X)","45,014","±1,674","36,627","±2,002","(X)","(X)","38,097","±2,429","32,938","±1,643","(X)","(X)","33,201","±5,701","29,351","±4,753","(X)","(X)","32,283","±2,619","32,436","±2,567","(X)","(X)","36,922","±1,903","30,007","±1,690","(X)","(X)","35,558","±2,166","27,509","±2,926","(X)","(X)","43,791","±1,930","33,760","±1,403","(X)","(X)","38,744","±2,469","31,262","±1,157","(X)","(X)","59,852","±3,475","43,003","±5,033","(X)","(X)","38,491","±3,004","33,244","±7,833","(X)","(X)","36,033","±4,995","25,106","±1,961","(X)","(X)","34,963","±2,101","27,212","±2,825","(X)","(X)","31,879","±2,866","30,023","±3,309","(X)","(X)","41,647","±4,167","30,221","±2,716"
"Mean earnings (dollars)","43,708","±3,106","50,206","±5,065","33,952","±2,332","47,261","±2,134","50,875","±2,416","42,651","±2,900","48,052","±1,938","54,063","±2,875","40,538","±1,583","41,000","±4,281","47,869","±7,402","32,269","±2,319","38,403","±1,920","39,181","±3,024","37,230","±2,809","41,941","±1,891","47,158","±2,911","35,009","±2,349","43,833","±3,642","47,057","±4,524","39,404","±5,640","47,838","±1,651","53,805","±2,410","39,964","±1,942","41,849","±1,695","46,378","±2,510","36,413","±2,520","72,116","±4,774","86,395","±7,321","50,087","±2,961","43,226","±3,764","48,844","±5,243","36,126","±3,509","41,052","±5,103","47,666","±8,109","32,625","±2,769","39,300","±3,262","46,120","±5,107","31,745","±2,519","39,146","±5,101","42,258","±7,468","34,645","±4,208","44,798","±4,123","50,332","±5,629","36,496","±4,243"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,873","±1,500","37,162","±2,081","25,472","±2,088","34,388","±1,463","39,669","±1,975","30,663","±1,207","28,128","±1,625","30,144","±1,735","26,633","±979","25,886","±1,219","28,417","±4,081","22,383","±2,536","27,627","±2,883","30,413","±3,212","25,369","±2,934","27,639","±1,615","31,895","±1,206","22,761","±1,812","27,174","±1,708","31,382","±1,891","23,439","±3,433","34,296","±1,620","40,610","±1,893","30,017","±1,730","30,114","±1,489","32,115","±3,074","26,154","±3,106","42,127","±2,793","52,168","±3,068","31,611","±1,646","32,795","±2,483","36,083","±2,612","25,383","±2,655","22,106","±2,456","26,567","±1,465","19,070","±1,465","27,808","±2,688","32,099","±1,657","24,307","±2,526","20,408","±1,950","22,270","±4,263","18,252","±2,434","29,634","±2,534","37,813","±6,092","24,024","±2,446"
"        Less than high school graduate","24,839","±2,612","27,727","±3,837","16,286","±4,324","21,584","±3,421","24,271","±4,404","18,707","±2,353","16,610","±2,104","16,223","±2,668","17,081","±2,812","18,821","±3,373","21,250","±2,338","15,717","±3,369","22,119","±3,040","24,286","±3,154","18,523","±3,226","17,070","±1,308","17,736","±2,667","15,958","±1,247","16,595","±4,844","21,146","±6,888","13,906","±3,673","21,237","±1,815","24,475","±3,625","18,329","±5,222","21,589","±1,288","22,069","±1,727","16,739","±8,581","20,656","±3,467","21,194","±5,496","20,333","±4,441","22,739","±1,755","23,480","±4,656","22,417","±1,760","15,062","±2,826","15,513","±4,870","13,681","±13,686","15,977","±2,149","15,925","±2,949","16,250","±8,789","16,432","±3,201","18,365","±8,534","15,750","±3,611","28,197","±4,617","30,343","±7,060","20,237","±11,973"
"        High school graduate (includes equivalency)","32,852","±3,902","39,113","±2,518","25,010","±3,234","31,371","±1,326","34,840","±3,319","26,626","±2,179","22,958","±2,009","24,300","±1,896","20,896","±1,263","25,103","±3,107","27,023","±1,507","21,113","±1,538","24,084","±3,931","27,294","±3,459","16,890","±5,165","25,913","±2,410","31,910","±2,519","19,870","±2,356","25,808","±1,405","29,762","±5,545","20,497","±4,376","30,902","±1,126","35,239","±3,512","26,207","±1,376","27,571","±2,671","31,687","±3,635","23,820","±3,313","27,767","±2,799","30,625","±2,189","25,818","±2,068","29,286","±5,548","34,434","±2,449","23,609","±3,825","16,891","±2,957","23,304","±6,125","15,381","±1,827","25,765","±1,917","30,889","±1,614","21,749","±2,195","18,235","±2,755","21,589","±4,486","13,793","±2,607","25,721","±3,898","33,706","±11,827","22,167","±5,631"
"        Some college or associate's degree","30,927","±3,448","41,875","±8,827","25,805","±4,609","35,797","±2,699","43,901","±4,131","30,406","±2,457","26,658","±1,286","28,555","±3,502","25,234","±2,150","30,442","±6,622","37,545","±7,352","25,497","±2,928","30,960","±2,659","32,729","±3,492","27,325","±4,745","27,151","±2,356","34,554","±6,268","23,757","±2,134","25,653","±3,849","31,396","±2,835","21,809","±3,717","36,794","±3,815","44,563","±3,555","30,339","±2,303","31,128","±1,861","37,100","±2,727","24,795","±5,368","34,146","±5,089","47,023","±6,128","26,669","±1,826","32,756","±3,384","36,801","±5,551","22,845","±6,280","22,722","±4,151","29,628","±6,190","20,069","±2,074","27,280","±3,211","38,714","±3,436","21,786","±6,871","21,620","±3,538","25,074","±10,751","20,965","±5,440","30,012","±4,482","36,477","±11,731","23,968","±4,308"
"        Bachelor's degree","43,292","±3,089","49,226","±12,194","40,774","±5,354","46,567","±3,555","51,002","±2,816","42,121","±3,073","33,519","±3,344","38,374","±4,369","29,909","±2,189","46,269","±4,886","47,377","±13,742","40,688","±15,608","43,535","±3,855","48,137","±4,826","41,250","±7,920","44,620","±4,321","54,572","±9,123","32,295","±9,349","51,743","±11,224","57,292","±16,206","47,311","±13,662","47,744","±7,172","58,665","±10,025","39,109","±4,059","41,078","±5,314","43,018","±11,455","40,000","±5,678","50,912","±3,600","59,405","±12,890","36,089","±8,300","39,883","±9,242","50,104","±17,072","38,640","±4,723","44,712","±6,524","46,506","±7,735","37,406","±14,643","44,264","±6,695","52,818","±11,523","38,026","±11,212","20,000","±12,647","26,111","±14,460","17,500","±9,048","39,183","±12,146","57,574","±17,502","26,369","±2,586"
"        Graduate or professional degree","52,222","±3,381","51,326","±47,989","53,594","±3,409","53,843","±2,954","51,717","±6,390","54,429","±2,521","48,171","±2,318","54,614","±5,346","44,093","±1,716","53,463","±1,913","64,444","±28,915","53,074","±6,003","57,796","±6,025","55,804","±15,490","58,173","±7,083","49,941","±4,334","62,813","±6,893","46,364","±2,122","58,856","±4,997","58,080","±12,880","60,000","±6,248","51,530","±1,215","54,181","±6,482","51,087","±1,480","46,535","±3,567","46,959","±12,205","45,750","±8,872","64,919","±4,497","93,603","±12,160","53,252","±2,864","57,205","±6,591","86,703","±14,639","55,083","±2,178","46,875","±8,471","41,071","±43,865","48,333","±7,997","53,893","±10,757","91,445","±48,235","49,732","±6,371","41,250","±16,824","50,764","±43,158","39,083","±14,023","57,401","±10,824","62,171","±7,949","46,250","±17,913"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","16.0%","(X)","(X)","(X)","(X)","(X)","16.5%","(X)","(X)","(X)","(X)","(X)","14.8%","(X)","(X)","(X)","(X)","(X)","15.2%","(X)","(X)","(X)","(X)","(X)","16.6%","(X)","(X)","(X)","(X)","(X)","14.0%","(X)","(X)","(X)","(X)","(X)","15.6%","(X)","(X)","(X)","(X)","(X)","15.8%","(X)","(X)","(X)","(X)","(X)","15.8%","(X)","(X)","(X)","(X)","(X)","15.0%","(X)","(X)","(X)","(X)","(X)","13.4%","(X)","(X)","(X)","(X)","(X)","16.1%","(X)","(X)","(X)","(X)","(X)","16.4%","(X)","(X)","(X)","(X)","(X)","18.1%","(X)","(X)","(X)","(X)","(X)","13.9%","(X)","(X)","(X)","(X)","(X)"
