"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,802","±320","4,907","±257","3,895","±223","34,699","±827","18,294","±436","16,405","±643","63,560","±1,310","31,661","±821","31,899","±863","9,270","±401","4,863","±255","4,407","±314","10,131","±457","5,525","±286","4,606","±306","19,299","±685","10,505","±408","8,794","±536","11,208","±469","6,099","±304","5,109","±346","29,247","±748","16,238","±417","13,009","±568","13,161","±503","7,096","±332","6,065","±331","16,954","±381","9,197","±229","7,757","±336","6,738","±316","3,685","±281","3,053","±283","7,659","±356","4,337","±229","3,322","±249","12,011","±521","6,000","±355","6,011","±361","4,866","±227","2,511","±162","2,355","±177","13,784","±677","7,469","±540","6,315","±427"
"Median earnings (dollars)","27,702","±2,405","33,806","±3,147","21,276","±2,031","30,833","±1,010","34,871","±1,786","26,058","±2,023","18,239","±1,109","20,922","±876","16,029","±860","23,770","±2,578","27,338","±2,333","20,152","±2,220","25,754","±1,917","30,389","±3,273","22,876","±2,587","24,709","±1,909","29,888","±2,266","21,461","±1,173","24,263","±3,038","29,117","±2,860","19,173","±3,292","31,224","±1,038","36,494","±1,716","25,044","±1,574","27,188","±1,612","31,054","±2,424","22,746","±2,457","36,204","±2,109","44,325","±3,280","27,801","±2,508","26,808","±3,575","32,520","±2,564","21,655","±1,525","20,400","±2,106","23,365","±2,463","17,421","±1,645","24,037","±2,312","30,014","±3,008","19,301","±3,041","20,666","±817","22,455","±6,639","13,644","±2,696","25,708","±1,721","31,648","±3,792","22,067","±1,678"
"Full-time, year-round workers with earnings","5,659","±369","3,399","±284","2,260","±230","22,540","±826","12,388","±491","10,152","±663","29,979","±863","16,457","±726","13,522","±616","5,776","±345","3,320","±261","2,456","±250","6,467","±449","3,899","±308","2,568","±319","11,535","±611","6,837","±400","4,698","±412","6,686","±499","4,030","±301","2,656","±333","19,555","±631","11,314","±442","8,241","±480","8,319","±548","4,652","±403","3,667","±313","11,300","±464","6,645","±294","4,655","±361","4,432","±383","2,676","±276","1,756","±255","4,098","±384","2,313","±264","1,785","±261","6,987","±538","3,842","±373","3,145","±334","2,492","±230","1,626","±173","866","±147","8,227","±577","4,834","±437","3,393","±398"
"$1 to $9,999 or loss","4.4%","±2.1","3.6%","±2.3","5.5%","±3.1","1.2%","±0.5","0.7%","±0.4","1.8%","±0.9","2.5%","±0.6","2.1%","±0.7","3.0%","±1.1","4.6%","±2.1","4.8%","±3.0","4.3%","±2.7","3.4%","±1.9","2.5%","±1.9","4.6%","±3.6","2.3%","±0.9","2.5%","±1.1","2.0%","±1.5","7.7%","±2.7","5.5%","±3.0","11.1%","±5.0","2.9%","±0.8","2.8%","±1.2","3.1%","±1.2","3.3%","±2.0","2.5%","±1.7","4.4%","±2.8","2.0%","±1.1","2.0%","±1.2","1.9%","±1.3","1.6%","±1.4","2.6%","±2.4","0.0%","±2.2","2.7%","±2.0","1.4%","±1.6","4.4%","±4.0","3.3%","±2.0","1.6%","±1.2","5.3%","±4.0","2.6%","±2.0","3.1%","±3.1","1.6%","±2.1","4.0%","±2.3","3.2%","±2.0","5.2%","±3.6"
"$10,000 to $14,999","6.5%","±1.9","2.9%","±1.7","11.9%","±4.0","3.8%","±1.2","1.8%","±1.1","6.3%","±1.9","4.8%","±1.0","4.5%","±1.3","5.2%","±1.4","6.2%","±2.2","3.1%","±1.9","10.4%","±4.6","7.7%","±3.3","7.8%","±4.4","7.4%","±3.4","5.0%","±1.6","5.2%","±2.1","4.8%","±2.3","4.5%","±2.1","2.5%","±2.1","7.5%","±4.0","3.8%","±1.0","2.1%","±1.0","6.1%","±2.0","6.2%","±2.2","4.8%","±2.5","8.1%","±3.6","3.3%","±1.2","1.3%","±0.8","6.1%","±2.6","4.7%","±3.3","2.8%","±2.2","7.6%","±6.8","10.4%","±3.6","10.9%","±5.9","9.7%","±4.9","3.5%","±1.8","1.6%","±1.2","5.9%","±3.5","5.5%","±3.5","5.2%","±4.6","6.2%","±4.4","6.2%","±3.2","5.7%","±4.5","6.9%","±4.1"
"$15,000 to $24,999","16.8%","±2.7","13.2%","±3.5","22.2%","±5.3","14.5%","±2.0","10.8%","±2.5","19.0%","±2.8","22.5%","±1.9","21.3%","±2.4","23.9%","±2.9","23.8%","±4.0","21.1%","±6.4","27.5%","±6.4","20.3%","±3.2","19.8%","±4.2","20.9%","±5.0","23.0%","±3.2","19.3%","±3.9","28.5%","±5.4","18.2%","±3.0","14.7%","±3.5","23.5%","±6.7","15.3%","±2.0","9.7%","±2.1","22.9%","±3.9","16.3%","±2.4","11.3%","±2.8","22.7%","±4.6","9.9%","±2.3","5.9%","±2.1","15.6%","±3.9","19.6%","±4.8","14.0%","±6.2","28.1%","±7.8","28.9%","±4.8","20.7%","±5.5","39.6%","±8.3","24.3%","±4.4","14.4%","±5.1","36.4%","±6.5","27.8%","±7.8","26.7%","±10.2","30.0%","±9.2","21.1%","±5.4","18.4%","±6.5","25.1%","±7.4"
"$25,000 to $34,999","18.9%","±3.1","16.6%","±3.9","22.4%","±5.0","21.0%","±2.3","19.4%","±3.2","22.9%","±3.2","21.3%","±2.2","19.1%","±2.1","24.1%","±3.4","25.9%","±4.5","24.0%","±6.4","28.4%","±6.9","21.8%","±3.5","18.3%","±4.2","27.0%","±5.9","22.3%","±2.8","18.2%","±3.5","28.2%","±4.4","24.3%","±4.0","23.3%","±4.3","25.8%","±6.7","20.2%","±1.8","18.1%","±2.6","23.0%","±3.4","25.9%","±4.0","22.9%","±4.6","29.7%","±6.3","15.7%","±2.5","13.2%","±2.3","19.2%","±4.6","21.4%","±4.2","21.8%","±5.1","20.8%","±7.2","15.3%","±3.8","18.6%","±5.3","11.1%","±5.2","21.4%","±3.7","27.9%","±6.0","13.5%","±5.0","28.7%","±7.1","28.2%","±9.5","29.6%","±9.3","20.4%","±4.0","15.4%","±4.4","27.6%","±6.3"
"$35,000 to $49,999","24.0%","±3.9","25.9%","±5.3","21.1%","±5.2","28.0%","±2.5","27.9%","±3.1","28.2%","±4.0","20.0%","±1.7","19.3%","±2.2","20.9%","±2.5","20.4%","±3.5","22.3%","±5.1","17.7%","±5.1","22.5%","±4.2","23.4%","±5.0","21.2%","±5.2","21.7%","±2.4","24.4%","±4.0","17.8%","±3.3","21.9%","±3.0","25.3%","±3.8","16.7%","±5.1","24.5%","±2.5","25.3%","±3.6","23.5%","±3.2","23.5%","±3.5","27.8%","±4.6","18.1%","±4.3","19.0%","±2.5","16.8%","±2.7","22.2%","±4.8","23.3%","±4.3","23.6%","±6.7","22.8%","±7.7","16.0%","±3.6","16.3%","±4.7","15.5%","±6.0","23.6%","±3.7","24.8%","±4.7","22.0%","±6.3","19.5%","±5.6","19.6%","±6.9","19.2%","±8.6","21.3%","±3.8","24.1%","±5.1","17.2%","±4.9"
"$50,000 to $64,999","15.1%","±2.9","16.9%","±3.5","12.4%","±3.9","17.2%","±2.1","21.6%","±2.8","11.8%","±2.5","12.9%","±1.6","14.0%","±2.1","11.6%","±2.1","9.4%","±2.4","10.9%","±3.8","7.4%","±3.9","11.8%","±3.0","12.1%","±3.9","11.4%","±4.7","12.5%","±2.1","13.3%","±3.0","11.3%","±2.7","10.5%","±2.6","12.6%","±3.8","7.4%","±3.2","16.0%","±2.1","18.7%","±3.0","12.3%","±2.5","13.4%","±2.5","14.7%","±3.1","11.9%","±3.3","16.4%","±2.5","17.5%","±2.9","14.8%","±3.6","15.1%","±4.0","14.9%","±5.0","15.3%","±6.0","13.3%","±3.8","14.4%","±4.9","12.0%","±5.5","10.8%","±2.9","11.0%","±3.7","10.6%","±4.0","7.9%","±3.2","7.0%","±3.8","9.5%","±5.5","11.0%","±2.8","13.5%","±4.1","7.5%","±3.4"
"$65,000 to $74,999","4.3%","±1.9","6.5%","±3.0","1.1%","±1.2","4.3%","±1.1","5.0%","±1.5","3.5%","±1.6","4.1%","±0.7","4.1%","±1.1","4.2%","±1.0","4.2%","±2.0","6.0%","±3.4","1.8%","±1.6","3.1%","±1.5","4.6%","±2.6","0.9%","±0.7","3.0%","±0.9","2.6%","±1.0","3.6%","±1.5","2.9%","±1.7","3.4%","±2.1","2.0%","±2.1","5.5%","±1.3","7.3%","±1.9","2.9%","±1.0","4.6%","±1.5","6.2%","±2.4","2.6%","±1.6","5.7%","±1.4","5.9%","±2.0","5.6%","±2.2","6.0%","±3.0","8.9%","±4.6","1.5%","±2.1","3.8%","±2.5","2.6%","±2.1","5.4%","±4.8","3.7%","±1.5","5.0%","±2.3","2.0%","±2.0","2.3%","±1.8","3.5%","±2.7","0.0%","±4.5","6.0%","±2.7","8.0%","±3.8","3.2%","±2.0"
