"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"$75,000 to $99,999","4.9%","±1.7","7.3%","±2.9","1.3%","±1.1","7.4%","±1.5","9.1%","±2.1","5.3%","±1.6","5.2%","±0.9","6.3%","±1.2","3.9%","±1.1","2.9%","±1.4","3.1%","±2.0","2.6%","±2.0","4.9%","±1.8","5.6%","±2.8","3.8%","±2.1","5.7%","±1.6","7.9%","±2.4","2.5%","±1.0","5.2%","±2.1","6.1%","±2.6","3.9%","±3.2","7.0%","±1.3","8.6%","±1.9","4.9%","±1.5","4.1%","±1.5","6.7%","±2.4","1.0%","±0.9","9.7%","±1.5","11.1%","±2.2","7.6%","±2.4","4.3%","±2.4","5.2%","±3.4","3.0%","±3.1","4.7%","±2.6","8.1%","±4.5","0.2%","±0.4","5.8%","±2.4","7.3%","±3.7","4.0%","±2.4","2.0%","±1.5","1.4%","±1.6","3.1%","±2.9","6.8%","±2.4","6.7%","±3.6","7.1%","±3.4"
"$100,000 or more","5.1%","±2.1","7.1%","±3.2","2.2%","±1.6","2.7%","±0.7","3.9%","±1.0","1.2%","±0.9","6.5%","±0.9","9.3%","±1.4","3.2%","±0.9","2.6%","±2.2","4.5%","±3.8","0.0%","±1.6","4.6%","±2.0","5.8%","±2.6","2.8%","±3.2","4.4%","±1.3","6.5%","±1.8","1.4%","±1.7","4.8%","±1.7","6.6%","±2.2","2.1%","±1.7","4.8%","±1.2","7.3%","±1.9","1.4%","±0.7","2.5%","±1.2","3.2%","±1.6","1.7%","±1.9","18.4%","±2.1","26.3%","±3.3","7.0%","±2.3","4.1%","±2.1","6.2%","±3.3","0.9%","±1.5","4.9%","±2.0","7.1%","±3.6","2.0%","±2.4","3.6%","±1.8","6.4%","±3.3","0.1%","±0.4","3.8%","±1.8","5.4%","±2.8","0.8%","±0.9","3.1%","±1.8","5.0%","±2.9","0.3%","±0.5"
"Median earnings (dollars)","(X)","(X)","41,482","±1,991","30,051","±2,886","(X)","(X)","43,701","±1,413","34,990","±1,779","(X)","(X)","36,980","±1,863","31,406","±1,487","(X)","(X)","33,008","±3,702","27,595","±2,461","(X)","(X)","35,958","±3,912","30,155","±3,067","(X)","(X)","37,116","±1,753","29,122","±2,320","(X)","(X)","36,105","±1,304","27,035","±3,327","(X)","(X)","44,138","±3,032","32,669","±1,805","(X)","(X)","38,059","±1,639","29,880","±1,342","(X)","(X)","57,604","±6,432","38,726","±3,318","(X)","(X)","36,901","±2,125","30,759","±4,408","(X)","(X)","34,227","±3,334","23,731","±2,776","(X)","(X)","36,712","±2,228","26,458","±4,604","(X)","(X)","31,107","±2,549","27,083","±2,609","(X)","(X)","39,220","±3,360","29,637","±3,798"
"Mean earnings (dollars)","43,691","±2,964","50,283","±4,399","33,778","±3,353","44,642","±1,533","49,822","±1,946","38,321","±1,813","45,967","±1,652","52,042","±2,551","38,573","±1,575","36,283","±3,175","40,795","±5,173","30,183","±2,199","39,894","±2,486","42,819","±3,363","35,454","±2,961","42,168","±1,878","47,387","±2,755","34,574","±2,059","40,685","±2,622","45,910","±3,347","32,757","±3,836","45,548","±1,513","51,704","±2,425","37,096","±1,524","40,752","±3,050","46,869","±5,115","32,991","±2,235","69,437","±3,783","84,508","±5,790","47,923","±3,008","42,584","±3,434","47,794","±5,017","34,644","±3,179","39,544","±2,904","45,183","±4,914","32,238","±3,214","41,763","±3,530","49,616","±5,728","32,169","±2,912","37,680","±3,980","40,338","±5,993","32,689","±2,901","41,135","±2,972","45,797","±4,663","34,493","±2,770"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,732","±2,146","37,335","±3,058","24,991","±3,167","33,967","±1,487","38,853","±2,369","30,126","±1,861","28,710","±1,230","30,996","±1,192","26,634","±992","26,623","±1,538","30,517","±2,525","21,816","±2,171","30,255","±2,495","33,779","±3,677","26,075","±1,673","27,798","±2,118","32,481","±2,144","23,631","±2,381","26,672","±1,482","31,472","±2,311","21,495","±2,311","34,454","±1,305","40,849","±1,348","27,383","±1,928","29,493","±1,411","33,930","±1,998","25,232","±2,072","41,765","±1,602","50,871","±2,318","32,656","±2,396","31,636","±1,737","36,036","±1,935","22,911","±2,700","21,751","±1,825","24,903","±2,980","18,596","±1,799","27,319","±2,123","33,134","±2,262","22,175","±1,702","22,464","±2,786","27,871","±3,882","20,842","±1,221","31,332","±1,517","39,031","±3,515","25,389","±2,489"
"    Less than high school graduate","25,754","±5,267","29,405","±3,087","16,331","±4,408","19,153","±2,323","21,747","±5,523","16,200","±2,045","20,534","±1,394","21,370","±2,059","19,353","±1,519","16,969","±1,832","20,990","±5,602","14,437","±1,716","21,587","±2,362","22,154","±4,576","18,924","±5,646","17,694","±1,504","17,639","±1,679","17,813","±4,844","14,516","±7,197","21,825","±11,197","8,664","±2,302","22,163","±2,708","29,361","±5,522","16,948","±2,218","20,813","±1,600","21,518","±2,678","17,002","±4,459","21,752","±2,909","27,908","±5,078","15,517","±5,576","20,214","±4,749","17,337","±6,032","21,324","±1,645","13,596","±3,417","13,500","±4,243","13,947","±8,986","16,366","±5,115","25,238","±5,216","13,098","±3,473","25,568","±9,314","28,377","±4,918","13,214","±8,840","24,702","±9,390","34,426","±7,803","20,066","±16,973"
"    High school graduate (includes equivalency)","30,605","±3,827","36,756","±3,633","23,417","±3,484","31,932","±1,042","37,113","±3,613","26,567","±2,961","23,449","±1,401","24,741","±1,718","21,462","±1,860","26,216","±1,213","29,884","±2,864","21,228","±1,371","26,575","±2,748","32,120","±3,897","19,109","±4,788","27,157","±2,096","32,321","±2,032","20,549","±2,070","23,966","±2,631","26,971","±3,198","20,025","±3,997","31,356","±1,453","38,699","±4,533","25,632","±1,419","30,102","±2,097","35,176","±3,877","25,097","±2,277","30,024","±2,192","35,938","±9,371","26,048","±2,619","30,667","±4,619","35,774","±3,013","23,229","±3,713","16,541","±1,283","20,856","±8,090","15,259","±2,650","25,483","±2,221","30,884","±1,954","21,612","±1,203","21,703","±1,718","25,430","±5,896","18,327","±3,835","26,619","±2,539","36,432","±7,641","21,364","±3,670"
"    Some college or associate's degree","31,964","±3,530","44,048","±7,321","27,300","±3,978","36,224","±1,324","42,877","±1,821","30,295","±2,506","26,339","±1,299","28,584","±2,619","25,162","±1,835","30,041","±5,481","34,284","±2,368","24,107","±6,296","30,908","±2,803","36,766","±4,698","26,755","±1,969","26,673","±2,809","35,994","±4,455","22,490","±2,040","26,774","±2,878","32,856","±3,287","21,573","±3,075","37,349","±2,350","45,266","±5,438","28,891","±3,250","30,871","±1,689","37,748","±2,289","25,702","±4,994","34,075","±3,322","41,922","±5,046","25,250","±2,111","31,261","±2,715","35,789","±1,740","20,297","±4,262","22,229","±2,515","30,341","±4,643","18,782","±1,924","25,218","±5,783","35,398","±8,006","17,244","±3,158","22,299","±2,392","27,143","±11,474","22,052","±1,760","31,565","±3,350","38,776","±4,214","26,576","±3,685"
"    Bachelor's degree","43,993","±4,775","56,667","±16,679","40,922","±3,077","41,582","±2,014","49,050","±4,895","39,160","±3,401","32,767","±1,839","36,940","±4,047","30,185","±2,109","43,476","±6,240","48,173","±19,468","38,641","±5,922","43,380","±1,955","46,477","±4,406","41,667","±6,186","40,508","±2,657","45,688","±6,041","34,615","±5,859","45,112","±6,177","47,500","±11,187","32,220","±19,404","43,958","±5,333","56,006","±12,485","36,442","±3,347","36,742","±4,782","36,782","±6,055","36,607","±10,065","49,818","±3,713","55,855","±12,856","44,889","±6,453","39,276","±4,503","44,107","±12,046","38,076","±2,795","42,895","±8,406","44,583","±9,451","39,688","±18,388","46,144","±4,417","64,261","±27,292","40,672","±9,558","21,731","±9,553","22,212","±15,908","17,596","±11,950","36,908","±9,583","43,036","±10,334","29,531","±9,297"
"    Graduate or professional degree","43,942","±15,493","28,636","±64,605","50,299","±14,439","55,000","±6,549","62,041","±12,544","53,902","±3,287","47,249","±3,499","56,010","±6,596","43,504","±2,653","50,437","±6,804","36,111","±16,087","51,131","±873","53,563","±9,525","49,432","±18,300","55,368","±11,110","50,729","±4,071","56,705","±10,048","46,250","±5,453","55,990","±7,254","52,333","±16,714","57,912","±5,821","48,608","±1,238","56,042","±14,019","46,325","±3,259","43,368","±5,247","44,340","±10,591","40,313","±11,116","64,338","±6,080","83,611","±17,915","52,008","±4,076","52,869","±2,958","72,000","±62,235","50,119","±11,880","53,438","±14,414","62,569","±46,891","47,136","±14,990","56,616","±6,744","47,083","±23,142","58,494","±6,949","36,318","±5,838","43,036","±28,196","31,023","±9,970","54,679","±11,276","59,417","±15,191","53,205","±9,812"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","14.7%","(X)","(X)","(X)","(X)","(X)","14.4%","(X)","(X)","(X)","(X)","(X)","14.5%","(X)","(X)","(X)","(X)","(X)","14.9%","(X)","(X)","(X)","(X)","(X)","14.3%","(X)","(X)","(X)","(X)","(X)","14.4%","(X)","(X)","(X)","(X)","(X)","13.7%","(X)","(X)","(X)","(X)","(X)","16.3%","(X)","(X)","(X)","(X)","(X)","14.1%","(X)","(X)","(X)","(X)","(X)","12.6%","(X)","(X)","(X)","(X)","(X)","13.8%","(X)","(X)","(X)","(X)","(X)","18.0%","(X)","(X)","(X)","(X)","(X)","17.3%","(X)","(X)","(X)","(X)","(X)","19.1%","(X)","(X)","(X)","(X)","(X)","14.3%","(X)","(X)","(X)","(X)","(X)"
