"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,703","±317","4,940","±236","3,763","±225","34,679","±741","18,722","±470","15,957","±556","63,647","±1,383","31,607","±849","32,040","±859","8,374","±385","4,210","±214","4,164","±303","9,319","±454","5,073","±295","4,246","±321","19,013","±655","10,213","±370","8,800","±468","11,048","±509","6,031","±365","5,017","±313","28,445","±696","15,143","±477","13,302","±499","12,771","±491","6,602","±299","6,169","±375","17,408","±416","9,338","±236","8,070","±317","6,853","±349","3,499","±207","3,354","±238","6,957","±383","3,914","±237","3,043","±261","11,654","±622","5,923","±384","5,731","±381","4,374","±261","2,044","±187","2,330","±172","12,889","±523","6,917","±404","5,972","±411"
"Median earnings (dollars)","28,487","±2,528","33,580","±2,316","23,782","±3,588","30,467","±1,386","33,985","±1,745","26,311","±1,612","16,922","±725","20,043","±1,471","15,066","±1,133","24,058","±2,831","26,814","±1,267","20,368","±2,598","25,668","±1,245","26,765","±1,390","22,787","±3,140","24,796","±1,731","28,777","±2,072","20,791","±1,449","25,429","±1,857","27,360","±3,560","22,027","±3,158","31,508","±914","36,858","±2,250","26,752","±1,317","27,637","±1,940","30,697","±1,665","24,874","±1,862","36,774","±2,057","47,753","±3,650","30,281","±2,522","30,613","±1,764","33,651","±1,915","24,551","±2,390","22,017","±1,833","25,490","±1,555","18,995","±1,481","24,218","±3,175","26,738","±3,645","21,468","±2,162","16,367","±1,421","20,845","±3,378","12,281","±2,484","24,900","±2,833","29,647","±3,029","20,634","±2,625"
"Full-time, year-round workers with earnings","5,940","±369","3,551","±258","2,389","±225","22,761","±839","12,654","±594","10,107","±518","29,321","±908","16,180","±746","13,141","±596","5,507","±450","3,004","±242","2,503","±328","6,118","±372","3,665","±298","2,453","±285","11,780","±556","6,676","±390","5,104","±396","7,307","±534","4,178","±387","3,129","±373","20,162","±797","11,352","±576","8,810","±470","8,403","±531","4,514","±359","3,889","±306","11,548","±386","6,898","±250","4,650","±336","4,885","±286","2,659","±228","2,226","±211","4,003","±352","2,354","±235","1,649","±223","7,477","±588","3,981","±422","3,496","±338","1,984","±226","1,099","±186","885","±131","7,857","±661","4,684","±484","3,173","±377"
"    $1 to $9,999 or loss","4.7%","±2.4","4.0%","±2.7","5.7%","±3.0","1.0%","±0.4","0.6%","±0.4","1.4%","±0.8","2.1%","±0.6","2.5%","±1.0","1.7%","±0.8","3.5%","±1.5","1.5%","±1.3","5.8%","±3.1","3.4%","±1.5","3.5%","±2.0","3.2%","±2.0","4.1%","±1.5","2.6%","±1.4","6.0%","±2.5","6.3%","±2.4","5.5%","±3.5","7.3%","±3.6","2.8%","±0.8","2.6%","±1.1","3.2%","±1.2","3.0%","±1.8","2.7%","±2.1","3.2%","±2.2","1.2%","±0.6","1.1%","±0.7","1.4%","±0.9","2.5%","±1.4","2.0%","±1.8","3.0%","±2.1","1.8%","±1.3","2.0%","±1.5","1.6%","±2.1","3.5%","±1.6","1.3%","±1.1","6.1%","±3.1","3.0%","±2.3","1.0%","±1.4","5.5%","±4.5","2.6%","±1.3","2.0%","±1.7","3.5%","±1.9"
"    $10,000 to $14,999","4.8%","±1.7","3.0%","±1.7","7.5%","±3.2","4.3%","±1.0","2.9%","±1.1","5.9%","±1.5","6.1%","±1.1","5.8%","±1.6","6.5%","±1.6","7.4%","±2.3","5.2%","±2.7","9.9%","±3.7","6.3%","±2.3","6.7%","±3.4","5.7%","±3.4","4.5%","±1.2","4.2%","±1.8","5.0%","±1.8","5.2%","±2.1","2.0%","±1.6","9.5%","±3.9","5.2%","±1.3","3.2%","±1.2","7.8%","±2.4","4.3%","±1.4","3.3%","±2.0","5.6%","±2.2","3.0%","±1.1","2.5%","±1.1","3.9%","±1.8","4.6%","±2.4","1.7%","±1.7","8.0%","±5.0","8.5%","±3.3","10.9%","±5.3","5.2%","±3.0","4.2%","±1.9","5.7%","±3.5","2.4%","±2.0","1.4%","±1.5","2.1%","±2.0","0.6%","±1.6","3.5%","±1.5","2.3%","±1.6","5.2%","±3.0"
"    $15,000 to $24,999","16.6%","±2.7","14.6%","±3.3","19.5%","±5.0","13.8%","±1.7","9.9%","±1.9","18.6%","±3.1","19.9%","±1.8","18.7%","±2.6","21.4%","±2.7","23.3%","±3.9","21.5%","±5.4","25.4%","±5.9","20.8%","±3.7","20.2%","±4.8","21.7%","±5.7","20.2%","±2.6","15.5%","±3.2","26.4%","±4.1","20.8%","±3.3","19.0%","±5.0","23.3%","±6.0","15.1%","±1.9","12.8%","±2.4","18.0%","±2.9","19.1%","±2.6","17.1%","±3.9","21.4%","±4.4","9.1%","±2.0","7.4%","±1.8","11.5%","±3.8","18.4%","±4.1","13.5%","±5.0","24.2%","±6.8","27.5%","±4.9","20.0%","±5.6","38.2%","±8.4","25.1%","±4.3","20.8%","±6.8","30.0%","±5.7","30.4%","±6.1","29.5%","±9.3","31.5%","±8.3","25.7%","±5.0","25.8%","±7.0","25.5%","±7.0"
"    $25,000 to $34,999","19.5%","±2.5","16.4%","±3.8","24.2%","±4.8","21.5%","±1.9","20.0%","±2.8","23.5%","±3.0","22.6%","±1.9","21.6%","±2.9","23.7%","±2.4","23.6%","±4.5","24.0%","±5.9","23.1%","±5.5","24.5%","±3.9","24.1%","±5.3","25.0%","±6.5","23.8%","±2.3","23.8%","±3.6","23.9%","±3.6","22.0%","±3.5","21.9%","±4.8","22.1%","±4.8","20.5%","±2.0","16.6%","±2.2","25.5%","±3.2","21.7%","±3.0","17.9%","±3.7","26.2%","±4.8","16.3%","±2.4","12.5%","±2.6","21.9%","±4.3","20.9%","±4.2","23.4%","±6.3","17.9%","±4.2","21.8%","±4.9","19.5%","±5.8","25.2%","±7.1","24.1%","±4.1","23.3%","±6.0","25.0%","±6.3","25.2%","±6.2","19.0%","±8.4","32.8%","±9.3","19.8%","±4.4","17.0%","±5.3","23.9%","±6.4"
"    $35,000 to $49,999","25.2%","±3.3","28.4%","±4.5","20.3%","±4.5","26.5%","±2.1","26.8%","±3.2","26.2%","±3.4","19.6%","±1.6","18.6%","±2.4","20.9%","±2.3","19.6%","±3.8","18.9%","±5.3","20.5%","±5.5","17.8%","±3.4","17.7%","±4.1","18.0%","±5.0","23.1%","±2.7","24.3%","±3.5","21.4%","±3.4","21.1%","±4.1","24.9%","±5.5","16.1%","±5.2","21.9%","±1.9","21.6%","±2.7","22.3%","±3.2","25.2%","±3.5","27.3%","±4.7","22.8%","±4.9","15.8%","±2.3","14.8%","±2.5","17.3%","±3.6","22.0%","±4.0","21.2%","±5.4","23.0%","±5.6","17.4%","±3.7","20.5%","±5.0","13.0%","±5.0","23.1%","±3.9","22.6%","±5.2","23.7%","±6.7","17.7%","±4.8","21.0%","±7.6","13.6%","±5.2","17.5%","±3.6","16.4%","±4.7","19.2%","±5.3"
"    $50,000 to $64,999","15.5%","±2.7","16.1%","±3.5","14.6%","±4.8","15.6%","±1.8","18.9%","±2.9","11.4%","±1.8","13.3%","±1.4","13.8%","±2.1","12.6%","±2.0","11.2%","±2.7","10.9%","±3.3","11.7%","±4.5","15.0%","±3.1","15.1%","±4.5","14.9%","±4.8","11.1%","±2.2","11.8%","±2.7","10.1%","±2.8","8.6%","±2.0","9.9%","±3.3","6.9%","±3.1","14.8%","±2.3","16.5%","±2.6","12.6%","±3.2","12.7%","±2.5","15.6%","±3.8","9.4%","±3.0","20.2%","±2.4","18.4%","±2.9","23.0%","±4.0","16.7%","±3.7","16.5%","±5.1","16.9%","±4.7","10.7%","±2.6","11.5%","±3.5","9.6%","±4.4","8.6%","±2.7","7.9%","±3.7","9.3%","±3.6","10.4%","±3.7","11.5%","±5.5","9.2%","±4.9","13.7%","±3.5","14.9%","±5.3","12.0%","±4.3"
"    $65,000 to $74,999","5.9%","±2.1","8.1%","±3.3","2.6%","±1.4","5.1%","±1.1","5.5%","±1.6","4.5%","±1.3","3.6%","±0.8","3.0%","±0.8","4.3%","±1.5","3.5%","±2.0","4.4%","±2.6","2.5%","±2.3","5.2%","±2.0","5.2%","±2.6","5.3%","±2.7","3.7%","±1.0","5.1%","±1.6","1.9%","±1.0","3.9%","±1.4","4.9%","±2.5","2.6%","±1.9","5.2%","±1.0","6.3%","±1.5","3.7%","±1.4","4.1%","±1.3","4.3%","±1.6","3.8%","±2.0","6.0%","±1.4","6.1%","±2.0","6.0%","±2.0","5.2%","±2.1","7.9%","±3.7","2.1%","±1.5","5.0%","±2.6","6.3%","±3.7","3.2%","±4.0","2.4%","±1.3","3.8%","±2.2","0.7%","±0.8","3.4%","±2.3","4.6%","±3.6","1.9%","±2.0","3.3%","±1.8","4.5%","±2.9","1.6%","±1.6"
