"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    $75,000 to $99,999","4.4%","±1.9","4.6%","±2.4","4.1%","±2.6","8.5%","±1.4","10.3%","±1.9","6.2%","±2.0","5.1%","±0.7","5.5%","±1.0","4.6%","±1.2","3.2%","±1.6","5.5%","±3.0","0.4%","±0.5","4.2%","±1.6","4.5%","±2.4","3.8%","±2.1","5.4%","±1.3","7.6%","±2.0","2.4%","±1.1","6.2%","±2.3","5.3%","±2.7","7.5%","±4.3","7.7%","±1.7","10.1%","±2.7","4.7%","±1.3","4.9%","±1.5","5.5%","±2.1","4.1%","±2.2","8.9%","±1.9","10.6%","±2.5","6.5%","±2.8","6.6%","±2.7","8.7%","±4.5","4.1%","±2.8","3.1%","±1.5","3.5%","±1.9","2.6%","±2.0","5.3%","±2.2","8.7%","±4.0","1.5%","±1.2","3.9%","±2.6","4.5%","±4.3","3.3%","±3.0","8.7%","±2.9","9.3%","±4.4","7.8%","±3.6"
"    $100,000 or more","3.4%","±1.4","4.7%","±2.0","1.5%","±1.3","3.7%","±0.8","5.0%","±1.3","2.2%","±0.8","7.7%","±0.9","10.5%","±1.3","4.2%","±1.1","4.7%","±2.2","8.1%","±3.8","0.6%","±1.0","2.7%","±1.4","2.9%","±1.4","2.4%","±2.6","4.1%","±1.0","5.2%","±1.5","2.7%","±1.4","5.9%","±2.3","6.8%","±2.8","4.8%","±3.6","6.8%","±1.2","10.3%","±2.2","2.2%","±0.9","5.0%","±1.6","6.3%","±2.3","3.5%","±2.3","19.4%","±2.1","26.7%","±3.0","8.5%","±2.9","3.1%","±1.6","5.0%","±2.7","0.9%","±1.2","4.1%","±1.9","5.9%","±3.0","1.5%","±1.3","3.6%","±1.5","5.8%","±2.5","1.2%","±1.4","4.5%","±2.3","6.8%","±3.8","1.7%","±1.9","5.2%","±2.2","7.7%","±3.3","1.4%","±1.7"
"Median earnings (dollars)","(X)","(X)","39,492","±2,091","30,938","±3,264","(X)","(X)","43,441","±2,722","35,320","±2,080","(X)","(X)","36,197","±2,376","33,395","±1,133","(X)","(X)","33,440","±4,634","28,250","±3,968","(X)","(X)","32,024","±3,009","32,852","±2,564","(X)","(X)","36,809","±1,773","30,323","±1,772","(X)","(X)","35,682","±2,877","28,066","±2,351","(X)","(X)","43,893","±1,489","32,826","±1,652","(X)","(X)","39,171","±2,724","32,112","±1,437","(X)","(X)","60,723","±1,626","43,782","±3,751","(X)","(X)","39,157","±2,337","33,179","±4,792","(X)","(X)","32,021","±5,739","25,794","±1,158","(X)","(X)","34,456","±3,631","30,065","±3,972","(X)","(X)","34,401","±4,560","30,093","±4,763","(X)","(X)","37,564","±6,418","31,212","±3,005"
"Mean earnings (dollars)","42,493","±2,771","46,874","±3,860","35,983","±2,978","46,483","±1,734","50,372","±2,049","41,613","±2,536","47,149","±1,595","52,196","±2,678","40,935","±1,552","43,035","±5,097","52,859","±8,584","31,244","±2,448","38,847","±1,819","39,255","±2,592","38,238","±3,102","41,031","±1,935","45,545","±2,526","35,126","±2,646","43,312","±4,374","46,980","±5,963","38,415","±5,084","47,825","±1,698","54,892","±2,825","38,720","±1,805","43,068","±2,336","47,769","±4,151","37,611","±2,739","70,966","±3,745","84,709","±5,323","50,578","±2,736","43,611","±3,040","49,222","±4,801","36,908","±2,871","39,610","±4,164","44,427","±6,717","32,735","±2,879","40,122","±3,487","46,747","±5,965","32,578","±2,089","40,038","±3,829","45,153","±6,485","33,686","±3,651","42,982","±3,231","46,550","±4,816","37,716","±3,558"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","32,615","±1,924","36,697","±1,804","26,564","±2,152","33,734","±1,470","37,659","±1,842","30,322","±2,083","27,763","±1,228","29,780","±1,397","26,168","±1,138","26,514","±1,012","29,606","±2,923","22,829","±2,562","27,159","±1,638","29,601","±3,291","25,439","±2,480","27,197","±1,615","32,000","±1,804","22,519","±1,741","27,487","±2,138","31,229","±1,528","24,182","±3,509","33,745","±1,396","40,625","±1,919","29,251","±2,072","30,652","±1,086","33,259","±4,046","27,157","±2,312","43,192","±2,809","53,288","±3,105","32,561","±2,282","32,763","±1,740","35,671","±3,327","27,848","±3,376","23,981","±2,997","26,610","±1,377","20,196","±1,702","27,434","±2,975","31,871","±2,949","25,031","±2,756","21,256","±1,715","22,474","±4,695","19,182","±3,187","28,965","±2,693","34,117","±5,209","23,944","±3,354"
"        Less than high school graduate","25,497","±3,450","27,176","±5,395","20,813","±7,147","22,971","±4,401","25,690","±2,106","19,397","±2,151","16,257","±1,808","16,228","±1,954","16,304","±4,706","20,313","±4,182","21,556","±1,271","14,179","±3,970","21,005","±2,569","21,998","±4,201","18,469","±4,017","17,064","±1,409","19,512","±3,724","15,262","±4,118","19,615","±6,122","22,311","±6,031","13,790","±4,609","20,716","±1,725","22,433","±2,867","18,382","±3,993","22,738","±2,089","23,838","±3,243","18,125","±10,223","20,045","±5,799","20,450","±6,777","17,083","±7,738","22,676","±1,792","24,188","±4,921","21,839","±2,356","17,139","±4,177","17,321","±9,395","16,500","±4,980","17,775","±2,045","16,583","±5,496","18,576","±1,250","14,648","±1,914","14,488","±2,337","15,169","±7,474","27,111","±3,845","28,018","±3,584","21,394","±3,844"
"        High school graduate (includes equivalency)","32,269","±3,895","38,662","±1,930","25,284","±3,252","30,831","±1,783","34,321","±1,903","26,534","±2,171","23,481","±1,444","25,258","±1,437","20,455","±1,876","25,885","±1,316","28,750","±2,373","20,953","±2,377","22,549","±2,626","26,026","±4,018","18,638","±2,036","25,700","±2,199","31,402","±3,255","19,801","±2,143","26,445","±1,216","30,645","±2,088","21,788","±3,117","30,885","±1,411","35,107","±2,607","26,101","±1,851","28,148","±3,325","31,337","±2,407","25,513","±3,214","29,436","±3,181","31,267","±2,114","26,406","±2,593","30,957","±2,236","32,808","±2,989","26,392","±5,203","18,703","±3,218","22,292","±5,812","16,596","±3,838","25,509","±1,714","27,778","±5,835","22,026","±1,867","17,936","±3,933","21,314","±3,452","13,512","±5,114","24,308","±2,798","29,893","±7,049","18,521","±5,070"
"        Some college or associate's degree","32,750","±3,481","46,438","±17,353","28,312","±3,700","34,982","±2,535","41,463","±4,334","29,264","±4,016","25,115","±2,804","27,990","±3,291","21,723","±2,322","29,963","±7,913","36,528","±8,713","25,733","±3,273","30,992","±2,121","33,592","±2,639","27,246","±4,136","29,238","±3,515","36,987","±6,250","24,135","±1,995","24,641","±4,975","31,408","±2,761","20,578","±4,892","36,801","±4,030","47,933","±5,180","30,425","±1,687","30,728","±2,605","36,970","±2,445","23,500","±4,115","37,232","±4,772","47,963","±6,348","27,460","±5,880","34,506","±5,339","38,984","±3,546","24,389","±8,258","23,310","±3,181","28,385","±7,141","21,382","±3,346","27,313","±3,610","36,702","±8,018","23,173","±6,282","23,556","±3,407","31,087","±10,417","22,139","±3,795","30,615","±4,846","34,699","±7,529","24,328","±5,818"
"        Bachelor's degree","40,644","±7,410","42,500","±10,592","39,063","±18,235","43,288","±3,209","50,714","±4,385","40,172","±4,700","32,885","±2,365","37,130","±3,051","29,253","±2,860","45,720","±9,665","47,348","±14,438","40,163","±13,795","44,645","±4,435","48,603","±8,131","42,400","±9,374","43,234","±5,738","54,836","±6,213","35,229","±6,455","52,298","±12,298","54,219","±18,688","49,659","±16,450","48,596","±7,797","65,025","±17,157","40,705","±4,487","44,071","±6,194","50,057","±18,434","42,875","±6,865","50,285","±4,722","60,365","±8,803","35,577","±4,641","38,059","±5,504","50,104","±27,908","37,206","±5,927","39,154","±4,454","41,473","±6,918","31,969","±10,238","40,263","±11,710","45,852","±22,229","34,972","±11,850","23,929","±9,485","27,031","±31,198","15,938","±11,583","40,117","±13,169","54,886","±29,440","27,421","±5,892"
"        Graduate or professional degree","51,220","±5,837","50,363","±37,147","52,805","±7,079","53,242","±3,849","49,684","±7,003","54,250","±3,054","47,629","±2,603","50,929","±4,400","45,692","±2,727","53,833","±1,189","74,167","±37,247","53,185","±3,356","56,892","±4,267","58,571","±5,583","55,625","±7,627","46,250","±5,597","60,208","±13,599","42,432","±6,654","58,218","±7,334","58,750","±34,358","57,852","±6,970","51,576","±2,308","57,695","±6,405","49,886","±4,530","48,617","±3,604","49,063","±3,687","47,476","±5,765","63,050","±3,883","100,359","±11,377","53,208","±2,994","56,305","±1,997","87,540","±23,554","54,803","±5,968","50,000","±8,172","36,875","±37,073","51,897","±12,605","60,863","±5,484","91,486","±34,282","50,852","±8,839","45,000","±14,409","42,232","±51,995","45,313","±15,186","51,557","±9,097","56,220","±13,496","42,800","±9,924"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","18.0%","(X)","(X)","(X)","(X)","(X)","17.8%","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","16.4%","(X)","(X)","(X)","(X)","(X)","18.1%","(X)","(X)","(X)","(X)","(X)","14.2%","(X)","(X)","(X)","(X)","(X)","15.5%","(X)","(X)","(X)","(X)","(X)","16.1%","(X)","(X)","(X)","(X)","(X)","17.6%","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","13.6%","(X)","(X)","(X)","(X)","(X)","15.0%","(X)","(X)","(X)","(X)","(X)","16.8%","(X)","(X)","(X)","(X)","(X)","19.0%","(X)","(X)","(X)","(X)","(X)","15.2%","(X)","(X)","(X)","(X)","(X)"
