"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 16 years and over with earnings","8,675","±373","4,897","±242","3,778","±252","34,019","±763","18,229","±490","15,790","±527","65,545","±1,011","32,420","±755","33,125","±761","9,422","±425","4,974","±239","4,448","±302","10,472","±419","5,643","±248","4,829","±309","20,079","±587","9,872","±1,579","10,207","±1,822","11,457","±549","6,157","±326","5,300","±387","29,455","±614","16,374","±450","13,081","±432","13,523","±422","7,351","±292","6,172","±299","16,833","±561","9,022","±355","7,811","±337","6,536","±434","3,684","±335","2,852","±281","7,559","±359","4,260","±180","3,299","±279","12,493","±471","6,406","±317","6,087","±381","4,956","±259","2,267","±269","2,689","±345","13,701","±488","7,085","±350","6,616","±350"
"Median earnings (dollars)","27,632","±2,255","33,504","±3,406","20,543","±1,935","29,855","±1,472","34,158","±1,955","24,123","±1,109","17,831","±959","20,612","±654","15,872","±761","23,021","±2,199","27,472","±2,207","18,680","±2,279","24,764","±2,194","27,810","±4,397","21,837","±2,073","21,831","±4,127","28,289","±3,481","18,341","±5,360","23,938","±2,451","30,062","±2,409","17,732","±2,717","30,425","±1,143","33,750","±1,917","25,252","±1,955","26,915","±1,383","31,096","±1,816","22,686","±2,015","35,725","±2,670","44,686","±3,298","27,286","±3,486","24,676","±3,285","31,075","±1,232","20,164","±2,434","21,892","±1,320","25,109","±3,666","18,105","±1,864","21,925","±1,400","28,682","±3,363","16,871","±1,517","21,074","±1,536","30,145","±4,862","14,025","±4,187","28,442","±2,949","33,543","±2,569","24,570","±2,094"
"Full-time, year-round workers with earnings","5,489","±389","3,420","±301","2,069","±235","21,412","±811","12,364","±602","9,048","±533","30,245","±849","16,503","±738","13,742","±608","5,925","±356","3,512","±221","2,413","±268","6,670","±403","4,091","±300","2,579","±287","11,519","±1,152","6,513","±1,328","5,006","±492","6,693","±502","4,035","±385","2,658","±288","18,833","±766","10,805","±519","8,028","±478","8,577","±506","4,843","±343","3,734","±351","11,020","±541","6,475","±314","4,545","±359","4,117","±404","2,598","±294","1,519","±235","4,282","±399","2,479","±287","1,803","±236","7,280","±581","4,163","±379","3,117","±341","2,544","±302","1,499","±244","1,045","±173","8,091","±582","4,681","±373","3,410","±375"
"$1 to $9,999 or loss","4.0%","±2.1","2.6%","±2.0","6.2%","±3.4","1.8%","±0.9","1.4%","±0.8","2.4%","±1.8","2.8%","±0.7","2.3%","±0.8","3.3%","±1.2","3.1%","±1.5","3.7%","±2.6","2.3%","±1.9","3.4%","±1.4","2.5%","±1.9","4.7%","±2.4","5.5%","±4.8","3.3%","±2.0","8.2%","±10.0","7.1%","±2.7","6.0%","±3.3","8.7%","±4.3","3.3%","±1.1","2.7%","±1.1","4.0%","±1.8","4.0%","±1.9","2.9%","±1.8","5.3%","±2.7","2.4%","±1.4","2.3%","±1.4","2.6%","±1.7","0.5%","±0.7","0.8%","±1.1","0.1%","±0.2","4.3%","±2.4","3.5%","±3.0","5.4%","±4.0","2.8%","±1.4","2.2%","±1.6","3.6%","±2.6","1.1%","±1.1","1.2%","±1.6","1.0%","±1.4","4.6%","±2.1","3.8%","±2.4","5.7%","±3.1"
"$10,000 to $14,999","7.1%","±2.3","3.4%","±1.8","13.4%","±5.2","2.9%","±0.9","1.4%","±1.1","5.0%","±1.6","4.9%","±1.0","4.3%","±1.2","5.5%","±1.6","7.7%","±2.3","3.7%","±2.0","13.5%","±5.0","8.4%","±2.9","7.8%","±4.0","9.3%","±3.8","5.6%","±1.6","4.8%","±2.1","6.7%","±3.2","5.4%","±2.3","3.0%","±2.3","9.1%","±4.3","4.2%","±1.1","2.6%","±1.0","6.3%","±2.1","5.8%","±2.0","3.8%","±2.0","8.4%","±3.5","3.1%","±1.2","1.2%","±0.8","5.8%","±2.9","5.2%","±3.4","4.4%","±3.3","6.5%","±5.9","7.0%","±2.2","5.0%","±2.2","9.7%","±4.3","6.1%","±2.2","4.1%","±2.4","8.8%","±4.1","5.6%","±3.2","4.2%","±4.0","7.6%","±4.6","5.1%","±2.5","5.7%","±3.9","4.2%","±2.5"
"$15,000 to $24,999","19.1%","±3.6","14.8%","±4.4","26.3%","±5.6","15.9%","±2.1","11.8%","±2.4","21.4%","±3.3","22.7%","±1.4","20.4%","±1.9","25.5%","±2.7","26.3%","±4.2","22.4%","±5.2","32.0%","±6.7","22.6%","±4.1","22.3%","±5.4","23.0%","±5.9","24.2%","±3.0","21.7%","±4.3","27.4%","±6.1","19.1%","±3.7","15.7%","±4.4","24.3%","±6.6","15.2%","±2.2","10.8%","±2.0","21.2%","±3.9","16.9%","±3.3","11.3%","±3.7","24.3%","±5.1","10.4%","±1.9","6.5%","±2.2","16.0%","±3.6","22.9%","±4.7","16.4%","±5.4","33.9%","±8.3","31.4%","±5.7","22.7%","±6.3","43.4%","±8.5","25.1%","±4.0","15.3%","±4.0","38.2%","±7.0","25.1%","±7.1","22.9%","±9.6","28.1%","±10.2","16.3%","±3.2","14.0%","±4.0","19.5%","±5.0"
"$25,000 to $34,999","19.0%","±3.2","16.3%","±4.0","23.4%","±5.6","22.8%","±2.5","21.2%","±3.3","24.9%","±3.7","21.2%","±1.6","17.7%","±2.0","25.5%","±2.8","27.0%","±4.6","26.7%","±5.8","27.5%","±6.7","21.8%","±3.5","18.8%","±4.8","26.5%","±5.9","20.5%","±2.8","18.7%","±3.5","22.8%","±4.8","26.5%","±3.8","24.9%","±5.1","29.0%","±6.5","21.1%","±2.3","20.7%","±3.6","21.7%","±3.3","25.1%","±4.3","24.2%","±4.8","26.3%","±5.6","15.7%","±2.3","13.3%","±3.1","19.0%","±3.7","23.6%","±5.3","25.5%","±5.8","20.5%","±9.1","14.4%","±3.5","16.2%","±5.5","12.0%","±5.4","21.9%","±3.4","26.5%","±4.3","15.8%","±4.8","31.6%","±7.4","32.2%","±10.9","30.7%","±10.6","22.8%","±3.7","17.1%","±4.6","30.5%","±6.8"
"$35,000 to $49,999","25.4%","±4.1","29.3%","±5.5","19.0%","±5.2","26.6%","±2.5","26.1%","±3.6","27.3%","±3.3","19.9%","±1.8","20.6%","±2.3","19.0%","±2.3","18.3%","±4.0","20.8%","±5.0","14.7%","±5.6","22.2%","±3.7","23.2%","±5.0","20.5%","±5.2","20.3%","±2.2","21.7%","±3.3","18.4%","±3.6","20.1%","±3.3","21.7%","±4.2","17.8%","±4.8","22.3%","±2.4","20.2%","±2.7","25.1%","±4.1","23.5%","±3.6","29.0%","±5.3","16.4%","±4.2","20.4%","±2.9","18.2%","±3.2","23.5%","±4.6","25.1%","±5.5","25.9%","±7.4","23.6%","±7.9","19.5%","±4.4","22.9%","±6.0","14.8%","±5.6","23.1%","±3.8","24.0%","±4.3","21.8%","±6.7","21.1%","±6.8","20.9%","±10.0","21.3%","±8.8","23.4%","±4.9","25.1%","±5.4","21.1%","±6.8"
"$50,000 to $64,999","10.6%","±2.5","13.8%","±3.5","5.4%","±2.4","15.6%","±2.4","19.5%","±3.4","10.2%","±2.4","12.3%","±1.2","12.9%","±1.9","11.4%","±1.4","9.6%","±2.5","11.8%","±4.0","6.4%","±3.7","10.2%","±3.2","10.7%","±4.0","9.4%","±4.4","11.1%","±1.9","11.6%","±2.9","10.6%","±2.7","10.5%","±2.3","13.8%","±3.7","5.6%","±2.7","17.4%","±2.3","20.3%","±3.3","13.5%","±2.7","14.3%","±2.6","15.5%","±3.8","12.8%","±3.7","14.6%","±2.0","15.9%","±2.7","12.7%","±2.9","13.9%","±3.7","15.7%","±5.2","10.7%","±5.6","12.7%","±3.2","14.9%","±4.8","9.5%","±4.5","9.1%","±2.2","10.6%","±3.5","7.1%","±3.0","7.8%","±3.0","7.8%","±4.3","7.8%","±4.3","12.9%","±2.9","16.1%","±4.6","8.4%","±2.8"
"$65,000 to $74,999","4.8%","±2.8","6.2%","±3.9","2.5%","±2.1","4.5%","±1.2","5.6%","±1.6","3.1%","±1.2","4.2%","±0.7","4.8%","±1.1","3.4%","±1.0","3.4%","±1.4","4.5%","±2.1","1.7%","±1.5","2.9%","±1.6","3.9%","±2.4","1.5%","±1.1","3.1%","±0.9","3.0%","±1.2","3.4%","±1.6","1.9%","±1.3","2.1%","±1.3","1.5%","±1.7","4.7%","±1.0","5.5%","±1.6","3.5%","±1.3","3.6%","±1.3","4.5%","±1.9","2.5%","±1.5","5.8%","±1.6","6.1%","±2.1","5.4%","±2.3","2.4%","±1.7","2.2%","±2.1","2.8%","±2.9","3.1%","±1.9","2.7%","±2.3","3.7%","±3.0","3.0%","±1.5","4.2%","±2.5","1.3%","±1.5","1.6%","±1.3","2.7%","±2.2","0.0%","±3.8","5.8%","±2.4","7.4%","±3.5","3.7%","±3.1"
