"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"$75,000 to $99,999","5.4%","±1.9","7.4%","±2.9","2.1%","±1.9","6.8%","±1.5","8.5%","±2.0","4.6%","±1.8","4.9%","±0.7","6.3%","±1.1","3.4%","±0.9","2.2%","±1.2","2.4%","±1.5","1.9%","±1.7","5.1%","±1.8","5.3%","±2.5","4.7%","±3.5","5.2%","±1.5","8.4%","±2.3","1.1%","±0.8","4.2%","±1.5","5.5%","±2.5","2.2%","±1.5","6.3%","±1.2","8.7%","±1.8","3.1%","±1.1","4.3%","±1.5","6.0%","±2.1","2.1%","±1.4","8.7%","±1.8","9.2%","±2.2","8.0%","±2.8","3.0%","±1.4","4.0%","±2.3","1.3%","±1.5","2.8%","±1.8","4.2%","±2.9","0.8%","±1.8","5.2%","±2.2","6.5%","±3.3","3.5%","±2.1","2.4%","±1.3","2.3%","±1.7","2.6%","±2.1","5.9%","±1.8","5.7%","±2.8","6.2%","±2.9"
"$100,000 or more","4.5%","±1.8","6.2%","±3.1","1.7%","±1.8","3.1%","±0.8","4.5%","±1.2","1.1%","±0.8","7.2%","±0.9","10.7%","±1.3","3.0%","±0.9","2.4%","±2.1","4.0%","±3.5","0.0%","±1.6","3.5%","±1.3","5.5%","±2.1","0.5%","±0.7","4.5%","±1.4","6.8%","±2.1","1.4%","±1.7","5.1%","±1.4","7.3%","±2.0","1.8%","±1.3","5.5%","±1.1","8.4%","±1.8","1.7%","±0.8","2.4%","±1.1","2.9%","±1.5","1.9%","±1.9","18.9%","±2.3","27.4%","±3.7","7.0%","±2.3","3.4%","±2.4","5.0%","±3.6","0.7%","±1.3","4.8%","±1.7","7.8%","±2.9","0.7%","±1.1","3.8%","±1.9","6.6%","±3.2","0.0%","±1.3","3.8%","±2.0","5.7%","±3.2","1.0%","±1.2","3.3%","±1.5","5.1%","±2.3","0.6%","±0.9"
"Median earnings (dollars)","(X)","(X)","41,444","±2,038","26,998","±3,223","(X)","(X)","42,869","±1,530","33,175","±1,730","(X)","(X)","37,896","±1,605","30,574","±1,231","(X)","(X)","31,556","±1,752","25,562","±2,001","(X)","(X)","33,718","±3,881","28,713","±2,490","(X)","(X)","35,974","±3,091","27,971","±2,345","(X)","(X)","35,172","±2,517","26,836","±1,911","(X)","(X)","43,906","±2,407","33,248","±2,352","(X)","(X)","37,963","±1,801","28,732","±1,554","(X)","(X)","57,303","±7,175","39,375","±4,359","(X)","(X)","35,966","±2,577","27,474","±6,407","(X)","(X)","35,951","±2,254","23,025","±1,680","(X)","(X)","35,814","±2,259","24,834","±2,395","(X)","(X)","31,668","±1,410","27,127","±2,579","(X)","(X)","40,265","±2,869","31,061","±1,085"
"Mean earnings (dollars)","42,388","±2,783","48,923","±3,933","31,585","±4,289","44,319","±1,463","49,422","±2,026","37,346","±1,762","46,240","±1,803","53,686","±2,791","37,297","±1,374","34,232","±2,527","38,036","±3,703","28,696","±2,360","38,333","±2,143","41,498","±3,176","33,313","±2,984","39,959","±2,861","46,068","±3,267","32,012","±2,677","39,549","±2,770","45,137","±4,155","31,067","±2,502","45,890","±1,720","52,520","±2,780","36,967","±1,720","40,039","±2,821","44,992","±4,531","33,615","±2,193","70,601","±4,482","86,961","±7,309","47,295","±3,332","40,100","±3,882","44,616","±5,785","32,377","±2,999","39,208","±3,702","46,461","±5,484","29,236","±3,168","40,357","±2,998","47,875","±5,027","30,315","±2,709","36,542","±3,309","39,703","±4,734","32,009","±2,849","42,229","±2,860","46,875","±4,359","35,851","±2,445"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","30,361","±1,899","36,720","±3,266","23,006","±3,702","32,692","±1,312","38,791","±2,790","27,844","±1,898","28,692","±1,228","31,803","±1,116","26,281","±712","25,980","±1,605","30,311","±2,061","20,670","±2,370","28,972","±3,534","32,243","±2,722","25,587","±2,097","27,626","±2,112","31,532","±2,015","24,322","±2,070","26,556","±1,329","31,920","±1,924","20,677","±2,203","33,182","±1,597","38,780","±2,610","28,015","±2,553","29,337","±1,688","33,584","±2,746","24,559","±1,668","42,201","±2,373","50,210","±3,630","32,273","±2,703","30,327","±3,209","33,602","±3,877","21,534","±1,788","23,920","±1,392","30,903","±4,458","19,380","±1,621","25,667","±1,410","31,783","±1,497","20,358","±2,106","25,267","±2,268","30,490","±2,068","22,083","±1,691","31,562","±1,160","37,853","±3,084","26,733","±1,752"
"    Less than high school graduate","23,351","±4,590","28,427","±1,986","15,634","±3,355","20,947","±2,256","22,204","±5,769","15,941","±4,946","19,645","±1,311","20,622","±2,070","18,680","±1,424","17,205","±1,300","21,204","±6,055","14,318","±2,235","22,079","±5,109","24,063","±6,942","17,976","±8,900","18,491","±1,195","18,809","±1,360","17,609","±3,121","16,641","±5,417","29,914","±7,731","9,171","±3,399","21,493","±2,951","26,872","±3,236","16,879","±1,052","21,293","±1,248","21,957","±2,264","16,163","±4,116","21,675","±2,066","26,584","±4,401","16,125","±4,220","20,264","±8,927","16,905","±9,569","26,174","±5,275","19,240","±2,538","20,938","±3,070","16,915","±2,886","18,594","±4,392","21,233","±2,318","14,054","±2,074","27,386","±5,921","29,158","±3,656","15,833","±3,128","24,311","±10,623","33,625","±8,698","14,800","±10,346"
"    High school graduate (includes equivalency)","27,511","±3,652","35,968","±4,510","20,470","±3,338","31,151","±1,102","36,730","±3,322","23,574","±1,533","23,036","±1,347","25,445","±2,416","21,085","±2,234","26,167","±1,853","31,336","±3,158","21,374","±1,835","26,168","±3,463","30,633","±5,218","21,138","±5,328","27,010","±2,737","33,374","±2,601","19,854","±1,996","23,540","±2,226","26,150","±3,312","20,220","±3,157","31,152","±1,326","38,453","±4,124","25,281","±1,994","30,147","±2,000","36,074","±3,313","23,445","±2,958","28,387","±3,585","31,747","±5,106","23,026","±4,914","27,319","±4,608","32,452","±5,166","20,804","±2,525","20,720","±2,964","24,438","±2,524","15,910","±2,062","23,715","±2,533","28,730","±4,162","20,568","±1,397","21,897","±1,950","24,583","±11,106","19,260","±3,652","26,983","±3,589","32,238","±2,653","23,965","±3,370"
"    Some college or associate's degree","35,775","±3,431","45,109","±4,002","28,527","±3,790","35,581","±1,496","43,678","±2,442","29,908","±3,860","26,363","±1,197","28,950","±3,499","25,329","±1,247","27,742","±5,920","33,099","±4,294","19,223","±7,046","27,465","±4,303","38,910","±5,248","25,287","±2,908","26,573","±3,497","31,577","±2,908","23,837","±2,508","26,292","±2,141","33,641","±4,837","20,390","±3,885","35,098","±3,372","42,324","±4,916","27,447","±3,800","31,091","±2,542","37,185","±2,611","26,481","±3,782","35,024","±4,458","41,851","±5,524","26,483","±3,252","30,228","±4,542","34,000","±4,687","17,007","±6,746","22,474","±4,378","32,500","±6,681","19,032","±1,998","25,471","±2,214","35,595","±4,221","16,870","±3,174","25,294","±2,750","32,885","±15,514","22,901","±2,751","32,524","±3,557","41,273","±5,223","27,137","±2,924"
"    Bachelor's degree","45,617","±2,485","48,021","±13,202","41,848","±4,999","41,434","±3,929","46,901","±4,907","38,568","±3,763","33,426","±2,217","37,197","±3,759","30,878","±2,706","42,341","±7,731","50,109","±18,767","34,263","±7,975","41,289","±2,352","46,953","±13,242","33,750","±9,670","41,353","±3,056","47,727","±9,141","36,432","±5,773","44,159","±5,036","51,094","±14,074","37,596","±9,497","43,165","±5,867","52,079","±14,509","38,490","±5,455","35,907","±5,922","34,583","±4,242","40,583","±13,188","47,563","±3,439","56,630","±13,263","42,806","±7,448","43,750","±11,536","49,391","±12,720","34,583","±4,944","43,420","±5,142","50,066","±13,251","35,677","±12,982","43,548","±6,564","60,563","±18,617","25,060","±11,113","31,196","±10,726","31,176","±40,457","31,250","±16,766","40,478","±5,431","45,273","±8,021","37,538","±9,960"
"    Graduate or professional degree","48,456","±26,143","58,563","±45,486","42,500","±20,971","58,167","±6,356","66,890","±8,868","54,127","±5,251","48,472","±4,350","62,257","±5,919","42,351","±2,056","42,313","±12,677","28,897","±9,897","50,218","±5,242","48,333","±8,972","42,440","±29,530","51,691","±8,253","50,940","±2,906","60,153","±11,640","46,827","±6,344","52,567","±9,548","48,696","±11,298","54,188","±10,407","49,569","±2,000","64,176","±13,169","47,493","±1,995","43,512","±5,919","43,750","±14,097","42,386","±14,566","70,035","±7,877","94,402","±21,262","51,294","±4,847","47,500","±18,656","50,188","±53,550","40,250","±29,719","52,896","±7,501","62,094","±8,540","43,750","±6,522","52,458","±9,600","53,500","±23,601","51,458","±12,059","39,223","±13,764","47,941","±10,554","38,277","±14,442","56,098","±7,050","58,438","±9,408","52,336","±8,055"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Earnings in the past 12 months","13.6%","(X)","(X)","(X)","(X)","(X)","12.6%","(X)","(X)","(X)","(X)","(X)","13.7%","(X)","(X)","(X)","(X)","(X)","13.8%","(X)","(X)","(X)","(X)","(X)","13.6%","(X)","(X)","(X)","(X)","(X)","14.6%","(X)","(X)","(X)","(X)","(X)","14.8%","(X)","(X)","(X)","(X)","(X)","15.6%","(X)","(X)","(X)","(X)","(X)","14.1%","(X)","(X)","(X)","(X)","(X)","11.3%","(X)","(X)","(X)","(X)","(X)","11.6%","(X)","(X)","(X)","(X)","(X)","17.8%","(X)","(X)","(X)","(X)","(X)","17.0%","(X)","(X)","(X)","(X)","(X)","18.8%","(X)","(X)","(X)","(X)","(X)","13.9%","(X)","(X)","(X)","(X)","(X)"
