"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.3%","±0.3","8.6%","±0.5","8.1%","±0.3","8.1%","±0.3","8.4%","±0.5","7.9%","±0.5","30.4%","±0.1","28.8%","±0.1","31.9%","±0.1","9.3%","±0.6","10.5%","±1.0","8.1%","±0.7","9.9%","±0.7","9.8%","±0.9","9.9%","±0.6","9.3%","±0.4","9.2%","±0.4","9.4%","±0.7","8.3%","±0.6","8.5%","±0.6","8.1%","±0.8","8.1%","±0.3","8.8%","±0.4","7.3%","±0.4","7.9%","±0.3","7.8%","±0.7","8.1%","±0.4","7.6%","±0.5","7.4%","±0.4","7.8%","±0.9","8.3%","±1.0","9.2%","±1.1","7.4%","±1.8","6.8%","±0.7","7.7%","±0.9","5.9%","±0.6","9.8%","±0.3","9.7%","±0.6","9.9%","±0.4","10.7%","±0.6","11.0%","±0.7","10.5%","±1.0","8.2%","±0.2","8.3%","±0.3","8.1%","±0.3"
"    15 to 44 years","38.9%","±0.6","39.2%","±0.9","38.6%","±0.7","42.8%","±0.5","42.9%","±0.6","42.7%","±0.7","59.9%","±0.1","60.2%","±0.2","59.5%","±0.2","37.0%","±0.6","38.5%","±0.9","35.7%","±0.8","37.2%","±0.6","38.7%","±0.8","35.6%","±1.0","38.6%","±0.4","38.6%","±0.5","38.6%","±0.6","35.0%","±0.2","36.8%","±0.7","33.3%","±0.6","39.8%","±0.4","40.9%","±0.6","38.7%","±0.6","37.8%","±0.4","38.4%","±0.6","37.2%","±0.6","37.2%","±0.6","37.0%","±0.6","37.4%","±0.8","37.1%","±1.3","38.1%","±1.9","36.2%","±1.9","32.9%","±0.7","34.2%","±0.8","31.7%","±1.2","35.8%","±0.7","36.6%","±1.1","35.2%","±0.9","30.8%","±1.0","30.8%","±1.7","30.7%","±1.2","35.3%","±0.7","36.4%","±1.1","34.3%","±0.6"
"    16 years and over","78.2%","±0.8","76.7%","±1.0","79.7%","±1.2","74.7%","±0.5","72.7%","±0.6","76.6%","±0.7","83.9%","±0.2","82.9%","±0.2","84.9%","±0.2","79.5%","±0.5","78.6%","±0.7","80.3%","±0.9","80.5%","±0.4","79.4%","±1.2","81.6%","±1.3","79.3%","±0.4","78.0%","±0.5","80.4%","±0.7","80.3%","±0.4","79.3%","±1.2","81.3%","±1.0","76.5%","±0.3","76.2%","±0.5","76.9%","±0.5","78.4%","±0.4","78.1%","±0.8","78.6%","±1.0","76.2%","±0.3","74.6%","±0.8","77.7%","±0.7","79.7%","±0.8","78.9%","±2.1","80.5%","±1.6","82.3%","±0.8","81.5%","±1.4","83.0%","±1.0","79.2%","±0.7","77.9%","±1.4","80.5%","±1.3","87.0%","±0.9","85.8%","±1.6","88.2%","±0.9","81.0%","±0.7","80.2%","±0.9","81.8%","±1.2"
"    18 years and over","74.7%","±0.7","73.1%","±0.9","76.4%","±1.0","71.8%","*****","69.6%","±0.5","74.1%","±0.6","82.4%","±0.1","81.2%","±0.2","83.4%","±0.1","76.9%","*****","76.2%","±0.6","77.5%","±0.6","77.5%","±0.2","76.1%","±1.2","78.9%","±1.2","76.3%","±0.1","75.3%","±0.4","77.2%","±0.3","77.7%","*****","76.1%","±1.0","79.3%","±1.0","73.6%","*****","72.7%","±0.4","74.4%","±0.4","75.4%","±0.1","75.0%","±0.9","75.8%","±0.9","72.0%","±0.1","70.1%","±0.4","73.8%","±0.5","76.3%","±0.4","75.3%","±1.7","77.4%","±1.6","79.4%","±0.7","78.9%","±1.1","79.8%","±1.1","76.6%","±0.5","75.6%","±1.2","77.6%","±1.1","84.9%","±0.8","83.7%","±1.9","86.0%","±1.0","78.1%","±0.6","76.9%","±0.7","79.2%","±0.7"
"    60 years and over","19.4%","±0.9","17.3%","±1.0","21.5%","±1.4","14.2%","±0.4","12.4%","±0.6","16.1%","±0.6","12.1%","±0.2","10.5%","±0.4","13.6%","±0.4","23.8%","±0.8","22.2%","±1.3","25.3%","±1.2","23.3%","±0.8","20.4%","±1.2","26.2%","±1.1","21.6%","±0.6","21.0%","±0.9","22.1%","±0.7","26.0%","±0.8","24.0%","±1.2","28.1%","±1.2","17.2%","±0.5","15.1%","±0.7","19.2%","±0.8","19.4%","±0.9","17.5%","±1.2","21.1%","±1.2","16.6%","±0.6","16.0%","±0.7","17.2%","±0.8","22.0%","±1.2","20.5%","±1.6","23.6%","±1.7","29.4%","±1.2","27.8%","±1.8","30.9%","±1.6","23.9%","±1.1","22.5%","±1.6","25.2%","±1.4","38.7%","±1.1","36.3%","±1.5","41.0%","±1.7","24.8%","±1.0","23.6%","±1.5","26.1%","±1.3"
"    62 years and over","16.2%","±0.7","14.8%","±0.9","17.8%","±1.2","12.0%","±0.4","10.5%","±0.5","13.5%","±0.6","10.6%","±0.2","9.1%","±0.3","12.0%","±0.3","20.8%","±0.9","19.1%","±1.5","22.3%","±1.1","20.4%","±0.7","18.5%","±1.3","22.4%","±1.0","19.1%","±0.6","18.2%","±0.9","19.9%","±0.7","23.0%","±0.8","20.4%","±1.2","25.6%","±1.1","14.7%","±0.4","13.3%","±0.6","16.0%","±0.6","17.1%","±0.7","15.7%","±1.0","18.5%","±1.0","14.1%","±0.6","13.7%","±0.7","14.5%","±0.6","18.8%","±1.0","16.9%","±1.5","20.6%","±1.4","26.7%","±1.1","25.0%","±1.6","28.3%","±1.5","21.1%","±1.0","19.6%","±1.2","22.4%","±1.5","34.9%","±1.2","32.6%","±1.5","37.1%","±2.0","21.2%","±0.8","19.8%","±1.1","22.6%","±1.1"
"    65 years and over","12.8%","±0.4","11.4%","±0.1","14.2%","±0.9","9.5%","±0.1","8.0%","±0.2","11.1%","±0.2","8.6%","±0.1","7.1%","±0.1","10.0%","±0.1","16.8%","±0.2","14.8%","±0.1","18.7%","±0.1","16.9%","±0.4","14.5%","±0.5","19.1%","±0.6","15.4%","±0.2","14.6%","±0.3","16.1%","±0.3","18.1%","±0.1","15.8%","±0.3","20.4%","±0.3","11.8%","±0.2","10.4%","±0.4","13.2%","±0.2","13.8%","±0.2","12.8%","±0.4","14.8%","±0.4","11.1%","±0.3","10.2%","±0.4","11.9%","±0.4","14.5%","±0.2","13.3%","±0.6","15.8%","±0.3","21.3%","±0.2","19.7%","±0.2","22.8%","±0.5","17.0%","±0.4","15.1%","±0.5","18.7%","±0.8","29.2%","±0.5","27.9%","±0.7","30.5%","±0.7","17.8%","±0.4","16.4%","±0.6","19.1%","±0.4"
"    75 years and over","4.7%","±0.4","3.8%","±0.1","5.6%","±0.9","3.7%","±0.1","2.7%","±0.2","4.7%","±0.1","3.9%","±0.1","3.0%","±0.1","4.7%","±0.1","7.5%","±0.3","5.7%","±0.5","9.2%","±0.1","7.2%","±0.2","5.3%","±0.2","9.0%","±0.3","6.7%","±0.1","5.9%","±0.2","7.4%","±0.1","7.5%","±0.3","6.0%","±0.3","9.1%","±0.5","4.4%","±0.2","3.4%","±0.3","5.3%","±0.2","5.3%","±0.2","3.9%","±0.3","6.7%","±0.4","4.3%","±0.1","3.5%","±0.2","5.2%","±0.2","5.1%","±0.3","4.5%","±0.6","5.7%","±0.4","8.8%","±0.2","7.5%","±0.1","10.1%","±0.4","7.3%","±0.3","5.6%","±0.3","8.9%","±0.5","12.8%","±0.4","11.8%","±0.7","13.7%","±0.5","7.0%","±0.3","6.2%","±0.2","7.9%","±0.3"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","38.2","±1.0","37.4","±0.9","38.9","±1.6","33.6","±0.4","31.6","±0.5","35.1","±0.3","25.9","±0.2","25.8","±0.3","25.9","±0.3","41.2","±0.7","38.4","±1.3","42.2","±1.2","40.0","±0.7","38.9","±1.0","42.8","±1.1","38.6","±0.4","38.1","±0.8","39.0","±0.7","42.8","±0.8","40.2","±1.3","44.2","±0.7","36.8","±0.6","35.7","±0.4","37.9","±0.5","38.8","±0.6","38.1","±0.9","39.3","±1.1","39.1","±0.5","38.2","±0.6","39.7","±0.8","41.4","±0.9","40.6","±2.0","42.6","±1.9","45.4","±0.6","44.1","±0.9","46.4","±1.4","40.5","±0.6","39.7","±0.6","41.2","±0.8","51.3","±0.6","49.2","±0.8","52.4","±1.0","43.2","±1.3","41.0","±2.1","44.2","±0.6"
"    Sex ratio (males per 100 females)","104.4","±1.9","(X)","(X)","(X)","(X)","100.1","±1.7","(X)","(X)","(X)","(X)","90.4","±0.3","(X)","(X)","(X)","(X)","90.8","±1.5","(X)","(X)","(X)","(X)","97.5","±2.9","(X)","(X)","(X)","(X)","87.9","±1.0","(X)","(X)","(X)","(X)","98.1","±2.8","(X)","(X)","(X)","(X)","99.1","±1.3","(X)","(X)","(X)","(X)","96.4","±2.2","(X)","(X)","(X)","(X)","96.6","±1.3","(X)","(X)","(X)","(X)","99.9","±4.4","(X)","(X)","(X)","(X)","95.2","±1.9","(X)","(X)","(X)","(X)","91.4","±2.6","(X)","(X)","(X)","(X)","91.8","±3.2","(X)","(X)","(X)","(X)","99.4","±2.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.4","±2.1","(X)","(X)","(X)","(X)","60.6","±0.3","(X)","(X)","(X)","(X)","35.7","±0.2","(X)","(X)","(X)","(X)","66.7","±0.1","(X)","(X)","(X)","(X)","64.8","±1.1","(X)","(X)","(X)","(X)","64.2","±0.6","(X)","(X)","(X)","(X)","67.9","±0.3","(X)","(X)","(X)","(X)","61.8","±0.6","(X)","(X)","(X)","(X)","62.4","±0.7","(X)","(X)","(X)","(X)","64.2","±0.9","(X)","(X)","(X)","(X)","61.8","±0.9","(X)","(X)","(X)","(X)","72.3","±2.1","(X)","(X)","(X)","(X)","67.6","±1.7","(X)","(X)","(X)","(X)","79.8","±3.0","(X)","(X)","(X)","(X)","65.8","±1.9","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.6","±0.9","(X)","(X)","(X)","(X)","15.3","±0.2","(X)","(X)","(X)","(X)","11.7","±0.1","(X)","(X)","(X)","(X)","28.1","±0.1","(X)","(X)","(X)","(X)","27.8","±0.8","(X)","(X)","(X)","(X)","25.3","±0.4","(X)","(X)","(X)","(X)","30.5","±0.2","(X)","(X)","(X)","(X)","19.1","±0.4","(X)","(X)","(X)","(X)","22.4","±0.4","(X)","(X)","(X)","(X)","18.2","±0.7","(X)","(X)","(X)","(X)","23.5","±0.4","(X)","(X)","(X)","(X)","36.7","±0.6","(X)","(X)","(X)","(X)","28.4","±0.8","(X)","(X)","(X)","(X)","52.5","±1.5","(X)","(X)","(X)","(X)","29.5","±0.9","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.8","±1.6","(X)","(X)","(X)","(X)","45.2","±0.1","(X)","(X)","(X)","(X)","23.9","±0.1","(X)","(X)","(X)","(X)","38.6","±0.1","(X)","(X)","(X)","(X)","37.0","±0.4","(X)","(X)","(X)","(X)","38.9","±0.1","(X)","(X)","(X)","(X)","37.5","±0.1","(X)","(X)","(X)","(X)","42.7","±0.2","(X)","(X)","(X)","(X)","40.0","±0.3","(X)","(X)","(X)","(X)","46.0","±0.3","(X)","(X)","(X)","(X)","38.3","±0.8","(X)","(X)","(X)","(X)","35.6","±1.6","(X)","(X)","(X)","(X)","39.1","±1.1","(X)","(X)","(X)","(X)","27.2","±1.8","(X)","(X)","(X)","(X)","36.4","±1.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)"
