"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.1%","±0.5","8.2%","±0.8","8.0%","±1.0","8.0%","±0.1","8.3%","±0.1","7.8%","±0.1","28.3%","±0.1","27.6%","±0.1","28.8%","±0.1","8.4%","±0.6","9.1%","±1.1","7.8%","±0.5","9.6%","±0.4","9.8%","±0.4","9.5%","±0.6","9.9%","±0.4","10.5%","±0.7","9.4%","±0.5","8.4%","±0.7","9.2%","±0.9","7.7%","±0.8","7.8%","±0.2","8.1%","±0.4","7.5%","±0.3","8.4%","±0.5","8.7%","±0.9","8.2%","±0.5","7.7%","±0.4","8.0%","±0.5","7.3%","±0.3","6.9%","±0.5","7.2%","±0.6","6.6%","±0.7","7.5%","±0.6","8.6%","±0.8","6.5%","±0.6","10.8%","±0.6","11.6%","±0.8","10.1%","±0.8","13.0%","±0.7","13.4%","±0.8","12.7%","±0.9","8.6%","±0.2","8.8%","±0.2","8.4%","±0.4"
"    15 to 44 years","37.1%","±0.5","36.2%","±0.8","37.9%","±1.0","41.6%","±0.1","42.8%","±0.3","40.4%","±0.3","58.0%","±0.1","58.6%","±0.1","57.4%","±0.2","35.3%","±0.4","36.4%","±0.5","34.3%","±0.6","36.4%","±0.6","36.7%","±0.7","36.1%","±1.1","37.9%","±0.4","37.4%","±0.5","38.3%","±0.6","34.8%","±0.7","35.8%","±1.0","33.8%","±0.8","39.0%","±0.4","39.6%","±0.5","38.3%","±0.6","36.9%","±0.6","37.0%","±1.1","36.7%","±0.8","36.4%","±0.4","36.1%","±0.6","36.6%","±0.6","35.9%","±0.8","36.6%","±1.4","35.2%","±1.3","32.7%","±0.7","33.4%","±0.9","32.0%","±0.9","36.1%","±0.6","35.2%","±1.3","36.9%","±1.1","30.7%","±0.6","30.8%","±0.8","30.6%","±1.0","33.7%","±0.5","34.2%","±0.8","33.2%","±0.8"
"    16 years and over","79.4%","±0.4","78.1%","±0.8","80.8%","±1.0","75.8%","±0.2","74.7%","±0.4","76.8%","±0.5","84.2%","±0.2","83.1%","±0.3","85.3%","±0.3","80.6%","±0.4","79.9%","±0.5","81.3%","±0.7","80.7%","±0.5","79.5%","±0.9","82.0%","±1.2","79.8%","±0.3","77.9%","±0.5","81.4%","±0.5","81.2%","±0.3","80.4%","±0.8","82.1%","±0.7","77.1%","±0.3","76.1%","±0.5","78.0%","±0.5","79.4%","±0.4","78.0%","±0.9","80.8%","±0.9","76.8%","±0.3","75.4%","±0.6","78.1%","±0.7","80.1%","±0.7","78.6%","±0.9","81.7%","±1.3","85.0%","±0.6","83.8%","±0.8","86.1%","±1.2","80.2%","±0.6","78.9%","±1.0","81.3%","±1.0","88.5%","±0.4","87.6%","±0.6","89.3%","±0.7","81.5%","±0.5","80.4%","±0.9","82.6%","±0.8"
"    18 years and over","76.4%","±0.2","74.9%","±0.9","78.0%","±0.9","72.9%","±0.1","71.7%","±0.3","74.1%","±0.4","82.6%","±0.1","81.3%","±0.1","83.7%","±0.1","77.9%","*****","77.1%","±0.4","78.5%","±0.4","77.9%","±0.2","76.7%","±0.9","79.1%","±0.9","77.0%","±0.1","75.3%","±0.3","78.6%","±0.3","78.7%","±0.1","78.1%","±0.6","79.3%","±0.6","74.3%","±0.1","73.6%","±0.3","74.9%","±0.3","76.9%","±0.1","75.3%","±0.9","78.4%","±0.9","73.0%","±0.1","71.7%","±0.5","74.3%","±0.5","77.8%","±0.4","76.2%","±0.9","79.4%","±0.7","82.2%","±0.5","81.5%","±0.6","82.9%","±1.0","77.6%","*****","77.0%","±0.9","78.2%","±0.8","86.7%","±0.3","85.7%","±0.4","87.6%","±0.4","78.7%","*****","77.6%","±0.6","79.8%","±0.6"
"    60 years and over","23.0%","±0.9","22.2%","±1.2","23.9%","±1.3","16.3%","±0.4","14.7%","±0.6","17.8%","±0.6","13.7%","±0.3","12.1%","±0.4","15.1%","±0.4","26.1%","±0.8","23.6%","±1.1","28.4%","±1.2","25.5%","±0.8","23.1%","±1.1","27.7%","±1.1","23.8%","±0.5","22.9%","±0.8","24.6%","±0.7","27.1%","±0.9","25.5%","±1.4","28.7%","±0.9","19.0%","±0.5","17.2%","±0.7","20.7%","±0.7","23.5%","±0.8","22.0%","±1.2","25.0%","±1.1","19.9%","±0.6","19.2%","±0.8","20.6%","±0.7","23.5%","±0.9","20.8%","±1.2","26.2%","±1.2","33.1%","±0.9","30.9%","±1.2","35.2%","±1.4","24.2%","±1.0","23.1%","±1.4","25.2%","±1.4","40.4%","±1.0","38.4%","±1.2","42.1%","±1.6","26.2%","±0.8","25.2%","±1.2","27.1%","±1.2"
"    62 years and over","19.4%","±0.9","18.1%","±1.2","20.8%","±1.3","14.0%","±0.3","12.6%","±0.5","15.3%","±0.5","12.0%","±0.2","10.3%","±0.4","13.5%","±0.3","22.9%","±0.7","20.3%","±0.9","25.3%","±1.2","22.3%","±0.6","19.9%","±0.9","24.6%","±0.9","21.8%","±0.6","21.0%","±0.9","22.4%","±0.7","24.9%","±0.8","23.5%","±1.2","26.4%","±0.9","16.9%","±0.5","15.0%","±0.6","18.8%","±0.7","20.1%","±0.8","19.0%","±1.1","21.1%","±1.1","17.7%","±0.5","17.0%","±0.8","18.4%","±0.7","21.6%","±0.8","18.9%","±1.1","24.4%","±1.2","30.7%","±0.9","28.6%","±1.0","32.8%","±1.5","21.2%","±1.0","20.2%","±1.2","22.0%","±1.3","38.2%","±1.1","36.9%","±1.2","39.3%","±1.7","23.8%","±0.7","23.1%","±0.9","24.5%","±1.1"
"    65 years and over","16.2%","±0.6","15.1%","±0.8","17.4%","±0.7","11.2%","±0.2","9.7%","±0.2","12.6%","±0.2","9.6%","±0.1","8.2%","±0.1","10.9%","±0.1","18.9%","±0.1","17.0%","±0.1","20.6%","±0.1","19.2%","±0.4","17.0%","±0.5","21.3%","±0.5","17.7%","±0.3","17.1%","±0.4","18.2%","±0.3","20.4%","±0.2","18.9%","±0.3","21.8%","±0.3","13.4%","±0.2","11.9%","±0.2","14.9%","±0.3","15.9%","±0.3","14.9%","±0.5","16.9%","±0.4","13.5%","±0.2","13.0%","±0.4","13.9%","±0.2","17.3%","±0.2","15.7%","±0.4","18.9%","±0.2","25.5%","±0.4","24.1%","±0.5","26.8%","±0.6","18.3%","±0.3","17.5%","±0.7","19.0%","±0.2","33.1%","±0.5","32.5%","±0.7","33.6%","±0.7","20.0%","±0.2","19.1%","±0.3","20.7%","±0.4"
"    75 years and over","5.1%","±0.1","4.8%","±0.1","5.5%","±0.3","4.2%","±0.2","3.3%","±0.2","5.0%","±0.3","4.0%","±0.1","3.0%","±0.1","4.8%","±0.1","8.0%","±0.2","6.0%","±0.4","9.8%","±0.1","7.7%","±0.2","6.1%","±0.5","9.3%","±0.1","7.4%","±0.2","6.8%","±0.4","7.9%","±0.2","8.3%","±0.3","6.8%","±0.3","9.8%","±0.5","4.7%","±0.2","3.7%","±0.1","5.7%","±0.3","5.7%","±0.3","4.8%","±0.3","6.6%","±0.6","4.9%","±0.2","4.2%","±0.2","5.6%","±0.2","6.9%","±0.3","6.0%","±0.5","7.8%","±0.1","10.1%","±0.2","8.9%","±0.3","11.3%","±0.4","6.7%","±0.2","5.9%","±0.2","7.4%","±0.3","15.4%","±0.5","15.4%","±0.8","15.5%","±0.8","7.7%","±0.1","7.2%","±0.1","8.0%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","40.9","±0.7","41.0","±0.8","40.8","±1.2","35.0","±0.1","34.1","±0.3","36.1","±0.3","26.8","±0.2","26.3","±0.3","27.4","±0.2","42.1","±0.6","40.3","±0.7","44.1","±0.6","40.7","±1.1","39.4","±0.7","42.4","±1.6","39.5","±0.7","37.8","±1.3","40.1","±0.8","43.1","±0.8","41.5","±1.3","44.3","±0.6","38.5","±0.4","37.9","±0.5","39.0","±0.6","40.4","±0.5","40.1","±0.9","40.6","±1.4","39.8","±0.7","38.5","±0.8","40.7","±0.8","42.3","±0.7","41.3","±3.0","43.6","±1.3","48.4","±0.6","47.2","±0.6","49.5","±0.8","41.2","±0.6","40.4","±1.5","41.8","±1.2","53.0","±0.8","51.6","±0.8","54.3","±0.6","44.5","±0.5","43.7","±0.5","46.2","±1.2"
"    Sex ratio (males per 100 females)","102.4","±2.9","(X)","(X)","(X)","(X)","97.3","±1.0","(X)","(X)","(X)","(X)","90.7","±0.4","(X)","(X)","(X)","(X)","90.9","±1.1","(X)","(X)","(X)","(X)","95.8","±2.2","(X)","(X)","(X)","(X)","90.2","±1.0","(X)","(X)","(X)","(X)","96.9","±1.8","(X)","(X)","(X)","(X)","97.3","±1.0","(X)","(X)","(X)","(X)","98.0","±2.4","(X)","(X)","(X)","(X)","96.3","±1.5","(X)","(X)","(X)","(X)","100.7","±2.3","(X)","(X)","(X)","(X)","97.8","±2.9","(X)","(X)","(X)","(X)","89.9","±2.0","(X)","(X)","(X)","(X)","90.4","±2.2","(X)","(X)","(X)","(X)","94.1","±2.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.1","±1.6","(X)","(X)","(X)","(X)","62.1","±0.5","(X)","(X)","(X)","(X)","37.0","±0.2","(X)","(X)","(X)","(X)","69.5","±0.1","(X)","(X)","(X)","(X)","70.1","±1.0","(X)","(X)","(X)","(X)","68.5","±0.8","(X)","(X)","(X)","(X)","71.3","±0.7","(X)","(X)","(X)","(X)","64.4","±0.5","(X)","(X)","(X)","(X)","64.0","±0.9","(X)","(X)","(X)","(X)","68.0","±0.6","(X)","(X)","(X)","(X)","65.3","±1.1","(X)","(X)","(X)","(X)","76.2","±1.8","(X)","(X)","(X)","(X)","68.5","±0.8","(X)","(X)","(X)","(X)","86.7","±1.9","(X)","(X)","(X)","(X)","70.1","±0.5","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","27.0","±1.2","(X)","(X)","(X)","(X)","18.1","±0.3","(X)","(X)","(X)","(X)","13.1","±0.1","(X)","(X)","(X)","(X)","32.0","±0.1","(X)","(X)","(X)","(X)","32.6","±0.8","(X)","(X)","(X)","(X)","29.8","±0.6","(X)","(X)","(X)","(X)","34.9","±0.5","(X)","(X)","(X)","(X)","22.1","±0.4","(X)","(X)","(X)","(X)","26.0","±0.7","(X)","(X)","(X)","(X)","22.7","±0.4","(X)","(X)","(X)","(X)","28.6","±0.4","(X)","(X)","(X)","(X)","44.9","±1.1","(X)","(X)","(X)","(X)","30.8","±0.7","(X)","(X)","(X)","(X)","61.8","±1.5","(X)","(X)","(X)","(X)","33.9","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","39.2","±0.5","(X)","(X)","(X)","(X)","44.0","±0.2","(X)","(X)","(X)","(X)","23.9","±0.1","(X)","(X)","(X)","(X)","37.5","±0.1","(X)","(X)","(X)","(X)","37.5","±0.4","(X)","(X)","(X)","(X)","38.7","±0.3","(X)","(X)","(X)","(X)","36.4","±0.2","(X)","(X)","(X)","(X)","42.3","±0.2","(X)","(X)","(X)","(X)","37.9","±0.2","(X)","(X)","(X)","(X)","45.3","±0.3","(X)","(X)","(X)","(X)","36.7","±0.9","(X)","(X)","(X)","(X)","31.3","±1.1","(X)","(X)","(X)","(X)","37.7","±0.2","(X)","(X)","(X)","(X)","24.8","±0.8","(X)","(X)","(X)","(X)","36.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","2.3%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)"
