"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Total population","18,336","*****","9,327","±136","9,009","±136","72,012","*****","36,057","±258","35,955","±258","120,905","*****","57,448","±107","63,457","±107","19,537","*****","9,262","±70","10,275","±70","22,110","*****","10,827","±71","11,283","±71","43,527","*****","20,573","±108","22,954","±108","25,498","*****","12,615","±105","12,883","±105","61,420","*****","30,418","±182","31,002","±182","28,232","*****","13,938","±105","14,294","±105","34,400","*****","16,817","±151","17,583","±151","14,688","*****","7,296","±85","7,392","±85","16,266","*****","7,981","±117","8,285","±117","25,620","*****","12,352","±116","13,268","±116","10,800","*****","5,213","±59","5,587","±59","27,791","*****","13,527","±141","14,264","±141"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","5.4%","±0.4","5.3%","±0.6","5.4%","±0.7","7.0%","±0.3","7.5%","±0.4","6.5%","±0.5","5.7%","±0.1","6.0%","±0.1","5.6%","±0.1","6.2%","*****","6.2%","±0.3","6.2%","±0.3","5.8%","±0.2","6.4%","±0.6","5.2%","±0.5","6.0%","±0.2","6.4%","±0.5","5.5%","±0.3","5.8%","±0.4","6.2%","±0.7","5.4%","±0.6","6.7%","±0.1","7.0%","±0.1","6.4%","±0.2","5.8%","±0.3","5.4%","±0.4","6.1%","±0.6","5.2%","±0.3","5.1%","±0.4","5.4%","±0.6","5.6%","±0.4","6.3%","±0.8","4.9%","±0.6","4.5%","±0.5","4.2%","±0.6","4.7%","±0.9","5.0%","±0.7","5.3%","±0.8","4.8%","±0.8","4.3%","±0.7","5.9%","±1.3","2.8%","±0.1","4.7%","±0.2","4.5%","±0.3","4.9%","±0.5"
"    5 to 9 years","7.1%","±0.8","8.1%","±1.0","6.1%","±1.1","8.4%","±0.5","9.1%","±0.9","7.6%","±0.7","4.7%","±0.3","5.1%","±0.5","4.4%","±0.4","6.5%","±0.8","6.6%","±1.4","6.5%","±1.0","5.9%","±0.8","7.0%","±1.1","4.8%","±1.2","6.6%","±0.6","7.6%","±0.8","5.8%","±0.8","5.9%","±0.9","5.8%","±1.2","6.0%","±1.1","7.2%","±0.6","7.1%","±0.8","7.2%","±0.7","6.5%","±0.7","7.6%","±1.1","5.4%","±1.0","8.5%","±0.7","8.8%","±1.1","8.1%","±0.9","6.8%","±1.0","6.6%","±1.4","6.9%","±1.2","5.1%","±1.0","5.7%","±1.2","4.6%","±1.1","5.5%","±1.0","5.8%","±1.4","5.2%","±1.3","3.1%","±0.9","3.9%","±1.2","2.4%","±0.9","6.6%","±0.8","7.9%","±1.3","5.3%","±1.1"
"    10 to 14 years","6.8%","±1.0","7.2%","±1.2","6.5%","±1.2","7.7%","±0.5","7.9%","±0.7","7.6%","±0.6","4.5%","±0.3","4.9%","±0.5","4.2%","±0.5","5.6%","±0.9","6.1%","±1.4","5.1%","±1.0","6.6%","±0.9","6.0%","±1.2","7.2%","±1.4","6.7%","±0.6","6.6%","±0.8","6.8%","±0.8","6.2%","±0.9","6.6%","±1.3","5.8%","±1.1","8.0%","±0.6","8.4%","±0.8","7.5%","±0.7","6.7%","±0.7","6.5%","±1.1","6.9%","±1.1","8.2%","±0.6","8.6%","±1.0","7.7%","±0.9","5.9%","±0.9","6.8%","±1.3","5.1%","±1.2","4.6%","±0.9","4.7%","±1.2","4.5%","±1.0","7.8%","±1.1","8.7%","±1.9","7.0%","±1.1","4.4%","±1.0","3.8%","±1.2","5.0%","±1.1","6.1%","±0.8","5.8%","±1.2","6.3%","±1.1"
"    15 to 19 years","6.8%","±0.3","7.2%","±0.6","6.3%","±0.4","6.6%","±0.2","7.7%","±0.4","5.5%","±0.5","11.8%","±0.4","9.7%","±0.2","13.8%","±0.8","6.1%","±0.3","6.1%","±0.6","6.1%","±0.7","6.5%","±0.5","6.5%","±0.4","6.5%","±0.9","6.6%","±0.3","7.1%","±0.5","6.1%","±0.4","5.8%","±0.4","6.2%","±0.9","5.4%","±0.7","6.5%","±0.3","6.9%","±0.5","6.2%","±0.4","6.4%","±0.3","7.0%","±0.6","5.9%","±0.4","7.7%","±0.2","8.2%","±0.3","7.2%","±0.3","5.9%","±0.8","6.3%","±1.6","5.4%","±0.9","6.0%","±0.4","6.3%","±0.7","5.8%","±0.5","7.1%","±0.6","7.9%","±1.1","6.4%","±0.5","8.0%","±1.3","9.4%","±2.2","6.7%","±1.6","6.4%","±0.5","7.5%","±0.6","5.4%","±0.8"
"    20 to 24 years","6.3%","±0.5","6.3%","±0.8","6.3%","±0.8","5.8%","±0.3","5.6%","±0.6","6.0%","±0.3","19.5%","±0.4","20.8%","±0.3","18.4%","±0.8","6.3%","±0.6","6.9%","±0.9","5.7%","±0.6","6.9%","±0.3","7.1%","±0.5","6.8%","±0.5","6.6%","±0.3","6.7%","±0.4","6.5%","±0.3","6.5%","±0.8","6.8%","±1.1","6.1%","±0.7","5.5%","±0.3","5.5%","±0.3","5.5%","±0.4","6.3%","±0.4","6.3%","±0.7","6.3%","±0.5","5.6%","±0.4","5.8%","±0.6","5.3%","±0.4","4.2%","±0.7","2.9%","±1.0","5.4%","±0.8","5.6%","±0.4","6.4%","±0.4","4.9%","±0.6","7.6%","±0.6","8.2%","±1.0","7.0%","±0.7","7.0%","±1.3","5.9%","±2.0","8.1%","±1.4","6.5%","±0.4","6.1%","±0.2","7.0%","±0.8"
"    25 to 29 years","5.1%","±0.3","4.8%","±0.3","5.4%","±0.7","7.1%","±0.2","6.9%","±0.4","7.4%","±0.1","9.3%","±0.1","9.6%","±0.1","8.9%","±0.1","5.5%","±0.3","5.8%","±0.6","5.3%","±0.3","5.7%","±0.4","5.6%","±0.6","5.8%","±0.6","6.0%","±0.2","5.7%","±0.2","6.3%","±0.3","5.3%","±0.8","5.7%","±1.1","4.8%","±0.7","5.8%","±0.2","5.7%","±0.3","5.9%","±0.3","5.7%","±0.4","5.8%","±0.7","5.7%","±0.4","3.9%","±0.2","4.1%","±0.4","3.7%","±0.3","6.8%","±1.0","7.7%","±1.7","5.9%","±0.8","4.8%","±0.4","4.5%","±0.4","5.1%","±0.8","5.2%","±0.4","5.0%","±0.4","5.4%","±0.7","3.7%","±0.2","3.5%","±0.1","3.8%","±0.5","4.9%","±0.5","5.0%","±0.5","4.8%","±0.5"
"    30 to 34 years","5.7%","±0.5","5.5%","±0.6","5.9%","±0.6","7.6%","±0.4","7.7%","±0.6","7.5%","±0.2","6.9%","±0.2","7.2%","±0.4","6.7%","±0.1","5.9%","±0.6","6.5%","±1.0","5.4%","±0.3","5.7%","±0.5","6.2%","±0.8","5.2%","±0.5","5.9%","±0.3","5.8%","±0.6","6.1%","±0.3","5.7%","±0.4","6.0%","±0.8","5.4%","±0.4","6.4%","±0.1","6.4%","±0.3","6.5%","±0.1","6.5%","±0.3","6.2%","±0.5","6.6%","±0.4","5.0%","±0.3","4.8%","±0.5","5.3%","±0.3","5.8%","±0.7","5.9%","±0.9","5.7%","±0.7","5.2%","±0.5","6.0%","±1.1","4.4%","±0.5","5.2%","±0.4","5.0%","±0.5","5.4%","±0.6","3.3%","±0.1","3.2%","±0.1","3.5%","±0.2","4.8%","±0.3","4.8%","±0.4","4.7%","±0.4"
"    35 to 39 years","6.0%","±0.9","5.0%","±1.2","6.9%","±1.2","7.5%","±0.5","7.7%","±0.7","7.2%","±0.7","5.6%","±0.3","6.2%","±0.5","5.1%","±0.4","5.5%","±1.0","5.9%","±1.5","5.2%","±1.1","6.0%","±0.9","5.9%","±1.2","6.0%","±1.3","7.0%","±0.6","5.9%","±0.9","7.9%","±0.7","5.3%","±0.8","5.5%","±1.1","5.1%","±1.1","6.1%","±0.7","5.9%","±0.8","6.4%","±0.9","5.6%","±0.8","5.4%","±1.0","5.9%","±1.0","6.3%","±0.7","6.2%","±1.0","6.5%","±0.9","6.3%","±1.3","5.8%","±1.9","6.8%","±1.7","5.0%","±0.8","4.9%","±1.0","5.0%","±1.3","4.8%","±0.8","4.1%","±1.3","5.4%","±1.4","4.5%","±0.9","3.8%","±1.2","5.1%","±1.5","5.5%","±0.9","6.0%","±1.5","5.0%","±1.5"
