"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.6%","±0.4","8.7%","±0.6","8.5%","±0.8","8.1%","±0.3","8.2%","±0.6","8.0%","±0.1","29.0%","±0.1","28.1%","±0.1","29.8%","±0.1","8.4%","±0.4","9.3%","±0.9","7.5%","±0.2","9.7%","±0.3","9.9%","±0.5","9.5%","±0.5","9.3%","±0.2","9.7%","±0.4","9.0%","±0.3","8.5%","±0.8","9.1%","±1.0","7.8%","±0.7","7.9%","±0.2","8.4%","±0.3","7.5%","±0.3","8.4%","±0.5","8.5%","±0.8","8.4%","±0.5","7.9%","±0.4","8.4%","±0.6","7.5%","±0.5","6.1%","±0.9","5.5%","±1.6","6.7%","±0.8","7.7%","±0.4","8.6%","±0.5","6.8%","±0.6","10.6%","±0.7","11.6%","±0.7","9.8%","±0.9","12.4%","±0.5","12.8%","±1.0","12.0%","±0.7","8.7%","±0.3","8.9%","±0.2","8.4%","±0.5"
"    15 to 44 years","37.5%","±0.6","36.8%","±1.0","38.3%","±0.8","41.9%","±0.2","42.6%","±0.5","41.1%","±0.4","58.6%","±0.1","59.2%","±0.1","58.0%","±0.1","35.8%","±0.6","37.5%","±1.0","34.3%","±0.7","36.4%","±0.6","37.0%","±0.7","35.9%","±1.0","38.2%","±0.4","37.8%","±0.5","38.6%","±0.5","34.4%","±0.5","35.6%","±0.5","33.2%","±0.9","39.0%","±0.3","39.5%","±0.3","38.4%","±0.6","37.5%","±0.4","38.0%","±0.7","36.9%","±0.6","36.2%","±0.3","36.5%","±0.7","36.0%","±0.6","35.8%","±0.8","35.8%","±1.5","35.7%","±1.0","32.8%","±0.6","33.7%","±0.8","32.1%","±0.9","36.5%","±0.6","36.4%","±1.0","36.7%","±0.5","30.4%","±0.5","30.3%","±1.0","30.6%","±0.8","33.9%","±0.6","34.8%","±0.6","33.1%","±0.9"
"    16 years and over","79.2%","±0.5","77.5%","±1.0","80.9%","±1.1","75.6%","±0.2","73.6%","±0.5","77.7%","±0.5","84.2%","±0.2","83.3%","±0.2","85.1%","±0.2","80.2%","±0.5","80.1%","±0.6","80.3%","±0.8","80.8%","±0.5","79.9%","±0.7","81.6%","±0.8","79.4%","±0.3","78.0%","±0.5","80.7%","±0.5","81.0%","±0.4","79.9%","±0.9","82.0%","±0.5","76.9%","±0.3","76.1%","±0.4","77.6%","±0.5","79.4%","±0.4","78.5%","±0.8","80.3%","±0.7","76.7%","±0.4","75.7%","±0.8","77.6%","±0.6","80.2%","±0.8","78.8%","±1.3","81.6%","±0.9","84.8%","±0.5","84.0%","±0.8","85.6%","±1.1","79.9%","±0.6","78.0%","±1.1","81.7%","±1.0","87.5%","±0.8","85.7%","±1.4","89.1%","±0.9","81.2%","±0.7","80.5%","±0.9","81.9%","±1.2"
"    18 years and over","76.2%","±0.2","74.6%","±0.9","77.9%","±1.0","72.6%","±0.1","70.4%","±0.4","74.9%","±0.5","82.6%","±0.1","81.6%","±0.1","83.5%","±0.1","77.7%","*****","77.4%","±0.5","78.0%","±0.4","78.0%","±0.1","77.0%","±0.6","79.1%","±0.5","76.9%","±0.1","75.3%","±0.4","78.3%","±0.3","78.3%","*****","77.5%","±0.6","79.2%","±0.6","74.1%","±0.1","73.4%","±0.3","74.8%","±0.3","76.7%","±0.1","75.7%","±0.6","77.7%","±0.6","72.9%","±0.1","71.9%","±0.5","73.8%","±0.5","77.7%","±0.6","76.5%","±1.1","78.9%","±0.7","81.8%","±0.4","81.2%","±0.7","82.3%","±0.9","77.6%","*****","75.7%","±0.7","79.4%","±0.7","85.5%","±0.8","83.9%","±1.3","87.0%","±0.6","78.3%","*****","77.1%","±0.7","79.5%","±0.7"
"    60 years and over","22.4%","±0.9","21.6%","±1.3","23.2%","±1.3","15.8%","±0.4","14.0%","±0.6","17.6%","±0.6","13.3%","±0.3","11.8%","±0.4","14.5%","±0.4","25.8%","±0.9","23.4%","±1.2","28.0%","±1.2","24.9%","±0.8","22.2%","±1.2","27.5%","±1.1","23.2%","±0.6","22.3%","±0.9","24.0%","±0.8","26.5%","±1.1","24.6%","±1.5","28.4%","±1.2","18.4%","±0.5","16.4%","±0.8","20.4%","±0.7","22.8%","±0.7","20.7%","±1.1","24.9%","±1.0","19.2%","±0.7","18.5%","±1.0","19.9%","±0.8","23.2%","±0.8","21.1%","±1.3","25.2%","±0.9","32.4%","±1.0","30.7%","±1.4","34.0%","±1.4","23.9%","±0.8","22.2%","±1.2","25.4%","±1.1","39.6%","±1.3","36.9%","±1.8","42.2%","±1.6","25.8%","±1.1","24.6%","±1.5","26.9%","±1.6"
"    62 years and over","18.8%","±0.8","17.7%","±1.3","20.0%","±1.0","13.5%","±0.3","12.0%","±0.5","15.0%","±0.5","11.6%","±0.3","10.2%","±0.3","12.9%","±0.4","22.7%","±0.8","20.5%","±1.0","24.6%","±1.2","21.9%","±0.7","19.3%","±0.9","24.4%","±1.0","21.0%","±0.5","20.0%","±0.8","21.9%","±0.6","23.9%","±0.8","21.8%","±1.0","26.0%","±1.0","16.4%","±0.5","14.8%","±0.8","18.1%","±0.7","19.6%","±0.7","17.9%","±1.1","21.3%","±1.0","16.6%","±0.6","15.9%","±0.8","17.4%","±0.8","20.9%","±0.7","19.0%","±1.0","22.9%","±1.1","29.8%","±0.9","28.0%","±1.2","31.5%","±1.5","21.0%","±0.8","19.5%","±1.1","22.3%","±1.0","37.0%","±1.1","35.0%","±1.8","39.0%","±1.5","23.5%","±0.9","22.5%","±1.1","24.4%","±1.3"
"    65 years and over","15.5%","±0.5","14.6%","±0.9","16.4%","±0.6","10.9%","±0.2","9.1%","±0.2","12.6%","±0.3","9.3%","±0.1","7.9%","±0.2","10.5%","±0.2","18.4%","±0.1","16.5%","±0.1","20.1%","±0.1","18.5%","±0.3","16.3%","±0.5","20.6%","±0.4","17.1%","±0.3","16.5%","±0.4","17.6%","±0.3","19.9%","±0.1","18.1%","±0.2","21.8%","±0.2","13.0%","±0.2","11.5%","±0.3","14.4%","±0.3","15.4%","±0.4","14.2%","±0.6","16.6%","±0.4","13.0%","±0.2","12.3%","±0.3","13.6%","±0.3","16.8%","±0.2","15.5%","±0.4","18.2%","±0.2","24.5%","±0.5","23.2%","±0.5","25.8%","±0.7","17.7%","±0.2","16.4%","±0.4","19.0%","±0.2","31.8%","±0.7","31.0%","±1.1","32.6%","±0.5","19.7%","±0.4","18.7%","±0.4","20.6%","±0.6"
"    75 years and over","4.9%","±0.1","4.5%","±0.1","5.3%","±0.3","4.0%","±0.1","3.1%","±0.2","5.0%","±0.2","3.9%","±0.1","3.0%","±0.1","4.7%","±0.1","7.9%","±0.2","5.9%","±0.5","9.7%","±0.1","7.7%","±0.2","6.0%","±0.4","9.3%","±0.1","7.2%","±0.2","6.6%","±0.3","7.8%","±0.3","8.1%","±0.2","6.5%","±0.3","9.7%","±0.4","4.6%","±0.2","3.6%","±0.2","5.6%","±0.3","5.6%","±0.4","4.6%","±0.4","6.6%","±0.6","4.8%","±0.1","4.1%","±0.2","5.4%","±0.2","6.6%","±0.2","5.9%","±0.4","7.4%","±0.1","9.9%","±0.2","8.6%","±0.3","11.0%","±0.5","6.8%","±0.2","5.6%","±0.2","7.9%","±0.4","14.6%","±0.6","14.5%","±1.1","14.6%","±0.3","7.7%","±0.3","7.2%","±0.3","8.1%","±0.3"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","40.4","±0.5","40.3","±1.2","40.5","±0.8","34.8","±0.2","32.9","±0.4","36.2","±0.5","26.5","±0.1","26.2","±0.3","26.7","±0.2","41.3","±0.8","39.9","±1.4","42.9","±1.0","40.9","±0.8","39.6","±0.8","42.8","±1.5","38.8","±0.5","38.1","±0.8","39.3","±0.7","43.2","±0.5","40.8","±0.8","44.7","±0.7","38.3","±0.5","37.5","±0.9","38.9","±0.7","40.2","±0.4","39.6","±1.3","40.6","±0.5","39.7","±0.5","38.5","±0.7","40.6","±0.8","42.4","±1.1","41.4","±1.5","43.3","±1.0","47.8","±0.7","47.1","±0.7","48.7","±0.9","41.2","±0.6","40.0","±1.4","42.2","±1.0","52.4","±0.7","50.7","±1.3","54.0","±0.6","43.9","±0.6","42.9","±1.5","46.1","±1.7"
"    Sex ratio (males per 100 females)","103.5","±3.1","(X)","(X)","(X)","(X)","100.3","±1.4","(X)","(X)","(X)","(X)","90.5","±0.3","(X)","(X)","(X)","(X)","90.1","±1.3","(X)","(X)","(X)","(X)","96.0","±1.2","(X)","(X)","(X)","(X)","89.6","±0.9","(X)","(X)","(X)","(X)","97.9","±1.6","(X)","(X)","(X)","(X)","98.1","±1.2","(X)","(X)","(X)","(X)","97.5","±1.5","(X)","(X)","(X)","(X)","95.6","±1.7","(X)","(X)","(X)","(X)","98.7","±2.3","(X)","(X)","(X)","(X)","96.3","±2.8","(X)","(X)","(X)","(X)","93.1","±1.7","(X)","(X)","(X)","(X)","93.3","±2.0","(X)","(X)","(X)","(X)","94.8","±1.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.6","±1.6","(X)","(X)","(X)","(X)","61.9","±0.5","(X)","(X)","(X)","(X)","36.3","±0.2","(X)","(X)","(X)","(X)","68.6","±0.1","(X)","(X)","(X)","(X)","68.0","±1.0","(X)","(X)","(X)","(X)","67.3","±0.8","(X)","(X)","(X)","(X)","71.2","±0.2","(X)","(X)","(X)","(X)","63.6","±0.6","(X)","(X)","(X)","(X)","63.1","±0.9","(X)","(X)","(X)","(X)","67.0","±0.7","(X)","(X)","(X)","(X)","64.3","±1.7","(X)","(X)","(X)","(X)","74.6","±1.8","(X)","(X)","(X)","(X)","67.0","±0.6","(X)","(X)","(X)","(X)","86.3","±2.4","(X)","(X)","(X)","(X)","70.4","±1.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","25.5","±1.1","(X)","(X)","(X)","(X)","17.6","±0.4","(X)","(X)","(X)","(X)","12.6","±0.2","(X)","(X)","(X)","(X)","31.0","±0.1","(X)","(X)","(X)","(X)","31.1","±0.7","(X)","(X)","(X)","(X)","28.6","±0.6","(X)","(X)","(X)","(X)","34.1","±0.2","(X)","(X)","(X)","(X)","21.2","±0.4","(X)","(X)","(X)","(X)","25.1","±0.7","(X)","(X)","(X)","(X)","21.7","±0.5","(X)","(X)","(X)","(X)","27.7","±0.5","(X)","(X)","(X)","(X)","42.8","±1.2","(X)","(X)","(X)","(X)","29.6","±0.4","(X)","(X)","(X)","(X)","59.3","±1.6","(X)","(X)","(X)","(X)","33.5","±0.9","(X)","(X)","(X)","(X)"
"    Child dependency ratio","39.2","±0.7","(X)","(X)","(X)","(X)","44.3","±0.2","(X)","(X)","(X)","(X)","23.7","±0.1","(X)","(X)","(X)","(X)","37.6","±0.1","(X)","(X)","(X)","(X)","36.9","±0.4","(X)","(X)","(X)","(X)","38.7","±0.2","(X)","(X)","(X)","(X)","37.1","±0.1","(X)","(X)","(X)","(X)","42.4","±0.2","(X)","(X)","(X)","(X)","38.0","±0.2","(X)","(X)","(X)","(X)","45.3","±0.3","(X)","(X)","(X)","(X)","36.6","±1.4","(X)","(X)","(X)","(X)","31.8","±0.9","(X)","(X)","(X)","(X)","37.4","±0.1","(X)","(X)","(X)","(X)","27.0","±1.7","(X)","(X)","(X)","(X)","36.9","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)"
