"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Total population","18,333","*****","9,407","±136","8,926","±136","69,933","*****","34,701","±198","35,232","±198","118,864","*****","56,488","±150","62,376","±150","19,907","*****","9,490","±81","10,417","±81","21,998","*****","10,861","±92","11,137","±92","43,181","*****","20,270","±114","22,911","±114","25,348","*****","12,588","±142","12,760","±142","60,577","*****","30,034","±141","30,543","±141","28,044","*****","13,793","±122","14,251","±122","33,240","*****","16,375","±143","16,865","±143","14,730","*****","7,355","±128","7,375","±128","16,271","*****","8,023","±131","8,248","±131","25,910","*****","12,243","±178","13,667","±178","10,551","*****","5,070","±64","5,481","±64","27,400","*****","13,552","±165","13,848","±165"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.1%","±0.4","6.6%","±0.8","5.6%","±0.6","7.5%","±0.3","7.9%","±0.4","7.2%","±0.3","5.9%","±0.1","6.3%","±0.1","5.6%","±0.1","6.3%","±0.2","6.1%","±0.3","6.5%","±0.4","5.6%","±0.4","5.8%","±0.4","5.4%","±0.6","6.1%","±0.2","6.4%","±0.1","5.8%","±0.3","6.2%","±0.4","6.5%","±1.0","5.9%","±1.0","7.1%","±0.1","7.3%","±0.1","6.9%","±0.2","6.0%","±0.6","5.6%","±0.6","6.5%","±1.1","5.6%","±0.4","5.6%","±0.5","5.6%","±0.6","5.5%","±0.3","5.7%","±0.8","5.2%","±0.7","4.7%","±0.4","4.5%","±0.9","4.9%","±0.8","6.0%","*****","5.7%","±0.8","6.3%","±0.7","3.9%","±0.6","5.0%","±1.2","2.8%","±0.1","5.4%","±0.3","5.8%","±0.6","4.9%","±0.4"
"    5 to 9 years","6.6%","±1.0","7.3%","±1.3","5.9%","±1.3","8.6%","±0.6","9.3%","±0.8","7.9%","±0.7","4.9%","±0.3","5.2%","±0.5","4.6%","±0.5","6.2%","±0.9","5.4%","±1.4","7.0%","±1.3","6.6%","±0.7","7.4%","±1.1","5.8%","±1.4","6.5%","±0.6","7.3%","±1.1","5.7%","±0.9","6.3%","±0.9","6.8%","±1.5","5.9%","±1.1","6.9%","±0.6","7.0%","±0.8","6.8%","±0.8","6.6%","±0.7","8.6%","±1.1","4.7%","±1.0","7.9%","±0.8","7.2%","±1.3","8.6%","±1.0","6.5%","±1.4","6.1%","±1.6","6.9%","±1.9","4.7%","±0.9","5.7%","±1.4","3.8%","±1.0","5.4%","±1.0","6.8%","±1.3","4.3%","±1.2","3.8%","±1.1","4.9%","±1.7","2.8%","±1.1","6.0%","±1.1","7.1%","±1.5","5.0%","±1.3"
"    10 to 14 years","7.5%","±1.1","7.8%","±1.3","7.2%","±1.4","7.5%","±0.6","8.0%","±0.9","7.1%","±0.7","4.2%","±0.3","4.6%","±0.5","3.9%","±0.5","6.2%","±0.9","7.7%","±1.4","4.7%","±1.2","6.5%","±0.8","6.6%","±1.3","6.4%","±1.4","6.9%","±0.7","7.0%","±1.1","6.8%","±1.0","5.6%","±0.9","5.3%","±1.5","5.8%","±1.0","8.0%","±0.6","8.3%","±0.8","7.6%","±0.9","7.2%","±0.9","6.0%","±1.1","8.3%","±1.3","8.7%","±0.8","10.8%","±1.3","6.6%","±0.9","6.4%","±1.3","7.5%","±1.5","5.3%","±1.7","5.9%","±1.0","5.9%","±1.4","5.9%","±1.2","7.1%","±1.0","7.0%","±1.4","7.3%","±1.2","4.6%","±1.0","4.5%","±1.4","4.7%","±1.2","6.8%","±1.0","6.6%","±1.3","7.0%","±1.3"
"    15 to 19 years","7.0%","±0.5","7.1%","±0.6","7.0%","±0.8","6.5%","±0.2","7.2%","±0.5","5.9%","±0.5","10.9%","±0.3","9.8%","±0.4","11.9%","±0.4","6.5%","±0.4","6.9%","±0.6","6.0%","±0.8","6.4%","±0.4","6.7%","±0.6","6.1%","±0.4","6.9%","±0.3","7.1%","±0.3","6.7%","±0.6","6.2%","±0.5","6.6%","±0.8","5.8%","±0.9","6.8%","±0.2","7.4%","±0.4","6.2%","±0.3","6.5%","±0.3","6.8%","±0.4","6.2%","±0.4","7.9%","±0.2","8.7%","±0.4","7.2%","±0.3","7.4%","±1.0","7.8%","±1.5","6.9%","±1.4","6.2%","±0.4","6.1%","±0.6","6.3%","±0.8","8.0%","±0.7","7.4%","±0.8","8.5%","±1.1","8.1%","±1.2","9.3%","±1.9","7.0%","±1.5","6.7%","±0.2","7.0%","±0.4","6.5%","±0.4"
"    20 to 24 years","5.9%","±0.4","6.0%","±0.6","5.8%","±0.4","5.8%","±0.3","5.9%","±0.4","5.7%","±0.5","21.4%","±0.3","21.1%","±0.3","21.7%","±0.4","6.2%","±0.4","6.8%","±0.7","5.7%","±0.4","6.4%","±0.3","6.1%","±0.5","6.6%","±0.4","6.4%","±0.4","6.0%","±0.6","6.7%","±0.4","6.4%","±0.6","7.4%","±0.8","5.3%","±0.8","5.5%","±0.2","5.7%","±0.3","5.2%","±0.3","5.5%","±0.3","5.6%","±0.5","5.5%","±0.4","5.0%","±0.4","4.9%","±0.4","5.1%","±0.7","6.0%","±0.9","6.6%","±1.3","5.5%","±1.0","5.0%","±0.5","5.7%","±0.7","4.4%","±0.5","6.9%","±0.8","7.5%","±0.8","6.3%","±1.2","5.6%","±1.1","4.3%","±1.8","6.8%","±1.1","5.9%","±0.4","6.2%","±0.6","5.6%","±0.4"
"    25 to 29 years","4.9%","±0.2","4.9%","±0.4","4.9%","±0.2","7.5%","±0.2","7.2%","±0.3","7.8%","±0.3","9.5%","±0.1","10.1%","±0.1","9.0%","±0.1","5.1%","±0.4","4.8%","±0.7","5.5%","±0.4","5.5%","±0.5","6.0%","±0.8","5.0%","±0.4","6.3%","±0.2","6.6%","±0.5","6.0%","±0.1","5.0%","±0.6","5.3%","±0.7","4.8%","±0.7","6.1%","±0.2","5.8%","±0.2","6.3%","±0.4","6.1%","±0.4","6.0%","±0.7","6.1%","±0.6","4.2%","±0.3","4.3%","±0.4","4.0%","±0.4","5.0%","±0.5","4.9%","±1.0","5.0%","±0.4","5.1%","±0.6","5.1%","±0.8","5.2%","±0.9","5.4%","±0.5","5.7%","±0.8","5.1%","±0.5","3.5%","±0.3","3.4%","±0.1","3.7%","±0.5","4.7%","±0.4","4.7%","±0.5","4.6%","±0.3"
"    30 to 34 years","6.5%","±0.6","6.3%","±0.9","6.8%","±0.6","7.7%","±0.2","7.8%","±0.4","7.7%","±0.1","7.2%","±0.1","7.8%","±0.1","6.7%","±0.1","6.0%","±0.8","6.5%","±1.6","5.6%","±0.3","6.2%","±0.7","6.2%","±0.9","6.3%","±0.8","6.2%","±0.4","6.0%","±0.7","6.3%","±0.3","5.7%","±0.5","6.3%","±1.0","5.1%","±0.1","6.6%","±0.3","6.6%","±0.5","6.7%","±0.3","6.1%","±0.4","6.3%","±0.7","6.0%","±0.5","5.1%","±0.4","4.8%","±0.4","5.5%","±0.5","5.9%","±0.9","5.5%","±0.8","6.2%","±1.5","5.5%","±0.7","6.3%","±1.0","4.8%","±0.8","4.6%","±0.3","4.8%","±0.4","4.5%","±0.3","3.6%","±0.2","3.6%","±0.3","3.6%","±0.2","4.9%","±0.2","5.1%","±0.3","4.8%","±0.3"
"    35 to 39 years","6.6%","±1.1","6.6%","±1.4","6.6%","±1.2","7.6%","±0.6","7.4%","±0.8","7.7%","±0.7","5.5%","±0.3","5.8%","±0.5","5.3%","±0.5","5.4%","±1.2","5.6%","±2.0","5.2%","±1.3","6.6%","±1.0","7.1%","±1.5","6.1%","±1.2","6.4%","±0.7","5.6%","±1.0","7.1%","±0.8","4.6%","±0.9","4.6%","±1.1","4.6%","±1.2","6.4%","±0.6","6.4%","±0.9","6.4%","±0.9","6.7%","±0.9","6.5%","±1.3","6.8%","±1.2","7.0%","±0.7","6.6%","±1.0","7.4%","±1.1","5.7%","±1.3","5.9%","±1.7","5.5%","±1.8","5.8%","±0.8","4.6%","±1.2","6.9%","±1.2","5.2%","±0.8","5.6%","±1.4","4.9%","±1.3","4.9%","±1.1","4.4%","±1.5","5.4%","±1.4","6.0%","±0.9","7.5%","±1.4","4.6%","±1.3"
