"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.5%","±0.4","8.5%","±0.5","8.5%","±0.5","8.2%","±0.2","8.4%","±0.3","7.9%","±0.3","29.9%","±0.1","28.4%","±0.1","31.3%","±0.1","8.5%","±0.3","9.5%","±0.7","7.6%","±0.1","9.4%","±0.4","9.3%","±0.8","9.5%","±0.3","9.1%","±0.4","8.9%","±0.6","9.4%","±0.4","8.6%","±0.6","9.4%","±0.7","7.8%","±0.6","8.0%","±0.2","8.5%","±0.3","7.5%","±0.3","7.8%","±0.4","7.9%","±0.6","7.8%","±0.4","7.4%","±0.5","7.6%","±0.5","7.2%","±0.7","8.4%","±0.7","9.1%","±1.2","7.6%","±0.5","6.8%","±0.5","7.6%","±0.7","6.0%","±0.5","10.9%","±0.9","10.7%","±1.0","11.0%","±1.2","11.1%","±0.6","11.0%","±0.7","11.1%","±0.9","8.6%","±0.4","8.9%","±0.7","8.2%","±0.4"
"    15 to 44 years","38.6%","±0.5","38.5%","±1.0","38.7%","±0.7","42.6%","±0.2","43.3%","±0.4","42.0%","±0.4","59.4%","±0.1","59.9%","±0.2","59.0%","±0.2","36.4%","±0.5","37.8%","±0.6","35.0%","±0.7","36.6%","±0.7","37.7%","±0.9","35.5%","±1.0","38.5%","±0.4","38.3%","±0.5","38.8%","±0.6","34.7%","±0.3","36.7%","±0.6","32.8%","±0.6","39.6%","±0.3","40.4%","±0.4","38.9%","±0.5","37.5%","±0.4","37.8%","±0.8","37.1%","±0.5","37.0%","±0.5","36.9%","±0.7","37.2%","±0.8","36.4%","±1.2","37.2%","±1.5","35.6%","±1.5","33.2%","±0.7","34.2%","±0.8","32.3%","±1.1","36.5%","±0.8","37.2%","±1.0","35.9%","±1.1","30.5%","±1.0","30.5%","±1.4","30.6%","±0.9","34.6%","±0.5","35.7%","±1.1","33.6%","±0.5"
"    16 years and over","78.5%","±0.6","77.0%","±0.8","80.0%","±1.0","75.2%","±0.3","73.4%","±0.4","76.9%","±0.5","84.0%","±0.2","83.0%","±0.3","85.0%","±0.2","79.6%","±0.6","79.2%","±0.8","79.9%","±0.9","80.4%","±0.5","79.3%","±0.9","81.5%","±0.8","79.5%","±0.4","78.0%","±0.5","80.7%","±0.6","80.7%","±0.4","80.0%","±0.9","81.4%","±1.0","76.8%","±0.3","76.2%","±0.4","77.4%","±0.4","78.9%","±0.4","78.3%","±0.8","79.5%","±0.8","76.1%","±0.3","74.3%","±0.8","77.9%","±0.7","79.8%","±0.9","78.6%","±1.5","81.0%","±1.6","83.4%","±0.7","82.2%","±1.3","84.4%","±1.0","80.2%","±0.6","78.8%","±1.2","81.4%","±0.9","87.4%","±0.9","85.4%","±1.6","89.3%","±0.4","80.5%","±0.7","79.0%","±1.1","81.9%","±1.0"
"    18 years and over","75.4%","±0.5","73.8%","±0.8","77.1%","±0.7","72.2%","±0.1","70.2%","±0.4","74.1%","±0.4","82.5%","±0.1","81.3%","±0.2","83.6%","±0.2","77.2%","*****","76.5%","±0.6","77.8%","±0.5","78.0%","±0.1","76.6%","±0.7","79.3%","±0.7","76.4%","±0.1","75.1%","±0.3","77.6%","±0.2","77.9%","*****","76.8%","±0.8","79.1%","±0.8","73.7%","*****","72.8%","±0.3","74.7%","±0.3","76.0%","±0.1","75.4%","±0.8","76.5%","±0.7","72.4%","±0.1","70.5%","±0.5","74.1%","±0.6","76.6%","±0.4","75.5%","±1.5","77.7%","±1.2","80.3%","±0.6","79.8%","±1.0","80.8%","±1.0","77.4%","*****","76.3%","±0.7","78.5%","±0.7","85.0%","±0.8","82.9%","±1.6","87.0%","±0.2","77.8%","±0.3","76.2%","±0.9","79.2%","±0.5"
"    60 years and over","20.6%","±1.1","18.7%","±1.5","22.5%","±1.3","14.7%","±0.4","12.6%","±0.5","16.7%","±0.6","12.5%","±0.3","10.9%","±0.4","13.9%","±0.5","24.6%","±1.0","22.5%","±1.4","26.5%","±1.2","24.0%","±1.0","21.0%","±1.3","26.9%","±1.2","22.0%","±0.6","21.5%","±0.9","22.4%","±0.7","25.8%","±1.1","23.2%","±1.2","28.3%","±1.3","17.7%","±0.6","15.6%","±0.7","19.8%","±0.8","21.0%","±0.8","18.9%","±1.2","23.0%","±1.1","17.3%","±0.6","16.6%","±0.8","18.1%","±0.7","22.0%","±1.0","20.1%","±1.6","24.0%","±1.3","30.4%","±1.3","28.9%","±1.6","32.0%","±1.9","23.9%","±0.8","23.3%","±1.2","24.4%","±1.1","38.5%","±1.0","34.8%","±1.3","41.8%","±1.5","24.8%","±1.0","23.8%","±1.4","25.8%","±1.6"
"    62 years and over","17.2%","±1.0","15.8%","±1.4","18.7%","±1.2","12.5%","±0.4","10.7%","±0.5","14.2%","±0.5","10.8%","±0.3","9.3%","±0.4","12.2%","±0.3","21.1%","±0.9","19.3%","±1.2","22.7%","±1.2","20.9%","±0.9","18.8%","±1.2","23.0%","±1.0","19.6%","±0.5","19.1%","±0.8","20.1%","±0.6","23.5%","±1.0","20.4%","±1.2","26.5%","±1.2","15.2%","±0.5","13.8%","±0.6","16.6%","±0.6","18.2%","±0.8","16.6%","±1.1","19.8%","±1.0","15.0%","±0.6","14.4%","±0.7","15.6%","±0.7","19.2%","±0.9","17.1%","±1.2","21.2%","±1.4","27.6%","±1.2","25.8%","±1.4","29.4%","±1.7","21.1%","±0.9","20.3%","±1.5","21.7%","±1.0","35.8%","±0.9","32.5%","±1.2","38.7%","±1.6","21.5%","±0.8","20.1%","±0.9","22.9%","±1.3"
"    65 years and over","13.7%","±0.6","12.8%","±1.0","14.7%","±0.5","9.9%","±0.1","8.2%","±0.1","11.5%","±0.2","8.8%","±0.1","7.3%","±0.1","10.0%","±0.1","17.3%","±0.1","15.3%","±0.1","19.2%","±0.1","17.5%","±0.4","15.1%","±0.6","19.8%","±0.5","15.8%","±0.1","15.2%","±0.3","16.3%","±0.2","18.8%","±0.2","16.6%","±0.3","21.0%","±0.2","12.1%","±0.1","10.7%","±0.2","13.5%","±0.2","14.3%","±0.3","13.4%","±0.5","15.3%","±0.4","11.7%","±0.3","10.8%","±0.4","12.6%","±0.3","15.2%","±0.3","13.8%","±0.6","16.6%","±0.3","22.4%","±0.3","20.9%","±0.4","23.9%","±0.5","17.0%","*****","15.6%","±0.2","18.2%","±0.2","29.9%","±0.2","28.5%","±0.5","31.2%","±0.6","18.3%","±0.3","17.0%","±0.4","19.6%","±0.4"
"    75 years and over","4.6%","±0.1","4.0%","±0.1","5.2%","±0.3","3.9%","±0.1","2.9%","±0.2","4.8%","±0.2","3.9%","±0.1","3.0%","±0.1","4.7%","±0.1","7.7%","±0.2","5.7%","±0.5","9.5%","±0.1","7.5%","±0.3","5.8%","±0.5","9.1%","±0.1","6.8%","±0.1","6.1%","±0.2","7.4%","±0.2","7.6%","±0.3","5.9%","±0.3","9.3%","±0.5","4.4%","±0.2","3.6%","±0.2","5.3%","±0.2","5.4%","±0.3","4.0%","±0.2","6.7%","±0.5","4.5%","±0.1","3.6%","±0.2","5.4%","±0.2","5.4%","±0.3","4.9%","±0.6","5.9%","±0.4","9.1%","±0.2","7.7%","±0.1","10.5%","±0.4","6.9%","±0.2","5.6%","±0.3","8.1%","±0.4","13.3%","±0.2","12.4%","±0.4","14.2%","±0.4","7.3%","±0.3","6.6%","±0.3","8.0%","±0.3"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","38.8","±0.9","38.0","±0.9","40.1","±1.0","34.2","±0.2","32.4","±0.6","35.4","±0.3","26.2","±0.2","26.0","±0.3","26.3","±0.2","41.5","±0.7","40.2","±2.5","42.3","±1.1","40.2","±1.0","39.2","±0.5","42.5","±1.2","38.7","±0.6","38.1","±0.9","39.1","±0.6","42.9","±0.5","40.9","±0.8","44.6","±0.6","37.5","±0.5","36.4","±0.6","38.4","±0.5","39.1","±0.8","38.6","±0.8","39.9","±1.1","39.1","±0.5","38.1","±0.6","40.0","±0.8","41.9","±1.0","40.0","±2.8","43.3","±1.1","46.4","±1.5","44.8","±0.8","48.1","±1.8","40.7","±0.7","39.8","±1.0","41.8","±1.7","51.7","±0.6","49.0","±0.8","52.9","±0.8","43.0","±0.9","40.2","±1.4","44.7","±0.5"
"    Sex ratio (males per 100 females)","105.4","±3.1","(X)","(X)","(X)","(X)","98.5","±1.1","(X)","(X)","(X)","(X)","90.6","±0.5","(X)","(X)","(X)","(X)","91.1","±1.5","(X)","(X)","(X)","(X)","97.5","±1.6","(X)","(X)","(X)","(X)","88.5","±0.9","(X)","(X)","(X)","(X)","98.7","±2.2","(X)","(X)","(X)","(X)","98.3","±0.9","(X)","(X)","(X)","(X)","96.8","±1.7","(X)","(X)","(X)","(X)","97.1","±1.7","(X)","(X)","(X)","(X)","99.7","±3.5","(X)","(X)","(X)","(X)","97.3","±3.1","(X)","(X)","(X)","(X)","89.6","±2.5","(X)","(X)","(X)","(X)","92.5","±2.3","(X)","(X)","(X)","(X)","97.9","±2.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.3","±2.1","(X)","(X)","(X)","(X)","60.5","±0.4","(X)","(X)","(X)","(X)","35.6","±0.2","(X)","(X)","(X)","(X)","67.1","±0.1","(X)","(X)","(X)","(X)","65.3","±1.2","(X)","(X)","(X)","(X)","64.9","±0.4","(X)","(X)","(X)","(X)","69.3","±0.5","(X)","(X)","(X)","(X)","62.2","±0.4","(X)","(X)","(X)","(X)","62.3","±0.7","(X)","(X)","(X)","(X)","64.9","±0.7","(X)","(X)","(X)","(X)","62.8","±1.2","(X)","(X)","(X)","(X)","72.7","±1.7","(X)","(X)","(X)","(X)","65.4","*****","(X)","(X)","(X)","(X)","81.4","±3.0","(X)","(X)","(X)","(X)","68.3","±1.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","22.3","±1.3","(X)","(X)","(X)","(X)","15.8","±0.3","(X)","(X)","(X)","(X)","11.9","±0.1","(X)","(X)","(X)","(X)","29.0","±0.1","(X)","(X)","(X)","(X)","28.9","±0.9","(X)","(X)","(X)","(X)","26.0","±0.3","(X)","(X)","(X)","(X)","31.9","±0.4","(X)","(X)","(X)","(X)","19.6","±0.3","(X)","(X)","(X)","(X)","23.3","±0.5","(X)","(X)","(X)","(X)","19.3","±0.5","(X)","(X)","(X)","(X)","24.7","±0.5","(X)","(X)","(X)","(X)","38.7","±0.7","(X)","(X)","(X)","(X)","28.0","*****","(X)","(X)","(X)","(X)","54.3","±1.1","(X)","(X)","(X)","(X)","30.9","±0.7","(X)","(X)","(X)","(X)"
"    Child dependency ratio","40.0","±1.1","(X)","(X)","(X)","(X)","44.6","±0.2","(X)","(X)","(X)","(X)","23.7","±0.1","(X)","(X)","(X)","(X)","38.2","±0.1","(X)","(X)","(X)","(X)","36.4","±0.4","(X)","(X)","(X)","(X)","38.9","±0.1","(X)","(X)","(X)","(X)","37.4","±0.1","(X)","(X)","(X)","(X)","42.6","±0.1","(X)","(X)","(X)","(X)","39.0","±0.3","(X)","(X)","(X)","(X)","45.6","±0.3","(X)","(X)","(X)","(X)","38.1","±0.9","(X)","(X)","(X)","(X)","34.0","±1.3","(X)","(X)","(X)","(X)","37.3","*****","(X)","(X)","(X)","(X)","27.1","±1.9","(X)","(X)","(X)","(X)","37.4","±0.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.4%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)"
