"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    5 to 14 years","15.0%","±0.6","15.6%","±0.7","14.3%","±1.0","15.8%","±0.5","17.3%","±0.7","14.3%","±0.6","8.9%","±0.1","9.6%","±0.1","8.3%","±0.1","13.0%","±0.2","13.8%","±0.4","12.2%","±0.4","12.5%","±0.6","13.4%","±0.8","11.7%","±0.8","12.8%","±0.2","13.5%","±0.3","12.2%","±0.4","11.9%","±0.1","12.6%","±0.2","11.3%","±0.3","14.2%","±0.3","14.4%","±0.5","14.1%","±0.5","13.9%","±0.4","14.8%","±1.0","13.0%","±0.6","16.7%","±0.5","18.2%","±0.8","15.2%","±0.4","14.4%","±0.7","14.8%","±0.8","13.9%","±1.0","11.5%","±0.5","12.6%","±0.8","10.4%","±0.4","13.5%","±0.6","14.6%","±1.4","12.6%","±1.0","9.0%","±0.4","9.7%","±0.8","8.3%","±0.1","12.0%","±0.4","12.6%","±0.5","11.5%","±0.4"
"    15 to 17 years","4.3%","±0.3","4.3%","±0.2","4.3%","±0.6","4.4%","±0.3","4.9%","±0.7","4.0%","±0.4","2.6%","±0.1","2.6%","±0.2","2.7%","±0.1","4.5%","±0.3","4.6%","±0.4","4.3%","±0.4","4.0%","±0.4","4.3%","±0.6","3.7%","±0.5","4.4%","±0.3","4.3%","±0.3","4.5%","±0.6","4.2%","±0.3","4.7%","±1.0","3.8%","±0.7","4.5%","±0.3","5.1%","±0.6","3.9%","±0.3","4.6%","±0.3","4.8%","±0.5","4.5%","±0.3","5.8%","±0.5","6.6%","±0.7","5.1%","±0.5","4.9%","±0.7","5.2%","±0.9","4.7%","±0.8","4.1%","±0.4","3.9%","±0.5","4.2%","±0.8","4.0%","±0.1","3.9%","±0.3","4.1%","±0.3","3.0%","±0.1","2.6%","±1.2","3.4%","±1.1","3.9%","±0.2","4.0%","±0.2","3.8%","±0.3"
"    18 to 24 years","8.2%","±0.3","8.3%","±0.4","8.1%","±0.4","8.1%","±0.3","8.4%","±0.4","7.7%","±0.6","31.1%","±0.1","29.8%","±0.1","32.3%","±0.1","9.7%","±0.8","10.6%","±1.2","8.9%","±1.2","10.2%","±0.5","10.6%","±0.9","9.8%","±0.5","9.0%","±0.5","8.9%","±0.3","9.1%","±0.8","7.6%","±0.6","8.2%","±0.5","7.0%","±1.0","8.4%","±0.6","9.4%","±0.9","7.4%","±0.5","7.8%","±0.4","7.7%","±0.7","7.9%","±0.3","7.7%","±0.5","7.7%","±0.7","7.6%","±0.9","7.7%","±0.7","8.8%","±1.0","6.5%","±0.9","6.4%","±0.4","7.0%","±0.5","5.9%","±0.5","9.7%","±0.3","9.5%","±0.5","9.8%","±0.4","9.9%","±1.8","8.3%","±2.7","11.4%","±1.7","8.9%","±1.0","9.8%","±1.8","8.0%","±0.4"
"    15 to 44 years","39.1%","±0.5","39.5%","±0.7","38.7%","±0.7","43.5%","±0.4","43.6%","±0.6","43.4%","±0.6","60.2%","±0.1","60.8%","±0.2","59.7%","±0.2","37.4%","±0.4","38.6%","±0.9","36.3%","±1.4","37.6%","±0.6","38.8%","±0.7","36.4%","±1.0","39.3%","±0.5","39.0%","±0.5","39.5%","±0.9","35.3%","±0.5","36.6%","±1.2","34.0%","±0.8","40.6%","±0.5","41.8%","±1.1","39.4%","±0.6","37.8%","±0.5","37.9%","±0.8","37.8%","±0.6","37.8%","±0.7","37.5%","±0.9","38.0%","±0.8","36.7%","±0.9","37.2%","±1.3","36.2%","±1.1","32.9%","±1.0","33.7%","±1.4","32.1%","±1.2","36.5%","±0.8","36.5%","±1.2","36.5%","±1.1","30.5%","±0.6","30.8%","±1.4","30.1%","±0.8","35.8%","±0.8","36.7%","±1.5","34.8%","±0.6"
"    16 years and over","77.5%","±0.8","76.0%","±1.0","79.0%","±1.2","74.8%","±0.4","73.0%","±0.7","76.6%","±0.7","84.1%","±0.2","83.1%","±0.2","85.1%","±0.2","79.3%","±0.5","78.2%","±0.6","80.3%","±0.8","80.4%","±0.4","79.6%","±1.1","81.2%","±1.3","79.2%","±0.4","77.7%","±0.7","80.5%","±0.5","80.4%","±0.5","79.7%","±1.2","81.0%","±1.1","77.0%","±0.6","76.7%","±1.1","77.3%","±0.7","78.3%","±0.5","77.5%","±1.0","78.9%","±1.2","75.7%","±0.4","74.0%","±0.7","77.4%","±0.7","79.0%","±0.9","77.7%","±1.1","80.2%","±1.3","82.3%","±0.8","81.4%","±0.9","83.1%","±1.0","78.9%","±0.6","77.3%","±1.5","80.4%","±1.5","86.5%","±0.7","84.9%","±1.4","88.0%","±0.8","81.2%","±1.0","79.9%","±1.8","82.5%","±0.7"
"    18 years and over","74.2%","±0.8","72.7%","±0.8","75.8%","±1.1","71.6%","*****","69.4%","±0.6","73.8%","±0.7","82.4%","±0.1","81.4%","±0.2","83.3%","±0.1","76.5%","±0.1","75.8%","±0.4","77.1%","±0.4","77.4%","±0.2","76.3%","±1.0","78.4%","±1.1","76.2%","±0.1","75.2%","±0.4","77.1%","±0.3","77.4%","*****","76.3%","±1.1","78.5%","±1.1","73.9%","±0.4","73.0%","±0.7","74.9%","±0.6","75.1%","±0.1","74.2%","±1.2","76.0%","±1.2","71.6%","±0.1","69.5%","±0.4","73.6%","±0.5","75.4%","±0.3","73.9%","±0.9","76.9%","±0.8","79.4%","±0.7","78.4%","±0.9","80.3%","±0.8","76.3%","±0.4","75.1%","±1.3","77.5%","±1.2","84.1%","±0.7","82.7%","±1.6","85.3%","±0.9","78.2%","±0.8","76.9%","±1.3","79.5%","±0.5"
"    60 years and over","18.5%","±0.8","16.8%","±1.1","20.1%","±1.3","14.5%","±0.5","12.6%","±0.7","16.4%","±0.7","11.8%","±0.3","10.1%","±0.4","13.4%","±0.4","22.5%","±0.9","20.2%","±1.4","24.7%","±1.1","23.3%","±0.8","21.1%","±1.3","25.5%","±1.3","21.4%","±0.6","20.7%","±1.0","22.0%","±0.8","26.0%","±0.8","23.8%","±1.2","28.2%","±1.3","17.2%","±0.5","14.8%","±0.7","19.6%","±0.8","18.8%","±0.7","17.2%","±1.1","20.2%","±1.0","16.0%","±0.6","15.1%","±0.8","16.9%","±0.8","21.7%","±1.2","20.8%","±1.6","22.7%","±1.8","28.9%","±1.2","27.5%","±1.6","30.3%","±1.5","23.5%","±1.1","22.4%","±1.5","24.4%","±1.3","38.4%","±1.3","36.9%","±1.8","39.7%","±1.9","24.1%","±1.0","23.9%","±1.6","24.3%","±1.3"
"    62 years and over","15.4%","±0.8","14.6%","±1.1","16.3%","±1.1","12.1%","±0.4","10.6%","±0.6","13.7%","±0.6","10.4%","±0.3","8.8%","±0.4","11.9%","±0.4","19.7%","±0.7","17.2%","±1.2","22.0%","±1.1","20.8%","±0.9","19.3%","±1.3","22.3%","±1.2","18.9%","±0.6","17.8%","±0.9","19.9%","±0.8","22.5%","±0.8","19.5%","±1.0","25.4%","±1.4","14.6%","±0.5","12.9%","±0.7","16.3%","±0.7","16.4%","±0.7","14.9%","±1.1","17.8%","±0.9","13.6%","±0.6","12.9%","±0.7","14.2%","±0.6","18.5%","±1.1","17.1%","±1.5","19.9%","±1.5","26.3%","±1.2","24.7%","±1.6","27.8%","±1.5","19.9%","±0.9","18.4%","±1.2","21.2%","±1.2","34.3%","±1.2","33.0%","±2.0","35.6%","±1.7","20.2%","±1.0","19.4%","±1.4","21.1%","±1.1"
"    65 years and over","12.3%","±0.4","11.0%","±0.3","13.5%","±0.7","9.4%","±0.1","7.8%","±0.2","10.9%","±0.2","8.4%","±0.1","6.9%","±0.1","9.9%","±0.1","16.3%","±0.2","14.2%","±0.3","18.3%","±0.3","16.9%","±0.5","14.9%","±0.8","18.8%","±0.4","15.3%","±0.2","14.4%","±0.4","16.1%","±0.4","17.5%","±0.1","15.2%","±0.2","19.6%","±0.3","11.7%","±0.3","10.2%","±0.5","13.2%","±0.2","13.4%","±0.3","12.1%","±0.6","14.8%","±0.4","10.7%","±0.3","9.7%","±0.3","11.6%","±0.3","13.5%","±0.5","12.0%","±0.9","14.9%","±0.2","20.7%","±0.4","18.8%","±0.2","22.4%","±0.7","16.3%","±0.5","14.5%","±0.6","17.9%","±0.8","28.5%","±0.1","27.0%","±0.4","29.8%","±0.4","17.2%","±0.4","16.1%","±0.6","18.3%","±0.3"
"    75 years and over","4.6%","±0.4","3.8%","±0.3","5.5%","±0.7","3.7%","±0.1","2.6%","±0.2","4.8%","±0.2","3.9%","±0.1","2.9%","±0.1","4.8%","±0.1","7.6%","±0.3","6.0%","±0.7","9.0%","±0.2","7.3%","±0.2","5.5%","±0.4","9.1%","±0.2","6.7%","±0.1","5.8%","±0.2","7.5%","±0.2","7.2%","±0.3","5.6%","±0.2","8.7%","±0.5","4.4%","±0.3","3.4%","±0.4","5.4%","±0.2","5.2%","±0.2","3.8%","±0.2","6.5%","±0.4","4.3%","±0.1","3.2%","±0.1","5.2%","±0.3","4.7%","±0.4","4.0%","±0.5","5.5%","±0.6","8.8%","±0.4","7.3%","±0.1","10.2%","±0.7","7.1%","±0.2","5.6%","±0.3","8.4%","±0.1","12.2%","±0.1","11.0%","±0.1","13.3%","±0.2","6.9%","±0.2","6.1%","±0.2","7.7%","±0.3"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","37.5","±1.1","36.3","±1.1","39.2","±1.6","33.1","±0.5","31.5","±0.4","35.1","±0.5","25.7","±0.2","25.6","±0.2","25.7","±0.2","40.2","±1.4","38.3","±1.4","41.6","±1.1","39.6","±0.6","38.7","±1.0","42.3","±2.1","38.4","±0.4","38.0","±0.7","38.7","±0.4","42.9","±0.9","41.0","±0.8","43.8","±0.4","36.8","±0.6","35.5","±0.4","38.1","±0.7","38.6","±0.5","37.9","±1.0","39.2","±1.4","38.8","±0.5","37.9","±0.4","39.6","±0.9","41.4","±0.7","40.3","±2.1","42.6","±1.0","45.5","±1.1","44.2","±1.2","46.7","±0.9","40.2","±0.6","39.7","±0.9","40.6","±0.8","50.5","±0.6","48.1","±1.0","52.5","±0.6","42.0","±1.0","39.4","±0.7","44.1","±0.5"
"    Sex ratio (males per 100 females)","103.4","±2.3","(X)","(X)","(X)","(X)","100.2","±1.9","(X)","(X)","(X)","(X)","90.6","±0.3","(X)","(X)","(X)","(X)","92.2","±3.6","(X)","(X)","(X)","(X)","96.3","±2.3","(X)","(X)","(X)","(X)","88.4","±1.5","(X)","(X)","(X)","(X)","95.5","±3.0","(X)","(X)","(X)","(X)","100.6","±1.8","(X)","(X)","(X)","(X)","96.8","±3.2","(X)","(X)","(X)","(X)","97.0","±1.4","(X)","(X)","(X)","(X)","100.3","±2.3","(X)","(X)","(X)","(X)","95.7","±2.2","(X)","(X)","(X)","(X)","91.6","±2.8","(X)","(X)","(X)","(X)","91.4","±2.3","(X)","(X)","(X)","(X)","99.7","±1.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.4","±1.9","(X)","(X)","(X)","(X)","60.6","±0.3","(X)","(X)","(X)","(X)","35.2","±0.2","(X)","(X)","(X)","(X)","66.2","±0.3","(X)","(X)","(X)","(X)","65.3","±1.3","(X)","(X)","(X)","(X)","64.3","±0.6","(X)","(X)","(X)","(X)","66.8","±0.2","(X)","(X)","(X)","(X)","60.7","±1.2","(X)","(X)","(X)","(X)","62.2","±0.8","(X)","(X)","(X)","(X)","64.1","±0.9","(X)","(X)","(X)","(X)","61.4","±1.1","(X)","(X)","(X)","(X)","70.3","±2.2","(X)","(X)","(X)","(X)","66.5","±2.2","(X)","(X)","(X)","(X)","79.9","±2.2","(X)","(X)","(X)","(X)","64.1","±2.3","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","19.8","±0.8","(X)","(X)","(X)","(X)","15.0","±0.2","(X)","(X)","(X)","(X)","11.4","±0.1","(X)","(X)","(X)","(X)","27.1","±0.1","(X)","(X)","(X)","(X)","27.9","±1.0","(X)","(X)","(X)","(X)","25.2","±0.5","(X)","(X)","(X)","(X)","29.1","±0.1","(X)","(X)","(X)","(X)","18.8","±0.5","(X)","(X)","(X)","(X)","21.8","±0.6","(X)","(X)","(X)","(X)","17.5","±0.6","(X)","(X)","(X)","(X)","21.8","±0.9","(X)","(X)","(X)","(X)","35.2","±0.9","(X)","(X)","(X)","(X)","27.1","±1.2","(X)","(X)","(X)","(X)","51.3","±0.6","(X)","(X)","(X)","(X)","28.3","±0.8","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.6","±1.7","(X)","(X)","(X)","(X)","45.6","±0.1","(X)","(X)","(X)","(X)","23.8","±0.1","(X)","(X)","(X)","(X)","39.0","±0.2","(X)","(X)","(X)","(X)","37.4","±0.5","(X)","(X)","(X)","(X)","39.1","±0.1","(X)","(X)","(X)","(X)","37.6","±0.1","(X)","(X)","(X)","(X)","41.9","±0.9","(X)","(X)","(X)","(X)","40.4","±0.3","(X)","(X)","(X)","(X)","46.6","±0.4","(X)","(X)","(X)","(X)","39.6","±0.6","(X)","(X)","(X)","(X)","35.1","±1.7","(X)","(X)","(X)","(X)","39.4","±1.2","(X)","(X)","(X)","(X)","28.7","±1.5","(X)","(X)","(X)","(X)","35.8","±1.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.5%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.5%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)"
