"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Total population","17,840","*****","9,047","±110","8,793","±110","66,359","*****","32,777","±276","33,582","±276","115,070","*****","54,781","±121","60,289","±121","20,421","*****","9,769","±144","10,652","±144","22,121","*****","10,827","±140","11,294","±140","42,212","*****","18,689","±1,768","23,523","±1,768","25,024","*****","12,213","±165","12,811","±165","58,347","*****","29,161","±274","29,186","±274","27,798","*****","13,596","±177","14,202","±177","31,508","*****","15,609","±101","15,899","±101","14,556","*****","7,392","±104","7,164","±104","16,266","*****","8,021","±147","8,245","±147","25,876","*****","12,414","±126","13,462","±126","10,430","*****","4,568","±299","5,862","±299","26,498","*****","13,079","±182","13,419","±182"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.5%","±0.2","7.2%","±0.6","5.8%","±0.3","8.7%","±0.1","9.0%","±0.1","8.4%","±0.1","6.2%","±0.1","6.6%","±0.1","5.8%","±0.1","6.3%","±0.7","6.4%","±0.7","6.3%","±0.8","6.1%","±0.4","5.8%","±0.5","6.4%","±0.8","6.9%","±0.3","7.7%","±0.7","6.2%","±0.7","6.7%","±0.1","6.8%","±1.0","6.6%","±0.9","7.5%","±0.1","7.6%","±0.4","7.3%","±0.3","6.1%","±0.6","6.4%","±0.8","5.9%","±0.8","5.9%","±0.5","5.9%","±0.7","5.8%","±0.4","5.7%","±0.5","6.3%","±1.0","5.1%","±0.6","5.2%","±0.5","5.5%","±0.6","4.9%","±0.8","6.1%","±0.2","6.6%","±0.6","5.6%","±0.6","3.6%","±0.3","4.5%","±0.4","2.9%","±0.4","6.0%","±0.3","6.7%","±0.7","5.3%","±0.3"
"    5 to 9 years","6.8%","±1.2","7.2%","±1.5","6.5%","±1.5","8.1%","±0.6","8.6%","±0.7","7.7%","±0.9","4.8%","±0.3","5.1%","±0.5","4.6%","±0.4","6.0%","±1.1","5.8%","±1.5","6.3%","±2.0","6.7%","±0.9","6.8%","±1.2","6.6%","±1.2","7.0%","±0.8","8.6%","±1.1","5.7%","±1.1","7.3%","±0.8","8.2%","±1.1","6.4%","±1.1","7.0%","±0.7","7.1%","±0.9","7.0%","±0.8","6.6%","±0.9","7.3%","±1.4","6.0%","±1.4","8.0%","±0.8","7.9%","±1.3","8.1%","±1.0","4.1%","±1.2","3.3%","±1.2","5.0%","±2.1","5.8%","±1.1","6.7%","±1.2","5.0%","±1.8","5.8%","±1.2","6.8%","±1.8","4.9%","±1.1","4.5%","±1.1","6.8%","±1.5","2.7%","±1.7","6.0%","±0.7","6.7%","±1.1","5.4%","±1.1"
"    10 to 14 years","8.0%","±1.2","8.5%","±1.5","7.5%","±1.6","7.2%","±0.7","7.6%","±0.7","6.7%","±0.9","4.1%","±0.3","4.6%","±0.5","3.7%","±0.4","6.9%","±1.1","7.8%","±1.4","6.0%","±2.0","5.6%","±0.8","6.4%","±1.2","4.9%","±0.9","5.8%","±0.7","6.0%","±1.1","5.7%","±1.1","4.8%","±0.7","4.6%","±1.1","5.0%","±1.2","7.4%","±0.7","7.6%","±0.9","7.3%","±0.8","7.4%","±0.9","7.1%","±1.4","7.7%","±1.3","8.9%","±0.9","10.9%","±1.4","7.0%","±1.0","10.2%","±1.4","12.2%","±1.6","8.1%","±2.1","6.5%","±1.2","7.0%","±2.1","5.9%","±1.2","6.9%","±1.2","7.4%","±1.7","6.5%","±1.1","4.4%","±1.1","3.7%","±1.4","5.0%","±1.7","6.3%","±0.7","6.3%","±1.0","6.2%","±1.1"
"    15 to 19 years","7.0%","±0.7","6.9%","±1.2","7.1%","±1.0","7.1%","±0.4","7.0%","±0.6","7.2%","±0.7","13.0%","±1.1","11.7%","±1.4","14.1%","±1.4","8.2%","±0.7","9.2%","±1.0","7.2%","±1.0","7.5%","±0.6","7.9%","±1.0","7.1%","±0.9","10.4%","±4.3","8.0%","±1.3","12.3%","±7.0","6.1%","±0.3","6.8%","±0.5","5.5%","±0.5","7.3%","±0.4","8.2%","±0.8","6.4%","±0.4","7.1%","±0.3","7.4%","±0.6","6.9%","±0.3","8.5%","±0.4","9.2%","±0.7","7.8%","±0.5","8.1%","±1.6","8.1%","±2.1","8.2%","±2.0","5.8%","±0.3","6.5%","±0.6","5.1%","±0.3","7.7%","±1.0","6.2%","±1.0","9.0%","±1.7","9.9%","±2.9","4.7%","±4.5","13.9%","±4.1","6.6%","±0.2","6.8%","±0.3","6.3%","±0.2"
"    20 to 24 years","5.7%","±0.6","6.0%","±1.1","5.4%","±0.4","6.1%","±0.4","6.3%","±0.5","5.8%","±0.5","20.5%","±1.1","20.2%","±1.4","20.7%","±1.4","6.0%","±0.5","6.0%","±1.1","5.9%","±0.7","7.0%","±0.6","7.1%","±1.0","6.9%","±0.6","5.3%","±0.6","5.2%","±1.2","5.5%","±1.0","5.5%","±0.5","5.8%","±0.6","5.2%","±0.9","5.3%","±0.3","5.7%","±0.4","5.0%","±0.4","5.5%","±0.6","5.0%","±0.3","6.1%","±1.2","4.8%","±0.5","4.7%","±0.3","4.9%","±0.9","5.7%","±1.4","5.7%","±1.2","5.8%","±2.7","4.2%","±0.3","4.8%","±0.6","3.7%","±0.1","5.7%","±0.9","6.6%","±0.9","5.0%","±1.6","3.9%","±1.8","3.5%","±3.0","4.2%","±1.8","5.2%","±0.3","5.3%","±0.2","5.2%","±0.6"
"    25 to 29 years","5.8%","±0.2","5.9%","±0.3","5.7%","±0.4","7.6%","±0.3","7.4%","±0.5","7.8%","±0.4","9.6%","±0.1","10.2%","±0.1","9.0%","±0.1","4.7%","±0.3","4.3%","±0.7","5.1%","±0.1","5.4%","±0.4","5.5%","±0.6","5.3%","±0.4","6.9%","±0.4","7.7%","±1.0","6.3%","±0.6","6.2%","±0.6","5.7%","±0.8","6.6%","±1.2","6.5%","±0.4","6.2%","±0.4","6.7%","±0.5","5.9%","±0.4","5.5%","±0.5","6.2%","±0.8","3.7%","±0.2","3.7%","±0.4","3.7%","±0.2","4.4%","±0.9","5.5%","±0.9","3.3%","±1.6","5.0%","±0.7","4.6%","±0.7","5.4%","±1.3","5.9%","±0.5","6.1%","±0.7","5.8%","±0.7","5.3%","±1.9","7.2%","±4.3","3.8%","±0.9","4.6%","±0.1","4.7%","±0.2","4.6%","±0.1"
"    30 to 34 years","6.2%","±0.5","5.9%","±0.5","6.5%","±0.7","7.7%","±0.4","7.9%","±0.5","7.6%","±0.5","7.0%","±0.1","7.6%","±0.1","6.4%","±0.1","6.1%","±1.0","5.8%","±1.4","6.4%","±1.0","5.2%","±0.4","4.9%","±0.3","5.4%","±0.6","6.0%","±0.3","5.9%","±0.8","6.2%","±0.6","5.6%","±0.7","5.9%","±0.9","5.3%","±1.0","7.2%","±0.4","7.3%","±0.4","7.1%","±0.5","6.3%","±0.5","6.2%","±0.6","6.5%","±0.7","5.1%","±0.5","4.9%","±0.9","5.3%","±0.5","5.7%","±1.0","4.4%","±0.3","7.0%","±2.0","5.0%","±0.6","5.2%","±0.9","4.9%","±0.6","4.9%","±0.3","5.4%","±0.6","4.6%","±0.4","3.6%","±1.0","4.1%","±0.3","3.3%","±1.8","5.1%","±0.2","5.2%","±0.4","5.0%","±0.1"
"    35 to 39 years","7.1%","±1.0","7.8%","±1.3","6.4%","±1.3","7.6%","±0.7","7.7%","±0.9","7.4%","±0.9","5.5%","±0.4","5.5%","±0.5","5.6%","±0.5","5.9%","±0.9","6.7%","±1.5","5.1%","±1.2","7.5%","±1.2","9.5%","±1.7","5.7%","±1.2","6.6%","±0.7","6.6%","±1.2","6.7%","±0.9","4.5%","±0.9","4.6%","±1.3","4.4%","±1.3","7.4%","±0.7","7.9%","±0.8","6.8%","±0.9","6.7%","±1.0","7.0%","±1.5","6.4%","±1.3","7.1%","±0.9","6.8%","±1.1","7.5%","±1.0","5.7%","±1.3","4.8%","±1.6","6.5%","±1.8","5.6%","±1.0","4.4%","±1.2","6.8%","±1.3","7.0%","±1.0","6.4%","±1.5","7.5%","±1.6","5.1%","±1.3","4.6%","±1.8","5.5%","±1.8","6.4%","±1.2","7.2%","±1.5","5.7%","±1.7"
